Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,n:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1
1300,10000000011446,88554,88554,987010,0,5034,7,9999900008,92,92,0,87010,4933,3000,2000,12952,2262,38,2,26,9900000,10100000,10100000,1000,500,300,999999959,106,106,0,97700,99924,3,10000,999965,1000035,1000035,5000,3000,2000
1400,10000000012280,87720,87720,986035,0,5061,7,9999900010,90,90,1,86036,4899,3000,2000,13915,1713,49,1,33,9900000,10100000,10100000,1000,500,300,999999956,103,103,0,98238,99902,8,10000,999959,1000041,1000041,5000,3000,2000
1500,10000000013064,86936,86936,985050,0,5045,8,9999900011,89,89,0,85050,4909,3000,2000,14895,1272,55,4,38,9900000,10100000,10100000,1000,500,300,999999942,108,108,0,98673,99890,5,10000,999950,1000050,1000050,5000,3000,2000
1600,10000000013794,86206,86206,984092,0,4881,8,9999900013,87,87,9,84101,5059,3000,2000,15833,941,66,1,52,9900000,10100000,10100000,1000,500,300,999999926,113,113,0,98993,99868,5,10000,999939,1000061,1000061,5000,3000,2000
1700,10000000014478,85522,85522,983114,0,4975,8,9999900015,85,85,1,83115,4958,3000,2000,16810,706,75,1,59,9900000,10100000,10100000,1000,500,300,999999913,119,119,0,99219,99850,7,10000,999932,1000068,1000068,5000,3000,2000
1800,10000000015232,84768,84768,982143,0,4900,9,9999900016,84,84,7,82150,5024,3000,2000,17772,507,78,1,67,9900000,10100000,10100000,1000,500,300,999999918,105,105,0,99415,99844,1,10000,999923,1000077,1000077,5000,3000,2000
1900,10000000015934,84066,84066,981231,0,4983,11,9999900016,84,84,8,81239,4936,3000,2000,18676,377,85,2,70,9900000,10100000,10100000,1000,500,300,999999913,104,104,0,99538,99830,2,10000,999917,1000083,1000083,5000,3000,2000
2000,10000000016671,83329,83329,980296,0,5032,13,9999900016,84,84,11,80307,4879,3000,2000,19597,265,96,3,76,9900000,10100000,10100000,1000,500,300,999999910,98,98,0,99639,99808,4,10000,999908,1000092,1000092,5000,3000,2000
2100,10000000017356,82644,82644,979376,0,5097,16,9999900019,81,81,0,79376,4804,3000,2000,20516,198,108,2,83,9900000,10100000,10100000,1000,500,300,999999903,96,96,0,99694,99784,7,10000,999899,1000101,1000101,5000,3000,2000
2200,10000000018027,81973,81973,978458,0,5034,21,9999900019,81,81,3,78461,4858,3000,2000,21425,148,114,2,87,9900000,10100000,10100000,1000,500,300,999999897,93,93,0,99738,99772,4,10000,999890,1000110,1000110,5000,3000,2000
2300,10000000018658,81342,81342,977463,0,5041,27,9999900020,80,80,1,77464,4839,3000,2000,22407,101,129,4,93,9900000,10100000,10100000,1000,500,300,999999882,94,94,0,99770,99742,5,10000,999876,1000124,1000124,5000,3000,2000
2400,10000000019316,80684,80684,976552,0,4915,32,9999900021,79,79,0,76552,4958,3000,2000,23310,74,138,1,95,9900000,10100000,10100000,1000,500,300,999999873,99,99,0,99788,99724,10,10000,999872,1000128,1000128,5000,3000,2000
2500,10000000020002,79998,79998,975595,0,5095,36,9999900022,78,78,17,75612,4760,3000,2000,24234,61,154,0,109,9900000,10100000,10100000,1000,500,300,999999855,100,100,0,99785,99692,9,10000,999855,1000145,1000145,5000,3000,2000
2600,10000000020604,79396,79396,974627,0,4841,39,9999900024,76,76,1,74628,5003,3000,2000,25206,47,166,2,117,9900000,10100000,10100000,1000,500,300,999999847,95,95,0,99787,99668,8,10000,999842,1000158,1000158,5000,3000,2000
2700,10000000021237,78763,78763,973698,0,4824,42,9999900025,75,75,7,73705,5007,3000,2000,26120,34,175,1,127,9900000,10100000,10100000,1000,500,300,999999835,95,95,0,99791,99650,5,10000,999830,1000170,1000170,5000,3000,2000
2800,10000000021826,78174,78174,972756,0,4854,48,9999900025,75,75,10,72766,4967,3000,2000,27045,26,189,3,131,9900000,10100000,10100000,1000,500,300,999999829,89,89,0,99785,99622,7,10000,999818,1000182,1000182,5000,3000,2000
2900,10000000022414,77586,77586,971825,0,4867,50,9999900026,74,74,1,71826,4944,3000,2000,27976,18,198,4,139,9900000,10100000,10100000,1000,500,300,999999816,91,91,0,99784,99604,5,10000,999807,1000193,1000193,5000,3000,2000
3000,10000000023052,76948,76948,970912,0,4915,52,9999900027,73,73,0,70912,4882,3000,2000,28878,11,210,1,151,9900000,10100000,10100000,1000,500,300,999999806,90,90,0,99779,99580,6,10000,999796,1000204,1000204,5000,3000,2000
3100,10000000023608,76392,76392,969981,0,4907,54,9999900028,72,72,0,69981,4878,3000,2000,29799,8,220,1,161,9900000,10100000,10100000,1000,500,300,999999798,86,86,0,99772,99560,4,10000,999784,1000216,1000216,5000,3000,2000
3200,10000000024178,75822,75822,969051,0,4867,58,9999900028,72,72,0,69051,4907,3000,2000,30717,5,232,2,168,9900000,10100000,10100000,1000,500,300,999999778,94,94,0,99763,99536,4,10000,999772,1000228,1000228,5000,3000,2000
3300,10000000024749,75251,75251,968089,0,4898,62,9999900031,69,69,1,68090,4865,3000,2000,31665,4,245,2,175,9900000,10100000,10100000,1000,500,300,999999765,96,96,0,99751,99510,6,10000,999761,1000239,1000239,5000,3000,2000
3400,10000000025269,74731,74731,967132,0,4794,66,9999900032,68,68,11,67143,4955,3000,2000,32597,4,260,2,185,9900000,10100000,10100000,1000,500,300,999999749,98,98,0,99736,99480,7,10000,999747,1000253,1000253,5000,3000,2000
3500,10000000025865,74135,74135,966232,0,4987,73,9999900032,68,68,8,66240,4750,3000,2000,33487,3,273,1,190,9900000,10100000,10100000,1000,500,300,999999747,89,89,0,99724,99454,9,10000,999736,1000264,1000264,5000,3000,2000
3600,10000000026459,73541,73541,965266,0,4670,81,9999900033,67,67,14,65280,5049,3000,2000,34425,2,295,3,200,9900000,10100000,10100000,1000,500,300,999999732,84,84,0,99703,99410,11,10000,999716,1000284,1000284,5000,3000,2000
3700,10000000027019,72981,72981,964301,0,4692,88,9999900033,67,67,0,64301,5012,3000,2000,35384,1,315,0,208,9900000,10100000,10100000,1000,500,300,999999718,86,86,0,99684,99370,19,10000,999704,1000296,1000296,5000,3000,2000
3800,10000000027545,72455,72455,963356,0,4901,93,9999900033,67,67,0,63356,4786,3000,2000,36314,1,330,2,220,9900000,10100000,10100000,1000,500,300,999999700,85,85,1,99670,99341,14,10000,999685,1000315,1000315,5000,3000,2000
3900,10000000028098,71902,71902,962365,0,4880,95,9999900034,66,66,10,62375,4790,3000,2000,37278,1,347,1,235,9900000,10100000,10100000,1000,500,300,999999681,88,88,1,99653,99307,15,10000,999669,1000331,1000331,5000,3000,2000
4000,10000000028593,71407,71407,961441,0,4843,106,9999900034,66,66,2,61443,4803,3000,2000,38185,1,372,5,248,9900000,10100000,10100000,1000,500,300,999999653,88,88,0,99627,99256,13,10000,999641,1000359,1000359,5000,3000,2000
4100,10000000029089,70911,70911,960445,0,4916,118,9999900034,66,66,0,60445,4712,3000,2000,39171,1,384,5,254,9900000,10100000,10100000,1000,500,300,999999633,90,90,0,99615,99232,7,10000,999623,1000377,1000377,5000,3000,2000
4200,10000000029606,70394,70394,959433,0,4767,126,9999900034,66,66,1,59434,4846,3000,2000,40164,1,402,7,261,9900000,10100000,10100000,1000,500,300,999999610,96,96,2,99599,99198,6,10000,999606,1000394,1000394,5000,3000,2000
4300,10000000030116,69884,69884,958495,0,4906,130,9999900035,65,65,6,58501,4688,3000,2000,41077,0,422,4,276,9900000,10100000,10100000,1000,500,300,999999587,103,103,0,99578,99156,12,10000,999590,1000410,1000410,5000,3000,2000
4400,10000000030601,69399,69399,957581,0,4673,136,9999900036,64,64,0,57581,4896,3000,2000,41975,0,444,4,295,9900000,10100000,10100000,1000,500,300,999999558,107,107,0,99556,99112,9,10000,999565,1000435,1000435,5000,3000,2000
4500,10000000031080,68920,68920,956667,0,4823,150,9999900037,63,63,3,56670,4729,3000,2000,42864,0,466,7,298,9900000,10100000,10100000,1000,500,300,999999538,107,107,0,99534,99068,11,10000,999545,1000455,1000455,5000,3000,2000
4600,10000000031523,68477,68477,955709,0,4811,157,9999900037,63,63,9,55718,4722,3000,2000,43797,0,485,5,310,9900000,10100000,10100000,1000,500,300,999999520,108,108,0,99515,99030,13,10000,999528,1000472,1000472,5000,3000,2000
4700,10000000032008,67992,67992,954766,0,4579,169,9999900037,63,63,11,54777,4928,3000,2000,44713,0,510,4,324,9900000,10100000,10100000,1000,500,300,999999507,96,96,0,99490,98980,13,10000,999503,1000497,1000497,5000,3000,2000
4800,10000000032424,67576,67576,953779,0,4776,181,9999900037,63,63,13,53792,4714,3000,2000,45683,0,525,4,329,9900000,10100000,10100000,1000,500,300,999999481,105,105,0,99475,98950,11,10000,999486,1000514,1000514,5000,3000,2000
4900,10000000032848,67152,67152,952858,0,4894,192,9999900038,62,62,4,52862,4573,3000,2000,46594,0,544,2,341,9900000,10100000,10100000,1000,500,300,999999463,102,102,0,99456,98912,9,10000,999465,1000535,1000535,5000,3000,2000
5000,10000000033285,66715,66715,951870,0,4746,205,9999900038,62,62,12,51882,4700,3000,2000,47549,0,569,5,349,9900000,10100000,10100000,1000,500,300,999999440,101,101,0,99431,98862,10,10000,999441,1000559,1000559,5000,3000,2000
5100,10000000033707,66293,66293,950939,0,4709,211,9999900038,62,62,1,50940,4711,3000,2000,48465,0,595,1,369,9900000,10100000,10100000,1000,500,300,999999425,94,94,0,99405,98810,14,10000,999419,1000581,1000581,5000,3000,2000
5200,10000000034124,65876,65876,949978,0,4762,221,9999900038,62,62,12,49990,4637,3000,2000,49394,0,616,8,380,9900000,10100000,10100000,1000,500,300,999999397,94,94,0,99384,98768,7,10000,999391,1000609,1000609,5000,3000,2000
5300,10000000034552,65448,65448,949004,0,4649,232,9999900038,62,62,0,49004,4720,3000,2000,50343,0,653,4,399,9900000,10100000,10100000,1000,500,300,999999372,93,93,1,99348,98695,17,10000,999365,1000635,1000635,5000,3000,2000
5400,10000000034965,65035,65035,948061,0,4695,243,9999900038,62,62,1,48062,4648,3000,2000,51266,0,672,1,414,9900000,10100000,10100000,1000,500,300,999999349,93,93,0,99328,98656,14,10000,999342,1000658,1000658,5000,3000,2000
5500,10000000035368,64632,64632,947104,0,4629,254,9999900038,62,62,9,47113,4693,3000,2000,52185,0,702,8,424,9900000,10100000,10100000,1000,500,300,999999313,101,101,0,99298,98596,16,10000,999314,1000686,1000686,5000,3000,2000
5600,10000000035782,64218,64218,946143,0,4651,264,9999900041,59,59,0,46143,4639,3000,2000,53120,0,737,5,446,9900000,10100000,10100000,1000,500,300,999999283,102,102,0,99263,98526,22,10000,999285,1000715,1000715,5000,3000,2000
5700,10000000036179,63821,63821,945172,0,4551,274,9999900044,56,56,7,45179,4708,3000,2000,54059,0,762,7,467,9900000,10100000,10100000,1000,500,300,999999250,102,102,0,99238,98476,14,10000,999252,1000748,1000748,5000,3000,2000
5800,10000000036599,63401,63401,944260,0,4482,283,9999900044,56,56,0,44260,4750,3000,2000,54954,0,786,4,485,9900000,10100000,10100000,1000,500,300,999999224,104,104,0,99214,98428,14,10000,999228,1000772,1000772,5000,3000,2000
5900,10000000036999,63001,63001,943286,0,4549,297,9999900044,56,56,0,43286,4654,3000,2000,55896,0,818,2,500,9900000,10100000,10100000,1000,500,300,999999197,104,104,0,99182,98364,19,10000,999201,1000799,1000799,5000,3000,2000
6000,10000000037380,62620,62620,942360,0,4657,313,9999900046,54,54,11,42371,4527,3000,2000,56786,0,843,8,503,9900000,10100000,10100000,1000,500,300,999999178,98,98,0,99157,98314,19,10000,999176,1000824,1000824,5000,3000,2000
6100,10000000037770,62230,62230,941434,0,4542,326,9999900047,53,53,4,41438,4610,3000,2000,57688,0,874,10,522,9900000,10100000,10100000,1000,500,300,999999146,96,96,0,99126,98252,16,10000,999142,1000858,1000858,5000,3000,2000
6200,10000000038135,61865,61865,940501,0,4539,339,9999900047,53,53,5,40506,4581,3000,2000,58589,0,905,8,541,9900000,10100000,10100000,1000,500,300,999999117,95,95,1,99096,98191,16,10000,999112,1000888,1000888,5000,3000,2000
6300,10000000038522,61478,61478,939559,0,4582,357,9999900047,53,53,1,39560,4503,3000,2000,59500,0,940,10,558,9900000,10100000,10100000,1000,500,300,999999075,100,100,1,99061,98121,14,10000,999075,1000925,1000925,5000,3000,2000
6400,10000000038885,61115,61115,938611,0,4487,373,9999900047,53,53,9,38620,4564,3000,2000,60413,0,967,3,576,9900000,10100000,10100000,1000,500,300,999999040,108,108,0,99033,98066,15,10000,999048,1000952,1000952,5000,3000,2000
6500,10000000039235,60765,60765,937715,0,4646,390,9999900048,52,52,9,37724,4382,3000,2000,61289,0,987,1,582,9900000,10100000,10100000,1000,500,300,999999020,107,107,1,99014,98027,13,10000,999027,1000973,1000973,5000,3000,2000
6600,10000000039595,60405,60405,936753,0,4512,407,9999900048,52,52,8,36761,4484,3000,2000,62215,0,1024,3,597,9900000,10100000,10100000,1000,500,300,999998987,106,106,1,98977,97953,16,10000,998993,1001007,1001007,5000,3000,2000
6700,10000000039951,60049,60049,935802,0,4502,428,9999900048,52,52,9,35811,4466,3000,2000,63130,0,1059,8,604,9900000,10100000,10100000,1000,500,300,999998960,100,100,0,98941,97882,19,10000,998960,1001040,1001040,5000,3000,2000
6800,10000000040321,59679,59679,934887,0,4433,443,9999900048,52,52,0,34887,4499,3000,2000,64018,0,1095,6,625,9900000,10100000,10100000,1000,500,300,999998931,95,95,0,98905,97810,21,10000,998926,1001074,1001074,5000,3000,2000
6900,10000000040720,59280,59280,933975,0,4402,469,9999900048,52,52,12,33987,4496,3000,2000,64887,0,1126,7,633,9900000,10100000,10100000,1000,500,300,999998897,94,94,0,98874,97748,17,10000,998891,1001109,1001109,5000,3000,2000
7000,10000000041091,58909,58909,933078,0,4512,486,9999900048,52,52,2,33080,4346,3000,2000,65759,0,1161,3,656,9900000,10100000,10100000,1000,500,300,999998862,93,93,0,98839,97678,16,10000,998855,1001145,1001145,5000,3000,2000
7100,10000000041406,58594,58594,932154,0,4311,510,9999900048,52,52,0,32154,4521,3000,2000,66654,0,1192,8,658,9900000,10100000,10100000,1000,500,300,999998835,89,89,0,98808,97616,16,10000,998824,1001176,1001176,5000,3000,2000
7200,10000000041730,58270,58270,931249,0,4420,526,9999900048,52,52,9,31258,4381,3000,2000,67517,0,1225,6,673,9900000,10100000,10100000,1000,500,300,999998804,91,91,0,98775,97550,20,10000,998795,1001205,1001205,5000,3000,2000
7300,10000000042074,57926,57926,930295,0,4332,548,9999900048,52,52,0,30295,4438,3000,2000,68452,0,1253,3,682,9900000,10100000,10100000,1000,500,300,999998777,90,90,0,98747,97494,20,10000,998767,1001233,1001233,5000,3000,2000
7400,10000000042438,57562,57562,929373,0,4386,571,9999900048,52,52,8,29381,4347,3000,2000,69333,0,1286,5,696,9900000,10100000,10100000,1000,500,300,999998727,101,101,1,98715,97429,13,10000,998728,1001272,1001272,5000,3000,2000
7500,10000000042766,57234,57234,928442,0,4398,584,9999900048,52,52,12,28454,4311,3000,2000,70229,0,1317,5,707,9900000,10100000,10100000,1000,500,300,999998709,95,95,0,98683,97366,21,10000,998704,1001296,1001296,5000,3000,2000
7600,10000000043087,56913,56913,927480,0,4276,605,9999900048,52,52,15,27495,4400,3000,2000,71165,0,1340,4,719,9900000,10100000,10100000,1000,500,300,999998679,93,93,0,98660,97320,12,10000,998672,1001328,1001328,5000,3000,2000
7700,10000000043401,56599,56599,926515,0,4462,628,9999900048,52,52,8,26523,4186,3000,2000,72094,0,1383,9,724,9900000,10100000,10100000,1000,500,300,999998640,99,99,0,98617,97234,22,10000,998639,1001361,1001361,5000,3000,2000
7800,10000000043704,56296,56296,925616,0,4380,653,9999900048,52,52,0,25616,4228,3000,2000,72952,0,1432,11,739,9900000,10100000,10100000,1000,500,300,999998607,90,90,0,98568,97136,29,10000,998597,1001403,1001403,5000,3000,2000
7900,10000000044010,55990,55990,924682,0,4188,671,9999900048,52,52,1,24683,4382,3000,2000,73857,0,1460,11,759,9900000,10100000,10100000,1000,500,300,999998564,95,95,1,98541,97081,18,10000,998559,1001441,1001441,5000,3000,2000
8000,10000000044317,55683,55683,923800,0,4357,693,9999900048,52,52,0,23800,4171,3000,2000,74700,0,1500,6,779,9900000,10100000,10100000,1000,500,300,999998528,94,94,1,98501,97001,21,10000,998522,1001478,1001478,5000,3000,2000
8100,10000000044657,55343,55343,922877,0,4172,715,9999900050,50,50,0,22877,4322,3000,2000,75583,0,1540,8,791,9900000,10100000,10100000,1000,500,300,999998490,96,96,0,98460,96920,26,10000,998486,1001514,1001514,5000,3000,2000
8200,10000000044965,55035,55035,921990,0,4267,743,9999900050,50,50,10,22000,4187,3000,2000,76431,0,1569,3,803,9900000,10100000,10100000,1000,500,300,999998454,97,97,0,98431,96862,20,10000,998451,1001549,1001549,5000,3000,2000
8300,10000000045271,54729,54729,921107,0,4296,770,9999900050,50,50,10,21117,4128,3000,2000,77277,0,1606,6,806,9900000,10100000,10100000,1000,500,300,999998422,96,96,2,98396,96790,22,10000,998418,1001582,1001582,5000,3000,2000
8400,10000000045561,54439,54439,920150,0,4179,789,9999900050,50,50,14,20164,4209,3000,2000,78189,0,1647,8,823,9900000,10100000,10100000,1000,500,300,999998386,94,94,0,98353,96706,27,10000,998380,1001620,1001620,5000,3000,2000
8500,10000000045870,54130,54130,919254,0,4192,811,9999900050,50,50,1,19255,4153,3000,2000,79054,0,1691,9,844,9900000,10100000,10100000,1000,500,300,999998340,96,96,1,98310,96619,26,10000,998336,1001664,1001664,5000,3000,2000
8600,10000000046156,53844,53844,918317,0,4213,836,9999900050,50,50,10,18327,4088,3000,2000,79938,0,1735,8,863,9900000,10100000,10100000,1000,500,300,999998296,97,97,1,98266,96531,27,10000,998293,1001707,1001707,5000,3000,2000
8700,10000000046440,53560,53560,917457,0,4095,858,9999900050,50,50,2,17459,4162,3000,2000,80774,0,1767,4,885,9900000,10100000,10100000,1000,500,300,999998256,97,97,0,98233,96466,20,10000,998253,1001747,1001747,5000,3000,2000
8800,10000000046721,53279,53279,916561,0,4085,885,9999900050,50,50,0,16561,4143,3000,2000,81639,0,1800,7,887,9900000,10100000,10100000,1000,500,300,999998217,104,104,0,98200,96400,21,10000,998221,1001779,1001779,5000,3000,2000
8900,10000000047020,52980,52980,915682,0,4075,909,9999900050,50,50,0,15682,4126,3000,2000,82487,0,1831,11,890,9900000,10100000,10100000,1000,500,300,999998192,98,98,0,98169,96338,21,10000,998190,1001810,1001810,5000,3000,2000
9000,10000000047280,52720,52720,914790,0,4024,941,9999900050,50,50,7,14797,4135,3000,2000,83328,0,1875,7,900,9900000,10100000,10100000,1000,500,300,999998157,95,95,1,98126,96251,26,10000,998152,1001848,1001848,5000,3000,2000
9100,10000000047566,52434,52434,913913,0,3938,968,9999900050,50,50,1,13914,4184,3000,2000,84181,0,1905,5,910,9900000,10100000,10100000,1000,500,300,999998126,91,91,0,98095,96190,22,10000,998117,1001883,1001883,5000,3000,2000
9200,10000000047850,52150,52150,912983,0,4059,1004,9999900050,50,50,13,12996,4025,3000,2000,85059,0,1945,8,912,9900000,10100000,10100000,1000,500,300,999998073,103,103,0,98055,96110,21,10000,998076,1001924,1001924,5000,3000,2000
9300,10000000048105,51895,51895,912077,0,4042,1034,9999900051,49,49,6,12083,4005,3000,2000,85935,0,1982,6,919,9900000,10100000,10100000,1000,500,300,999998034,107,107,0,98018,96036,23,10000,998041,1001959,1001959,5000,3000,2000
9400,10000000048383,51617,51617,911143,0,3960,1065,9999900052,48,48,1,11144,4048,3000,2000,86833,0,2023,5,927,9900000,10100000,10100000,1000,500,300,999998000,103,103,0,97977,95954,26,10000,998003,1001997,1001997,5000,3000,2000
9500,10000000048665,51335,51335,910213,0,3947,1091,9999900052,48,48,0,10213,4021,3000,2000,87722,0,2065,8,941,9900000,10100000,10100000,1000,500,300,999997956,104,104,0,97935,95870,25,10000,997960,1002040,1002040,5000,3000,2000
9600,10000000048950,51050,51050,909311,0,3917,1120,9999900052,48,48,0,9311,4013,3000,2000,88576,0,2113,11,950,9900000,10100000,10100000,1000,500,300,999997912,107,107,0,97887,95774,32,10000,997919,1002081,1002081,5000,3000,2000
9700,10000000049181,50819,50819,908445,0,3935,1149,9999900052,48,48,8,8453,3952,3000,2000,89401,0,2146,12,964,9900000,10100000,10100000,1000,500,300,999997871,104,104,0,97854,95708,21,10000,997875,1002125,1002125,5000,3000,2000
9800,10000000049453,50547,50547,907513,0,3941,1180,9999900052,48,48,1,7514,3899,3000,2000,90293,0,2193,14,980,9900000,10100000,10100000,1000,500,300,999997822,104,104,1,97808,95615,18,10000,997826,1002174,1002174,5000,3000,2000
9900,10000000049703,50297,50297,906620,0,3975,1199,9999900052,48,48,6,6626,3820,3000,2000,91139,0,2235,8,1006,9900000,10100000,10100000,1000,500,300,999997791,96,96,0,97765,95530,22,10000,997787,1002213,1002213,5000,3000,2000
10000,10000000049947,50053,50053,905714,0,3903,1232,9999900052,48,48,3,5717,3849,3000,2000,92010,0,2273,6,1016,9900000,10100000,10100000,1000,500,300,999997744,102,102,0,97727,95454,19,10000,997746,1002254,1002254,5000,3000,2000
