Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1
1300,10000000011449.0,88554,9999900008.0,92,1000,0,5034.0,5394.0,10,2,26,999999959.0,106,5000,2262,0,3,1300,9.999999999e-11,8.854615888344625e-05,9.999999999e-11,9.199153677861637e-05,0.009773633262337402,0.04757094853640338,0.09090909090909091,0.09090909090909091,0.9666309930714225,0.05486986852696539,0.0002999100269919024,9.999999999e-11,0.0010588775897548597,1.2807405320874294e-05,0.0029910269192422734,0.8909639390346689,0.017823472876891917
1400,10000000012289.0,87720,9999900010.0,90,1000,0,5452.0,4899.0,1,1,33,999999956.0,103,5000,1713,0,8,1400,9.999999999e-11,8.771230587652851e-05,9.999999999e-11,8.99919007289344e-05,0.009764072824524697,0.04757094853640339,0.09090909090909091,0.09090909090909091,0.9666184308685141,0.055599982229330505,0.0002999100269919024,9.999999999e-11,0.0010289401916026492,1.374572018402709e-05,0.0029910269192422734,0.8910113414698686,0.017823463154289603
1500,10000000013072.0,86936,9999900011.0,89,1000,0,5483.0,4909.0,0,4,38,999999942.0,108,5000,1272,0,5,1500,9.999999999e-11,8.69284427888977e-05,9.999999999e-11,8.899207970490625e-05,0.009754414143479653,0.047570948536403396,0.09090909090909091,0.09090909090909091,0.9666054211732616,0.05149379218206528,0.0002999100269919024,9.999999999e-11,0.0010788348583529788,1.4709553037673244e-05,0.0029910269192422734,0.8910498642159352,0.01782344857017033
1600,10000000013801.0,86206,9999900013.0,87,1000,0,5326.0,5059.0,9,1,52,999999926.0,113,5000,941,0,5,1600,9.999999999e-11,8.619856916614645e-05,9.999999999e-11,8.699243165844572e-05,0.009745020037413416,0.0475709485364034,0.09090909090909091,0.09090909090909091,0.9665926119182555,0.05262077459969892,0.0002999100269919024,9.999999999e-11,0.0011287245412683665,1.5638886479840673e-05,0.0029910269192422734,0.8910768176546315,0.01782343074481353
1700,10000000014482.0,85522,9999900015.0,85,1000,0,4975.0,5415.0,1,1,59,999999913.0,120,5000,706,0,7,1700,9.999999999e-11,8.551468661297148e-05,9.999999999e-11,8.499277561407282e-05,0.009735429628363412,0.04757094853640341,0.09090909090909091,0.09090909090909091,0.9665789937840766,0.05525101945317201,0.0002999100269919024,9.999999999e-11,0.001198561725928885,1.659194173972827e-05,0.0029910269192422734,0.8910956134481335,0.01782341940121401
1800,10000000015232.0,84768,9999900016.0,84,1000,0,5362.0,5024.0,7,1,67,999999918.0,105,5000,507,0,1,1800,9.999999999e-11,8.476081499523448e-05,9.999999999e-11,8.399294459265421e-05,0.009725907678548673,0.047570948536403417,0.09090909090909091,0.09090909090909091,0.9665653495440729,0.052213523783363094,0.0002999100269919024,9.999999999e-11,0.0010488986564107686,1.7537693154531533e-05,0.0029910269192422734,0.891112523045803,0.017823404816412595
1900,10000000015938.0,84066,9999900016.0,84,1000,0,4983.0,5370.0,20,2,71,999999913.0,104,5000,377,0,2,1900,9.999999999e-11,8.405893350169625e-05,9.999999999e-11,8.399294459265421e-05,0.009716964135642195,0.047570948536403417,0.09090909090909091,0.09090909090909091,0.9665521717352585,0.05823737340880013,0.0002999100269919024,9.999999999e-11,0.0010389195236953567,1.8425553406166054e-05,0.0029910269192422734,0.8911225171249217,0.017823395093064198
2000,10000000016671.0,83329,9999900016.0,84,1000,0,5032.0,5360.0,11,3,76,999999910.0,98,5000,265,0,4,2000,9.999999999e-11,8.332205685632423e-05,9.999999999e-11,8.399294459265421e-05,0.009707794875150692,0.047570948536403417,0.09090909090909091,0.09090909090909091,0.9665383811472039,0.05815972222222224,0.0002999100269919024,9.999999999e-11,0.000979040540270535,1.9328207253657912e-05,0.0029910269192422734,0.8911292866029779,0.017823380507850727
2100,10000000017364.0,82644,9999900019.0,81,1000,0,5547.0,4804.0,7,2,83,999999903.0,96,5000,198,0,7,2100,9.999999999e-11,8.263717053367842e-05,9.999999999e-11,8.099343953139796e-05,0.00969877254935701,0.04757094853640343,0.09090909090909091,0.09090909090909091,0.9665242824370596,0.05055501370117506,0.0002999100269919024,9.999999999e-11,0.000959079283887468,2.0227929350111405e-05,0.0029910269192422734,0.8911320455020637,0.017823365922391435
2200,10000000018027.0,81973,9999900019.0,81,1000,0,5034.0,5343.0,3,2,87,999999897.0,93,5000,148,0,4,2200,9.999999999e-11,8.196628097804939e-05,9.999999999e-11,8.099343953139796e-05,0.009689769673448567,0.04757094853640343,0.09090909090909091,0.09090909090909091,0.9665101004315119,0.058039496838949364,0.0002999100269919024,9.999999999e-11,0.000929135903609643,2.112268562528057e-05,0.0029910269192422734,0.8911348862370837,0.01782335133669523
