Time,H2O,OH-,H3PO4,H2PO4_1-,HPO4_2-,PO4_3-,H+
890,200000031735394,2006,15437887939053,4562098462968,13597599,380,4562125661312
900,200000031737284,116,15473708278856,4526275503760,16216984,400,4526307939044
910,200000031737206,194,15458349554591,4541638367441,12077622,346,4541662523917
920,200000031735379,2021,15424620356269,4575365291450,14351891,390,4575393998423
930,200000031735376,2024,15387198779293,4612781609202,19611115,390,4612820834626
940,200000031737211,189,15269800362101,4730184049599,15587799,501,4730215226889
950,200000031735379,2021,15365191963581,4634787952999,20083042,378,4634828122238
960,200000031735296,2104,15428625688111,4571357286804,17024701,384,4571391339462
970,200000031735283,2117,15428085567515,4571897932004,16499997,484,4571930935567
980,200000031735331,2069,15245836231889,4754146344267,17423457,387,4754181194411
990,200000031737239,161,15364131431362,4635854754291,13813729,618,4635882383764
1000,200000031737179,221,15356465934352,4643523710935,10354310,403,4643544420985
