Time,A,B,C
4320,99093,9093,907
4330,99076,9076,924
4340,99052,9052,948
4350,99034,9034,966
4360,99030,9030,970
4370,99048,9048,952
4380,99030,9030,970
4390,99046,9046,954
4400,99065,9065,935
4410,99060,9060,940
4420,99040,9040,960
4430,99066,9066,934
4440,99084,9084,916
4450,99093,9093,907
4460,99111,9111,889
4470,99100,9100,900
4480,99105,9105,895
4490,99086,9086,914
4500,99081,9081,919
4510,99076,9076,924
4520,99080,9080,920
4530,99084,9084,916
4540,99087,9087,913
4550,99088,9088,912
4560,99080,9080,920
4570,99073,9073,927
4580,99091,9091,909
4590,99100,9100,900
4600,99100,9100,900
4610,99100,9100,900
4620,99091,9091,909
4630,99114,9114,886
4640,99100,9100,900
4650,99102,9102,898
4660,99104,9104,896
4670,99100,9100,900
4680,99111,9111,889
4690,99106,9106,894
4700,99101,9101,899
4710,99109,9109,891
4720,99100,9100,900
4730,99108,9108,892
4740,99131,9131,869
4750,99123,9123,877
4760,99132,9132,868
4770,99133,9133,867
4780,99138,9138,862
4790,99134,9134,866
4800,99123,9123,877
4810,99116,9116,884
4820,99099,9099,901
4830,99092,9092,908
4840,99060,9060,940
4850,99052,9052,948
4860,99068,9068,932
4870,99078,9078,922
4880,99087,9087,913
4890,99062,9062,938
4900,99063,9063,937
4910,99069,9069,931
4920,99069,9069,931
4930,99067,9067,933
4940,99066,9066,934
4950,99078,9078,922
4960,99097,9097,903
4970,99087,9087,913
4980,99085,9085,915
4990,99081,9081,919
5000,99079,9079,921
5010,99081,9081,919
5020,99091,9091,909
5030,99112,9112,888
5040,99103,9103,897
5050,99128,9128,872
5060,99133,9133,867
5070,99110,9110,890
5080,99104,9104,896
5090,99116,9116,884
5100,99118,9118,882
5110,99117,9117,883
5120,99111,9111,889
5130,99117,9117,883
5140,99111,9111,889
5150,99109,9109,891
5160,99118,9118,882
5170,99123,9123,877
5180,99115,9115,885
5190,99102,9102,898
5200,99117,9117,883
5210,99105,9105,895
5220,99122,9122,878
5230,99107,9107,893
5240,99123,9123,877
5250,99131,9131,869
5260,99128,9128,872
5270,99141,9141,859
5280,99135,9135,865
5290,99131,9131,869
5300,99143,9143,857
5310,99137,9137,863
5320,99135,9135,865
5330,99125,9125,875
5340,99106,9106,894
5350,99094,9094,906
5360,99109,9109,891
5370,99099,9099,901
5380,99116,9116,884
5390,99093,9093,907
5400,99089,9089,911
5410,99103,9103,897
5420,99101,9101,899
5430,99082,9082,918
5440,99081,9081,919
5450,99103,9103,897
5460,99129,9129,871
5470,99117,9117,883
5480,99148,9148,852
5490,99152,9152,848
5500,99149,9149,851
5510,99129,9129,871
5520,99105,9105,895
5530,99099,9099,901
5540,99068,9068,932
5550,99052,9052,948
5560,99066,9066,934
5570,99046,9046,954
5580,99067,9067,933
5590,99092,9092,908
5600,99111,9111,889
5610,99118,9118,882
5620,99104,9104,896
5630,99117,9117,883
5640,99138,9138,862
5650,99146,9146,854
5660,99140,9140,860
5670,99120,9120,880
5680,99108,9108,892
5690,99100,9100,900
5700,99083,9083,917
5710,99094,9094,906
5720,99088,9088,912
5730,99077,9077,923
5740,99092,9092,908
5750,99090,9090,910
5760,99086,9086,914
5770,99090,9090,910
5780,99083,9083,917
5790,99085,9085,915
5800,99080,9080,920
5810,99102,9102,898
5820,99103,9103,897
5830,99085,9085,915
5840,99102,9102,898
5850,99091,9091,909
5860,99094,9094,906
5870,99105,9105,895
5880,99104,9104,896
5890,99107,9107,893
5900,99090,9090,910
5910,99089,9089,911
5920,99092,9092,908
5930,99103,9103,897
5940,99102,9102,898
5950,99099,9099,901
5960,99088,9088,912
5970,99089,9089,911
5980,99093,9093,907
5990,99104,9104,896
6000,99103,9103,897
6010,99110,9110,890
6020,99118,9118,882
6030,99116,9116,884
6040,99115,9115,885
6050,99103,9103,897
6060,99084,9084,916
6070,99093,9093,907
6080,99072,9072,928
6090,99076,9076,924
6100,99068,9068,932
6110,99072,9072,928
6120,99088,9088,912
6130,99079,9079,921
6140,99058,9058,942
6150,99032,9032,968
6160,99030,9030,970
6170,99029,9029,971
6180,99015,9015,985
