Time\ number,r2_1_100,r1_2_200,Time\ Probability,r2_1_100,r1_2_200
620,9084,924.0,620,0.0009898592079024418,0.009900990099009901
630,9080,928.0,630,0.0009898192870503905,0.009900990099009901
640,9060,946.0,640,0.0009896196827422757,0.009900990099009901
650,9067,944.0,650,0.000989689544259189,0.009900990099009901
660,9064,941.0,660,0.0009896596036102795,0.009900990099009901
670,9057,957.0,670,0.0009895897420891789,0.009900990099009901
680,9045,965.0,680,0.0009894699794588452,0.009900990099009901
690,9066,943.0,690,0.000989679564043085,0.009900990099009901
700,9044,965.0,700,0.0009894599992383542,0.009900990099009901
710,9043,967.0,710,0.0009894500190176642,0.009900990099009901
720,9028,983.0,720,0.0009893003156833853,0.009900990099009901
730,9038,975.0,730,0.000989400117911223,0.009900990099009901
740,9048,965.0,740,0.0009894999201191205,0.009900990099009901
750,9059,947.0,750,0.000989609702524776,0.009900990099009901
760,9052,957.0,760,0.000989539840996696,0.009900990099009901
770,9052,959.0,770,0.000989539840996696,0.009900990099009901
780,9060,949.0,780,0.0009896196827422757,0.009900990099009901
790,9063,945.0,790,0.0009896496233935776,0.009900990099009901
800,9049,959.0,800,0.0009895099003388134,0.009900990099009901
810,9061,953.0,810,0.0009896296629595758,0.009900990099009901
820,9062,943.0,820,0.0009896396431766763,0.009900990099009901
830,9065,950.0,830,0.000989669583826782,0.009900990099009901
840,9083,923.0,840,0.000989849227689728,0.009900990099009901
850,9084,925.0,850,0.0009898592079024418,0.009900990099009901
860,9079,931.0,860,0.0009898093068368792,0.009900990099009901
870,9080,931.0,870,0.0009898192870503905,0.009900990099009901
880,9105,907.0,880,0.000990068792323368,0.009900990099009901
890,9110,897.0,890,0.000990118693363008,0.009900990099009901
900,9116,885.0,900,0.0009901785746039954,0.009900990099009901
910,9101,910.0,910,0.0009900288714880668,0.009900990099009901
920,9092,914.0,920,0.0009899390495969735,0.009900990099009901
930,9099,911.0,930,0.0009900089110692195,0.009900990099009901
940,9085,922.0,940,0.0009898691881149563,0.009900990099009901
950,9118,887.0,950,0.000990198535016063,0.009900990099009901
960,9124,883.0,960,0.0009902584162474787,0.009900990099009901
970,9115,896.0,970,0.0009901685943976626,0.009900990099009901
980,9109,900.0,980,0.0009901087131554786,0.009900990099009901
990,9110,901.0,990,0.000990118693363008,0.009900990099009901
1000,9095,912.0,1000,0.0009899689902291323,0.009900990099009901
1010,9114,892.0,1010,0.0009901586141911306,0.009900990099009901
1020,9102,907.0,1020,0.000990038851697191,0.009900990099009901
1030,9082,925.0,1030,0.0009898392474768153,0.009900990099009901
1040,9098,908.0,1040,0.0009899989308594969,0.009900990099009901
1050,9109,903.0,1050,0.0009901087131554786,0.009900990099009901
1060,9119,894.0,1060,0.0009902085152217975,0.009900990099009901
1070,9117,891.0,1070,0.0009901885548101287,0.009900990099009901
1080,9123,892.0,1080,0.0009902484360427416,0.009900990099009901
1090,9124,884.0,1090,0.0009902584162474787,0.009900990099009901
1100,9127,879.0,1100,0.000990288356860495,0.009900990099009901
1110,9136,872.0,1110,0.000990378178688775,0.009900990099009901
1120,9145,865.0,1120,0.0009904680005009036,0.009900990099009901
1130,9163,847.0,1130,0.0009906476440767044,0.009900990099009901
1140,9144,866.0,1140,0.0009904580203003537,0.009900990099009901
1150,9138,868.0,1150,0.000990398139092866,0.009900990099009901
1160,9132,878.0,1160,0.0009903382578782,0.009900990099009901
1170,9135,874.0,1170,0.0009903681984864304,0.009900990099009901
1180,9127,886.0,1180,0.000990288356860495,0.009900990099009901
1190,9120,890.0,1190,0.0009902184954273324,0.009900990099009901
1200,9116,889.0,1200,0.0009901785746039954,0.009900990099009901
1210,9122,884.0,1210,0.0009902384558378046,0.009900990099009901
1220,9115,898.0,1220,0.0009901685943976626,0.009900990099009901
1230,9103,905.0,1230,0.000990048831906116,0.009900990099009901
1240,9100,910.0,1240,0.0009900188912787427,0.009900990099009901
1250,9112,900.0,1250,0.0009901386537774681,0.009900990099009901
1260,9118,897.0,1260,0.000990198535016063,0.009900990099009901
1270,9102,907.0,1270,0.000990038851697191,0.009900990099009901
1280,9084,924.0,1280,0.0009898592079024418,0.009900990099009901
1290,9070,942.0,1290,0.0009897194849063033,0.009900990099009901
1300,9052,955.0,1300,0.000989539840996696,0.009900990099009901
1310,9069,946.0,1310,0.000989709504690798,0.009900990099009901
1320,9056,952.0,1320,0.0009895797618710812,0.009900990099009901
1330,9069,948.0,1330,0.000989709504690798,0.009900990099009901
1340,9055,955.0,1340,0.0009895697816527838,0.009900990099009901
1350,9041,973.0,1350,0.000989430058575686,0.009900990099009901
1360,9029,984.0,1360,0.0009893102959070662,0.009900990099009901
1370,9042,968.0,1370,0.000989440038796775,0.009900990099009901
1380,9044,966.0,1380,0.0009894599992383542,0.009900990099009901
1390,9031,982.0,1390,0.0009893302563538304,0.009900990099009901
1400,9034,974.0,1400,0.0009893601970224807,0.009900990099009901
1410,9053,958.0,1410,0.0009895498212155913,0.009900990099009901
1420,9073,936.0,1420,0.0009897494255516233,0.009900990099009901
1430,9079,928.0,1430,0.0009898093068368792,0.009900990099009901
1440,9080,928.0,1440,0.0009898192870503905,0.009900990099009901
1450,9059,947.0,1450,0.000989609702524776,0.009900990099009901
1460,9101,910.0,1460,0.0009900288714880668,0.009900990099009901
1470,9096,913.0,1470,0.0009899789704394533,0.009900990099009901
1480,9105,900.0,1480,0.000990068792323368,0.009900990099009901
1490,9093,917.0,1490,0.0009899490298078926,0.009900990099009901
1500,9105,900.0,1500,0.000990068792323368,0.009900990099009901
1510,9090,923.0,1510,0.000989919089174537,0.009900990099009901
1520,9086,921.0,1520,0.0009898791683272713,0.009900990099009901
1530,9060,948.0,1530,0.0009896196827422757,0.009900990099009901
1540,9040,976.0,1540,0.0009894200783543978,0.009900990099009901
1550,9073,935.0,1550,0.0009897494255516233,0.009900990099009901
1560,9040,974.0,1560,0.0009894200783543978,0.009900990099009901
1570,9053,955.0,1570,0.0009895498212155913,0.009900990099009901
1580,9043,963.0,1580,0.0009894500190176642,0.009900990099009901
1590,9038,971.0,1590,0.000989400117911223,0.009900990099009901
1600,9037,971.0,1600,0.0009893901376893366,0.009900990099009901
1610,9028,979.0,1610,0.0009893003156833853,0.009900990099009901
1620,9055,959.0,1620,0.0009895697816527838,0.009900990099009901
1630,9056,955.0,1630,0.0009895797618710812,0.009900990099009901
1640,9065,945.0,1640,0.000989669583826782,0.009900990099009901
1650,9070,938.0,1650,0.0009897194849063033,0.009900990099009901
1660,9081,930.0,1660,0.0009898292672637025,0.009900990099009901
1670,9087,926.0,1670,0.0009898891485393868,0.009900990099009901
1680,9071,932.0,1680,0.0009897294651216096,0.009900990099009901
1690,9071,944.0,1690,0.0009897294651216096,0.009900990099009901
1700,9085,920.0,1700,0.0009898691881149563,0.009900990099009901
1710,9105,906.0,1710,0.000990068792323368,0.009900990099009901
1720,9072,937.0,1720,0.0009897394453367162,0.009900990099009901
1730,9099,908.0,1730,0.0009900089110692195,0.009900990099009901
1740,9090,922.0,1740,0.000989919089174537,0.009900990099009901
1750,9085,923.0,1750,0.0009898691881149563,0.009900990099009901
1760,9096,913.0,1760,0.0009899789704394533,0.009900990099009901
1770,9101,905.0,1770,0.0009900288714880668,0.009900990099009901
1780,9102,907.0,1780,0.000990038851697191,0.009900990099009901
1790,9100,910.0,1790,0.0009900188912787427,0.009900990099009901
1800,9113,895.0,1800,0.000990148633984399,0.009900990099009901
1810,9110,897.0,1810,0.000990118693363008,0.009900990099009901
1820,9101,909.0,1820,0.0009900288714880668,0.009900990099009901
1830,9106,907.0,1830,0.0009900787725316948,0.009900990099009901
1840,9101,905.0,1840,0.0009900288714880668,0.009900990099009901
1850,9078,933.0,1850,0.0009897993266231682,0.009900990099009901
1860,9066,942.0,1860,0.000989679564043085,0.009900990099009901
1870,9094,922.0,1870,0.0009899590100186121,0.009900990099009901
1880,9088,921.0,1880,0.0009898991287513028,0.009900990099009901
1890,9093,913.0,1890,0.0009899490298078926,0.009900990099009901
1900,9093,917.0,1900,0.0009899490298078926,0.009900990099009901
1910,9086,929.0,1910,0.0009898791683272713,0.009900990099009901
1920,9064,947.0,1920,0.0009896596036102795,0.009900990099009901
1930,9085,924.0,1930,0.0009898691881149563,0.009900990099009901
1940,9087,928.0,1940,0.0009898891485393868,0.009900990099009901
1950,9099,910.0,1950,0.0009900089110692195,0.009900990099009901
1960,9068,942.0,1960,0.0009896995244750933,0.009900990099009901
1970,9082,928.0,1970,0.0009898392474768153,0.009900990099009901
1980,9078,931.0,1980,0.0009897993266231682,0.009900990099009901
1990,9100,906.0,1990,0.0009900188912787427,0.009900990099009901
2000,9080,927.0,2000,0.0009898192870503905,0.009900990099009901
2010,9076,930.0,2010,0.0009897793661951485,0.009900990099009901
2020,9072,940.0,2020,0.0009897394453367162,0.009900990099009901
2030,9065,942.0,2030,0.000989669583826782,0.009900990099009901
2040,9072,935.0,2040,0.0009897394453367162,0.009900990099009901
2050,9075,931.0,2050,0.0009897693859808397,0.009900990099009901
2060,9078,926.0,2060,0.0009897993266231682,0.009900990099009901
2070,9083,929.0,2070,0.000989849227689728,0.009900990099009901
2080,9083,928.0,2080,0.000989849227689728,0.009900990099009901
2090,9103,906.0,2090,0.000990048831906116,0.009900990099009901
2100,9086,928.0,2100,0.0009898791683272713,0.009900990099009901
2110,9084,926.0,2110,0.0009898592079024418,0.009900990099009901
2120,9061,950.0,2120,0.0009896296629595758,0.009900990099009901
2130,9064,945.0,2130,0.0009896596036102795,0.009900990099009901
2140,9063,948.0,2140,0.0009896496233935776,0.009900990099009901
2150,9089,917.0,2150,0.0009899091089630196,0.009900990099009901
2160,9115,891.0,2160,0.0009901685943976626,0.009900990099009901
2170,9097,910.0,2170,0.000989988950649575,0.009900990099009901
2180,9117,888.0,2180,0.0009901885548101287,0.009900990099009901
2190,9093,916.0,2190,0.0009899490298078926,0.009900990099009901
2200,9095,915.0,2200,0.0009899689902291323,0.009900990099009901
2210,9098,909.0,2210,0.0009899989308594969,0.009900990099009901
2220,9088,916.0,2220,0.0009898991287513028,0.009900990099009901
2230,9077,933.0,2230,0.000989789346409258,0.009900990099009901
2240,9095,913.0,2240,0.0009899689902291323,0.009900990099009901
2250,9110,898.0,2250,0.000990118693363008,0.009900990099009901
2260,9113,894.0,2260,0.000990148633984399,0.009900990099009901
2270,9105,910.0,2270,0.000990068792323368,0.009900990099009901
2280,9123,890.0,2280,0.0009902484360427416,0.009900990099009901
2290,9125,884.0,2290,0.000990268396452017,0.009900990099009901
2300,9134,876.0,2300,0.0009903582182838866,0.009900990099009901
2310,9129,878.0,2310,0.0009903083172681753,0.009900990099009901
2320,9130,878.0,2320,0.0009903182974717165,0.009900990099009901
2330,9110,897.0,2330,0.000990118693363008,0.009900990099009901
2340,9100,909.0,2340,0.0009900188912787427,0.009900990099009901
2350,9092,916.0,2350,0.0009899390495969735,0.009900990099009901
2360,9094,917.0,2360,0.0009899590100186121,0.009900990099009901
2370,9096,909.0,2370,0.0009899789704394533,0.009900990099009901
2380,9069,935.0,2380,0.000989709504690798,0.009900990099009901
2390,9077,934.0,2390,0.000989789346409258,0.009900990099009901
2400,9081,927.0,2400,0.0009898292672637025,0.009900990099009901
2410,9081,922.0,2410,0.0009898292672637025,0.009900990099009901
2420,9093,912.0,2420,0.0009899490298078926,0.009900990099009901
2430,9084,925.0,2430,0.0009898592079024418,0.009900990099009901
2440,9077,934.0,2440,0.000989789346409258,0.009900990099009901
2450,9070,934.0,2450,0.0009897194849063033,0.009900990099009901
2460,9084,929.0,2460,0.0009898592079024418,0.009900990099009901
2470,9091,921.0,2470,0.0009899290693858548,0.009900990099009901
2480,9097,908.0,2480,0.000989988950649575,0.009900990099009901
2490,9089,921.0,2490,0.0009899091089630196,0.009900990099009901
2500,9104,901.0,2500,0.0009900588121148418,0.009900990099009901
2510,9084,925.0,2510,0.0009898592079024418,0.009900990099009901
2520,9079,938.0,2520,0.0009898093068368792,0.009900990099009901
2530,9074,934.0,2530,0.0009897594057663311,0.009900990099009901
2540,9076,935.0,2540,0.0009897793661951485,0.009900990099009901
2550,9091,916.0,2550,0.0009899290693858548,0.009900990099009901
2560,9085,924.0,2560,0.0009898691881149563,0.009900990099009901
2570,9074,932.0,2570,0.0009897594057663311,0.009900990099009901
2580,9077,935.0,2580,0.000989789346409258,0.009900990099009901
2590,9077,932.0,2590,0.000989789346409258,0.009900990099009901
2600,9086,922.0,2600,0.0009898791683272713,0.009900990099009901
