Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
14000,10320,63144,13000000,78000000,1000,6000,9997856570017,89688046,114024646,1339971826,12690,15504,111133,12989680,1000,6348,1387339,25757094,288864279,1711135721,1713739038,994120844,1005879156,17072919,99848840016,5019282,407111,2934919,34191351,39895180,133948843,3246,546,3375,47256,55692,75419244,77930508,21845641,5890984,1396359,2109,94109016,99938552,61448,191444251,118393,70527592,29472408,29121315,2805019,2543,7296836,99981381,18619,95292928,4707072,7275674,1000,1000,1000,1000,1000,1000,1000
15000,10820,63340,14000000,84000000,1000,6000,9997832610874,88028541,114136725,1339971665,12246,16109,117982,13989180,1000,6420,1373225,27742396,263621655,1736378345,1739336522,993758448,1006241552,18497270,99847630341,5510240,388791,2918956,37040250,43704524,133944915,3522,572,3557,50976,61176,81173359,83930240,23569632,6324187,1631028,2550,93675813,99938897,61103,190656533,140162,68247525,31752475,31419683,3003574,2371,7871901,99980521,19479,94992929,5007071,7850051,1000,1000,1000,1000,1000,1000,1000
16000,11220,63894,15000000,90000000,1000,6000,9997807487968,89942461,117825302,1339971766,12283,15971,125635,14988780,1000,6386,1359398,29726290,240805960,1759194040,1762521963,993395619,1006604381,19922750,99846394395,6008416,411698,2930363,39883755,47567580,133941179,3834,498,3311,55032,66936,86923595,89929720,25285388,6751906,1880064,2976,93248094,99938528,61472,189858699,163569,65983877,34016123,33707218,3199159,2414,8444142,99980102,19898,94700166,5299834,8421830,1000,1000,1000,1000,1000,1000,1000
17000,10770,63068,16000000,96000000,1000,6000,9997790473925,85910622,115572186,1339971486,12338,16196,135068,15989230,1000,6278,1348764,31708324,220168727,1779831273,1783542676,993028669,1006971331,21345327,99845213637,6509198,387687,2935153,42674913,51442004,133937833,4100,510,3481,58196,71840,92674005,95930654,26994614,7177696,2144532,3411,92822304,99938572,61428,189049473,188963,63730687,36269313,35986161,3391666,2713,9014233,99980027,19973,94413237,5586763,8991547,1000,1000,1000,1000,1000,1000,1000
18000,10160,63229,17000000,102000000,1000,6000,9997769943943,87360288,118803723,1339971266,12448,16306,145047,16989840,1000,1148,1338082,33689586,201510920,1798489080,1802595892,992660027,1007339973,22769238,99844053802,7018746,360395,2908363,45474903,55379924,133933443,4434,504,3553,62520,78108,98424033,101935623,28696855,7600372,2422212,3897,92399628,99938566,61434,188231382,216173,61493826,38506174,38255537,3580375,2775,9582266,99979191,20809,94134760,5865240,9558682,1000,1000,1000,1000,1000,1000,1000
19000,10750,63507,18000000,108000000,1000,6000,9997756865156,83132995,116355322,1339971475,11838,16707,155085,17989250,1000,1082,1325062,35668330,184640474,1815359526,1819873734,992292400,1007707600,24194534,99842878500,7533172,356241,2919368,48250700,59352224,133930193,4770,542,3249,66036,83604,104166440,107935411,30395192,8022168,2714178,4392,91977832,99938126,61874,187401750,244812,59266164,40733836,40519684,3766196,2526,10148734,99978284,21716,93861406,6138594,10124492,1000,1000,1000,1000,1000,1000,1000
20000,10410,63767,19000000,114000000,1000,6000,9997741009329,83283614,118288542,1339971520,11891,16609,167294,18989590,1000,6876,1312537,37644592,169384369,1830615631,1835548188,991921503,1008078497,25618612,99841705047,8054568,363353,2931124,51019888,63374472,133926220,5068,511,3505,69784,89488,109899539,113929357,32087542,8443176,3019779,4926,91556824,99937991,62009,186562258,275468,57053006,42946994,42776047,3947483,2911,10713443,99977973,22027,93594595,6405405,10688505,1000,1000,1000,1000,1000,1000,1000
21000,11120,61795,20000000,120000000,1000,6000,9997724820360,85221600,122011984,1339971318,11858,16844,178171,19988880,1000,1192,1300042,39621418,155593895,1844406105,1849767082,991550353,1008449647,27045681,99840519273,8580702,394910,2967288,53773296,67431028,133923065,5324,472,3491,72992,94472,115644000,119937013,33772464,8862059,3337485,5370,91137941,99938201,61799,185715165,307792,54854010,45145990,45022236,4126090,2775,11275695,99976852,23148,93333918,6666082,11249772,1000,1000,1000,1000,1000,1000,1000
22000,10580,62737,21000000,126000000,1000,6000,9997714409933,82690036,121269554,1339971850,11612,16558,191129,20989420,1000,6222,1289017,41596582,143124543,1856875457,1862674911,991176215,1008823785,28471662,99839417500,9110730,352531,2945793,56496924,71509036,133919532,5632,521,3391,76576,100336,121372860,125931041,35451298,9279412,3667611,5940,90720588,99937887,62113,184859021,341668,52666271,47333729,47260394,4301135,2797,11835903,99975990,24010,93079466,6920534,11809096,1000,1000,1000,1000,1000,1000,1000
23000,10560,64102,22000000,132000000,1000,6000,9997702534319,82806870,123175765,1339971674,11523,16823,205053,21989440,1000,591,1277561,43568774,131849748,1868150252,1874398364,990801065,1009198935,29897699,99838279384,9645686,358660,2959077,59214612,75627568,133916317,5914,486,3329,79888,106144,127109507,131935307,37122213,9694358,4008924,6564,90305642,99938321,61679,183995851,377260,50495754,49504246,49488134,4472140,3143,12393514,99975550,24450,92829651,7170349,12365921,1000,1000,1000,1000,1000,1000,1000
24000,10760,63654,23000000,138000000,1000,6000,9997692206067,82441417,124599287,1339971545,11423,17052,220351,22989240,1000,1143,1263721,45537778,121650953,1878349047,1885054819,990426901,1009573099,31326679,99837142374,10185108,379384,2978892,61916989,79773428,133913145,6178,501,3714,82660,111376,132839560,137935203,38782300,10104190,4360425,7179,89895810,99938133,61867,183128171,414739,48345008,51654992,51701264,4638000,3006,12947378,99974592,25408,92588050,7411950,12918964,1000,1000,1000,1000,1000,1000,1000
25000,10310,63392,24000000,144000000,1000,6000,9997680893882,84029482,127982178,1339971927,10987,17106,236079,23989690,1000,6289,1252423,47507222,112431243,1887568757,1894740156,990049099,1009950901,32755491,99836051001,10727454,363895,2976687,64590520,83940916,133909768,6474,475,3629,86148,117108,138563355,143930319,40436157,10514909,4724205,7740,89485091,99938006,61994,182251698,453576,46206694,53793306,53906090,4800830,3017,13499308,99973642,26358,92350381,7649619,13469933,1000,1000,1000,1000,1000,1000,1000
26000,10500,63820,25000000,150000000,1000,6000,9997676528650,79547949,125295233,1339970961,11444,17615,253041,24989500,1000,607,1239187,49472918,104098154,1895901846,1903547001,989670041,1010329959,34184309,99834970563,11273114,347245,2972669,67248319,88132748,133906409,6786,515,3540,89556,122940,144295623,149935573,42083598,10923745,5097606,8346,89076255,99938227,61773,181369327,494005,44083098,55916902,56102324,4958650,3276,14049422,99972580,27420,92117102,7882898,14018726,1000,1000,1000,1000,1000,1000,1000
27000,10880,63264,26000000,156000000,1000,6000,9997670483828,77540767,125092985,1339971463,11146,17411,269184,25989120,1000,6272,1231363,51439872,96570367,1903429633,1911556941,989283710,1010716290,35610830,99833859181,11822886,371528,3008664,69892611,92353316,133903136,7114,515,3545,92824,129148,150015464,155930464,43725236,11330681,5481210,9081,88669319,99938013,61987,180480024,535865,41972078,58027922,58290786,5112752,3543,14597679,99971414,28586,91888834,8111166,14565550,1000,1000,1000,1000,1000,1000,1000
28000,10690,63155,27000000,162000000,1000,6000,9997661602589,79076348,128432204,1339971438,11128,17454,287875,26989310,1000,6302,1220428,53402870,89758223,1910241777,1918858962,988896738,1011103262,37038492,99832766001,12376182,387139,3036829,72519975,96597488,133899902,7422,540,3494,96084,135144,155738741,161930543,45361045,11736090,5874492,9765,88263910,99938219,61781,179584944,579545,39875247,60124753,60471389,5261116,3593,15143950,99969987,30013,91665508,8334492,15110344,1000,1000,1000,1000,1000,1000,1000
29000,10530,64219,28000000,168000000,1000,6000,9997654331095,79652313,130815694,1339971373,11148,17499,307213,27989470,1000,6452,1210343,55364514,83603693,1916396307,1925509410,988507440,1011492560,38466829,99831719722,12934050,368492,3026336,75133185,100870724,133896527,7738,521,3404,99568,141388,161458435,167929329,46988847,12141805,6278217,10455,87858195,99938395,61605,178683487,624671,37793862,62206138,62641359,5405125,3519,15687342,99968689,31311,91448930,8551070,15652512,1000,1000,1000,1000,1000,1000,1000
30000,10930,63415,29000000,174000000,1000,6000,9997649413776,78453915,131426245,1339971339,10921,17760,327149,28989070,1000,6315,1199308,57323842,78038080,1921961920,1931578799,988115138,1011884862,39894999,99830631881,13494698,400128,3068216,77728500,105168664,133893200,8076,442,3586,102792,147588,167178883,173930270,48611199,12545847,6692226,11199,87454153,99937850,62150,177775124,671260,35727011,64272989,64803910,5543981,3758,16229535,99966934,33066,91235161,8764839,16192711,1000,1000,1000,1000,1000,1000,1000
31000,10530,64294,30000000,180000000,1000,6000,9997646676329,75603718,130390682,1339971603,11065,17352,347573,29989470,1000,558,1186381,59283794,73008493,1926991507,1937117836,987720255,1012279745,41327125,99829617914,14058964,365635,3037849,80316545,109491340,133890071,8404,537,3628,105784,153724,172901464,179935148,50229229,12949522,7113834,11985,87050478,99938084,61916,176862233,719459,33672654,66327346,66960636,5676924,3873,16770288,99964992,35008,91025747,8974253,16731407,1000,1000,1000,1000,1000,1000,1000
32000,10800,63517,31000000,186000000,1000,6000,9997641439598,75727358,132332056,1339971063,10840,18117,368517,30989200,1000,540,1175825,61241366,68459797,1931540203,1942181948,987321252,1012678748,42757402,99828559115,14625116,386148,3063627,82883061,113829708,133887567,8698,490,3491,108472,159520,178619036,185935943,51838076,13351377,7544361,12762,86648623,99938034,61966,175944912,769203,31636126,68363874,69105244,5805216,4399,17308139,99963428,36572,90820060,9179940,17267168,1000,1000,1000,1000,1000,1000,1000
33000,10560,61596,32000000,192000000,1000,6000,9997635273604,77210426,135635469,1339971052,10813,18155,391324,31989440,1000,6700,1163300,63196232,64349396,1935650604,1946813363,986920168,1013079832,44189253,99827567544,15193326,349724,3031129,85432652,118179164,133884602,9028,531,3607,111280,165544,184330527,191931704,53439912,13749755,7981440,13566,86250245,99937939,62061,175025425,820752,29615266,70384734,71240233,5927147,4409,17843679,99961051,38949,90619387,9380613,17800321,1000,1000,1000,1000,1000,1000,1000
34000,10430,62376,33000000,198000000,1000,6000,9997632009991,76185826,136442117,1339970973,10263,18784,413433,32989570,1000,1083,1155889,65152274,60639505,1939360495,1951049667,986510968,1013489032,45619891,99826556910,15762542,342658,3037443,87951866,122535532,133881334,9390,531,3507,114648,172140,190050575,197936541,55032947,14148111,8427594,14373,85851889,99938103,61897,174100820,873290,27612219,72387781,73363450,6043351,4553,18376494,99958562,41438,90422409,9577591,18330503,1000,1000,1000,1000,1000,1000,1000
35000,10780,61722,34000000,204000000,1000,6000,9997628278936,75977481,138069254,1339971549,10272,18199,435904,33989220,1000,6231,1146800,67106632,57287669,1942712331,1954934377,986098272,1013901728,47051172,99825519774,16336808,371073,3061735,90474809,126931240,133878318,9748,465,3489,117748,178696,195758769,203932047,56622189,14545167,8882259,15237,85454833,99937800,62200,173170587,927395,25622417,74377583,75481501,6153732,5095,18908660,99955747,44253,90229594,9770406,18859312,1000,1000,1000,1000,1000,1000,1000
36000,10680,62039,35000000,210000000,1000,6000,9997629175811,71461087,135395100,1339971788,10077,18155,458870,34989320,1000,579,1139240,69060900,54260894,1945739106,1958498309,985680219,1014319781,48483070,99824499757,16911158,391407,3092715,92965530,131321388,133875202,10086,513,3693,120612,184980,201476760,209937382,58203592,14940270,9343230,16092,85059730,99937964,62036,172238491,982938,23647960,76352040,77588717,6258049,5248,19438590,99951783,48217,90041393,9958607,19385125,1000,1000,1000,1000,1000,1000,1000
37000,10730,62922,36000000,216000000,1000,6000,9997624990016,72313452,138094891,1339971077,10151,18792,482056,35989270,1000,7020,1131247,71014428,51526346,1948473654,1961775147,985257999,1014742001,49916832,99823548444,17488236,351068,3056761,95444645,135732876,133872226,10404,477,3693,123624,191316,207180738,215930058,59779177,15334307,9812016,16923,84665693,99937883,62117,171302083,1040167,21689171,78310829,79688322,6355595,5462,19966349,99948258,51742,89856407,10143593,19909145,1000,1000,1000,1000,1000,1000,1000
38000,10230,62964,37000000,222000000,1000,6000,9997624188735,70042446,137673210,1339970791,10064,19165,506088,36989770,1000,1138,1118800,72967364,49059380,1950940620,1964789064,984836031,1015163969,51357096,99822522516,18066004,397256,3109491,97898430,140146792,133870107,10688,502,3559,125852,197048,212897552,221935898,61343622,15724991,10287363,17799,84275009,99938076,61924,170364641,1098910,19751894,80248106,81772729,6446299,6060,20491468,99943699,56301,89676663,10323337,20429107,1000,1000,1000,1000,1000,1000,1000
39000,10560,62475,38000000,228000000,1000,6000,9997618749450,72645041,142138269,1339971112,9915,18993,527564,37989440,1000,675,1109625,74923752,46834051,1953165949,1967565814,984406352,1015593648,52799033,99821621064,18646122,329290,3040173,100342398,144577968,133867889,10950,501,3482,128148,202824,218608314,227936850,62901389,16114121,10769223,18669,83885879,99938326,61674,169424340,1158678,17830684,82169316,83847835,6531071,6597,21015094,99937949,62051,89501036,10498964,20946446,1000,1000,1000,1000,1000,1000,1000
40000,10230,62741,39000000,234000000,1000,6000,9997617279372,71489859,142855100,1339970790,10123,19107,550867,38989770,1000,6828,1104777,76877806,44826031,1955173969,1970130167,983966706,1016033294,54236154,99820627275,19227512,363644,3072928,102766813,149016404,133865516,11282,510,3702,130292,208880,224311034,233930431,64451525,16500432,11257473,19647,83499568,99938256,61744,168481626,1219699,15927294,84072706,85912478,6608358,7256,21536875,99931334,68666,89329711,10670289,21460953,1000,1000,1000,1000,1000,1000,1000
41000,10870,62872,40000000,240000000,1000,6000,9997615398405,70940018,144182242,1339971341,9709,18970,572508,39989130,1000,6331,1096729,78833244,43017563,1956982437,1972498067,983524947,1016475053,55679703,99819716599,19810342,328772,3028025,105174666,153469560,133863128,11622,458,3546,132888,215304,230019815,239930797,65991526,16885330,11753106,20604,83114670,99938381,61619,167537421,1282470,14046917,85953083,87962865,6678488,7964,22056812,99922491,77509,89162355,10837645,21971339,1000,1000,1000,1000,1000,1000,1000
42000,10520,61999,41000000,246000000,1000,6000,9997614439964,69633675,144758723,1339970565,9920,19535,595059,40989480,1000,589,1086649,80788842,41380154,1958619846,1974699241,983078911,1016921089,57126925,99818736453,20392206,372762,3065380,107559103,157910748,133860810,11906,491,3819,134900,221228,235735356,245937412,67522477,17263537,12251250,21582,82736463,99938543,61457,166595611,1346645,12185319,87814681,90000679,6740828,9195,22575268,99912129,87871,88999084,11000916,22478202,1000,1000,1000,1000,1000,1000,1000
43000,10410,62371,42000000,252000000,1000,6000,9997612243632,69725667,146740255,1339970647,9738,19635,617644,41989590,1000,6138,1076185,82743892,39908243,1960091757,1976738832,982628230,1017371770,58576530,99817824609,20973426,366070,3054067,109910778,162345720,133858877,12206,485,3490,137168,227504,241438675,251931491,69038170,17638209,12755862,22584,82361791,99939465,60535,165654181,1411494,10352229,89647771,92017037,6795592,10741,23091177,99898431,101569,88841907,11158093,22978867,1000,1000,1000,1000,1000,1000,1000
44000,10380,62915,43000000,258000000,1000,6000,9997607899516,72106565,151030981,1339969807,10160,20053,637221,42989620,1000,6261,1071919,84704798,38582040,1961417960,1978636298,982164474,1017835526,60026864,99816943525,21553730,350907,3040949,112222252,166774452,133856178,12566,492,3518,139832,234188,247147676,257930824,70537377,18008368,13268634,23589,81991632,99940079,59921,164713373,1477664,8550863,91449137,94009445,6842408,12774,23606015,99878827,121173,88691512,11308488,23472068,1000,1000,1000,1000,1000,1000,1000
45000,10900,63009,44000000,264000000,1000,6000,9997609067173,69100906,149937760,1339970602,9433,19985,657196,43989100,1000,6350,1064638,86663808,37386449,1962613551,1980406957,981698297,1018301703,61481065,99816029825,22135006,399691,3064127,114517265,171204940,133853764,12848,497,3455,142304,240464,252856714,263930641,72012359,18367988,13785684,24540,81632012,99941080,58920,163779686,1544939,6791142,93208858,95967388,6881040,15804,24118105,99852728,147272,88553255,11446745,23955029,1000,1000,1000,1000,1000,1000,1000
46000,10730,61733,45000000,270000000,1000,6000,9997608167800,68277935,151036208,1339970400,9530,20090,676391,44989270,1000,6735,1054828,88625758,36311039,1963688961,1982060509,981227105,1018772895,62941110,99815231832,22712828,378070,3000730,116769676,175613408,133851532,13178,530,3458,144500,246716,258568529,269931532,73452529,18712832,14307474,25554,81287168,99943504,56496,162859124,1613836,5090056,94909944,97874213,6911753,20659,24629820,99812523,187477,88428300,11571700,24421684,1000,1000,1000,1000,1000,1000,1000
47000,10760,63591,46000000,276000000,1000,6000,9997606163878,68665208,153354968,1339969798,9525,20697,695289,45989240,1000,1059,1047490,90587902,35344008,1964655992,1983607764,980747260,1019252740,64400702,99814473939,23283618,393959,2955121,118945579,179964916,133849379,13486,576,3373,146692,252988,264286798,275935350,74830793,19032403,14833875,26574,80967597,99947476,52524,161963301,1683837,3483480,96516520,99690880,6934460,29091,25139710,99749468,250532,88328197,11671803,24860087,1000,1000,1000,1000,1000,1000,1000
48000,10580,63219,47000000,282000000,1000,6000,9997604430266,68877354,155510146,1339970659,9065,20296,713096,46989420,1000,6826,1040541,92552648,34476435,1965523565,1985057317,980261048,1019738952,65864530,99813898263,23842646,374542,2806610,121013807,184224348,133846921,13816,544,3451,149104,259216,270001724,281929955,76091607,19303600,15363798,27528,80696400,99955641,44359,161118289,1755349,2049691,97950309,101337341,6949166,47438,25647577,99645595,354405,88274530,11725470,25245734,1000,1000,1000,1000,1000,1000,1000
