Time\ number,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900,Time\ Probability,r1_2_200,r2_1_300,r1_2_400,r2_1_500,r1_2_600,r2_1_700,r1_2_800,r2_1_900
240,200000031737394.0,193,15828757205698.0,4656851954181,4706508496117.0,14238166,14238281.0,511,240,9.9999999999e-12,0.9553438524866646,0.03381642512077295,0.10428136464407305,2.4999937500156254e-06,0.5405746799840367,7.999936000511995e-06,0.2666935490323076
250,200000031737397.0,150,15390505979431.0,5129924119289,5129936948473.0,19637513,9127184.0,368,250,9.9999999999e-12,0.9538478662818978,0.03381642512077295,0.1136709875202068,2.4999937500156254e-06,0.5353976823161444,7.999936000511995e-06,0.2626400229775602
260,200000031737207.0,2137,15863763115065.0,4613259358064,4672684695226.0,17483922,17484061.0,531,260,9.9999999999e-12,0.949497898603385,0.03381642512077295,0.10340626929909635,2.4999937500156254e-06,0.5387831615632565,7.999936000511995e-06,0.2652856796020037
270,200000031737317.0,1977,15492345746350.0,5031528372489,5031540949021.0,19442509,21720834.0,558,270,9.9999999999e-12,0.9534654855628635,0.03381642512077295,0.11173431467463826,2.4999937500156254e-06,0.5298362228722365,7.999936000511995e-06,0.2583364322165155
280,200000031735317.0,4034,15779539701599.0,4718272091361,4718283888506.0,22372817,22373000.0,601,280,9.9999999999e-12,0.9557708000667189,0.03381642512077295,0.10551195067428745,2.4999937500156254e-06,0.5430706995578525,7.999936000511995e-06,0.26718253533819025
290,200000031735402.0,4042,15847254023793.0,4633805549511,4688635396931.0,17433728,17433867.0,566,290,9.9999999999e-12,0.9551812896916808,0.03381642512077295,0.10381899421751795,2.4999937500156254e-06,0.5093688118571057,7.999936000511995e-06,0.2659504590933221
300,200000031737167.0,2206,15884319893889.0,4587701586635,4652823435288.0,16971605,16971554.0,688,300,9.9999999999e-12,0.954240411423225,0.03381642512077295,0.10289231952976315,2.4999937500156254e-06,0.5071279815931293,7.999936000511995e-06,0.26172391832380526
310,200000031735437.0,3992,15314738333859.0,5203129869785,4685251622950.0,21754059,10110634.0,378,310,9.9999999999e-12,0.9543970432931774,0.03381642512077295,0.11510637403177808,2.4999937500156254e-06,0.535114014763374,7.999936000511995e-06,0.2624192442604566
320,200000031737391.0,196,15968255465064.0,4483647812208,4483659018202.0,21907903,21908091.0,352,320,9.9999999999e-12,0.9482568003416479,0.03381642512077295,0.10079405429618087,2.4999937500156254e-06,0.5019775502674563,7.999936000511995e-06,0.25731567112731835
330,200000031735364.0,3981,15829413527421.0,4656033688390,4656030221232.0,28079745,12977356.0,401,330,9.9999999999e-12,0.9548816019743618,0.03381642512077295,0.10426490114402504,2.4999937500156254e-06,0.5378967816999078,7.999936000511995e-06,0.2645905393916537
340,200000031737393.0,100,15844640289410.0,4637056041999,4637067637519.0,22205428,10897609.0,616,340,9.9999999999e-12,0.9497186750401206,0.03381642512077295,0.10388444606151799,2.4999937500156254e-06,0.5095263421530231,7.999936000511995e-06,0.26605513076257126
350,200000031735274.0,4080,15905822301516.0,4561002618967,4632039522365.0,27118485,15535370.0,500,350,9.9999999999e-12,0.9546585050438355,0.03381642512077295,0.102354755154734,2.4999937500156254e-06,0.5366123820637538,7.999936000511995e-06,0.2635863703400787
