Time,x,y
33400,354,0
33500,356,0
33600,359,0
33700,365,0
33800,367,0
33900,372,0
34000,374,0
34100,379,0
34200,381,0
34300,386,0
34400,392,0
34500,397,0
34600,399,0
34700,404,0
34800,406,0
34900,411,0
35000,416,0
35100,418,0
35200,421,0
35300,425,0
35400,428,0
35500,430,0
35600,433,0
35700,442,0
35800,444,0
35900,447,0
36000,454,0
36100,463,0
36200,467,0
36300,467,0
36400,474,0
36500,480,0
36600,482,0
36700,484,0
36800,490,0
36900,497,0
37000,504,0
37100,509,0
37200,516,0
37300,522,0
37400,530,0
37500,534,0
37600,537,0
37700,542,0
37800,550,0
37900,555,0
38000,558,0
38100,565,0
38200,567,0
38300,569,0
38400,577,0
38500,579,0
38600,582,0
38700,586,0
38800,597,0
38900,601,0
39000,603,0
39100,610,0
39200,618,0
39300,628,0
39400,633,0
39500,642,0
39600,652,0
39700,658,0
39800,660,0
39900,664,0
40000,674,0
40100,684,0
40200,698,0
40300,705,0
40400,719,0
40500,725,0
40600,733,0
40700,735,0
40800,741,0
40900,746,0
41000,754,0
41100,761,0
41200,769,0
41300,773,0
41400,781,0
41500,789,0
41600,794,0
41700,801,0
41800,809,0
41900,817,0
42000,825,0
42100,832,0
42200,840,0
42300,849,0
42400,858,0
42500,864,0
42600,873,0
42700,885,0
42800,889,0
42900,901,0
43000,914,0
43100,923,0
43200,928,0
43300,939,0
43400,950,0
43500,957,0
43600,965,0
43700,976,0
43800,986,0
43900,990,0
44000,999,0
44100,1009,0
44200,1022,0
44300,1030,0
44400,1039,0
44500,1049,0
44600,1064,0
44700,1074,0
44800,1082,0
44900,1092,0
45000,1102,0
45100,1115,0
45200,1128,0
45300,1141,0
45400,1148,0
45500,1164,0
45600,1173,0
45700,1181,0
45800,1189,0
45900,1197,0
46000,1207,0
46100,1217,0
46200,1231,0
46300,1245,0
46400,1253,0
46500,1264,0
46600,1278,0
46700,1295,0
46800,1308,0
46900,1320,0
47000,1337,0
47100,1350,0
47200,1364,0
47300,1374,0
47400,1400,0
47500,1407,0
47600,1423,0
47700,1432,0
47800,1447,0
47900,1464,0
48000,1475,0
48100,1491,0
48200,1504,0
48300,1517,0
48400,1525,0
48500,1541,0
48600,1551,0
48700,1567,0
48800,1579,0
48900,1597,0
49000,1607,0
49100,1622,0
49200,1643,0
49300,1660,0
49400,1672,0
49500,1689,0
49600,1708,0
49700,1721,0
49800,1736,0
49900,1748,0
50000,1767,0
50100,1782,0
50200,1796,0
50300,1811,0
50400,1828,0
50500,1847,0
50600,1870,0
50700,1884,0
50800,1909,0
50900,1927,0
51000,1945,0
51100,1974,0
51200,2001,0
51300,2022,0
51400,2051,0
51500,2079,0
51600,2095,0
51700,2121,0
51800,2143,0
51900,2163,0
52000,2183,0
52100,2205,0
52200,2226,0
52300,2238,0
52400,2262,0
52500,2282,0
52600,2315,0
52700,2337,0
52800,2361,0
52900,2390,0
53000,2409,0
53100,2438,0
53200,2468,0
53300,2480,0
53400,2511,0
53500,2536,0
53600,2560,0
53700,2587,0
53800,2613,0
53900,2632,0
54000,2662,0
54100,2698,0
54200,2721,0
54300,2747,0
54400,2775,0
54500,2804,0
54600,2837,0
54700,2865,0
54800,2897,0
54900,2927,0
55000,2959,0
55100,2983,0
55200,3015,0
55300,3046,0
55400,3081,0
55500,3107,0
55600,3136,0
55700,3170,0
55800,3202,0
55900,3223,0
56000,3258,0
56100,3289,0
56200,3328,0
56300,3369,0
56400,3400,0
56500,3435,0
56600,3463,0
56700,3492,0
56800,3526,0
56900,3568,0
57000,3605,0
57100,3646,0
57200,3681,0
57300,3719,0
57400,3747,0
57500,3781,0
57600,3821,0
57700,3861,0
57800,3899,0
57900,3944,0
58000,3985,0
58100,4031,0
58200,4073,0
58300,4111,0
58400,4155,0
58500,4200,0
58600,4246,0
58700,4286,0
58800,4332,0
58900,4372,0
59000,4408,0
59100,4462,0
59200,4514,0
59300,4560,0
59400,4604,0
59500,4651,0
59600,4709,0
59700,4752,0
59800,4805,0
59900,4849,0
60000,4898,0
60100,4937,0
60200,4980,0
60300,5034,0
60400,5094,0
60500,5149,0
60600,5207,0
60700,5248,0
60800,5297,0
