Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1
51600,9992959661074.0,1030,16,200.0,20,20,118231399,105819109608.0,15,0,0,99,8073,2,0,0,0,0,2000,399.0,51600,9.99999000001e-07,0.9998943534773418,0.4736842105263158,0.999000999000999,0.9987245042534122,0.025415066822681444,0.0009982983823558537,9.99999000001e-07,0.9999001409011884,0.0012171855823995602,0.9349346134072751,0.9953625167140404,0.9999989729598824,0.9937347233491487,0.8071213908851461,0.9898944763630314,0.0,0.9999999498954641,0.9999963027280153,0.9999999999999
51700,9992945805862.0,9946507,19,200.0,11008,41656,118620829,105830250188.0,106032,1,2,33,0,800,2,13,2,20,1411,400.0,51700,9.99999000001e-07,0.9998956902310874,0.4736842105263158,0.999000999000999,0.9987251842319822,0.8238837943690845,0.000998296983173643,9.99999000001e-07,0.9999010687933975,0.001215235363959183,0.9874912597583685,0.9935151337786392,0.9999989856889845,0.9937330244786063,0.9055141718021202,0.9835762845998944,0.9717099840466763,0.9999999498958659,0.9999949877581737,0.9999999999999
51800,9992921689716.0,19919693,20,201.0,20,42152,118649379,105841175518.0,105754,1,177,21616,21375,0,1,0,7,108,2000,201.0,51800,9.99999000001e-07,0.9998970100250164,0.4736842105263158,0.999000999000999,0.9987256405068026,0.8985045024662196,0.000998295571138729,9.99999000001e-07,0.9999010511435965,0.0012117060787370524,0.984753885876135,0.9885511429349977,0.9999989927098382,0.9937452529140403,0.9138300370308478,0.9687966084750501,0.5477078538396084,0.9999999498959633,0.9999963164636071,0.9999999999999
51900,9992907637960.0,19933579,25,200.0,10009,10976,118729740,105852303206.0,106160,21,584,267,0,4,2,588,719,314,2000,200.0,51900,9.99999000001e-07,0.9998972455704119,0.4736842105263158,0.999000999000999,0.9987256918873045,0.021478892044511283,0.0009982941705366495,9.99999000001e-07,0.999901072629903,0.0012094350123744873,0.5239825461033238,0.9693757110156247,0.9999989990940801,0.99363058111314,0.24673855750250992,0.978325762785209,0.9814811033446015,0.9999999498961017,0.9999957976995719,0.9999999999999
52000,9992903622790.0,9921070,17,200.0,11000,25143,118576089,105863391445.0,20,2000,5,70,36013,2,180,344,2,2000,0,200.0,52000,9.99999000001e-07,0.9998963935223341,0.4736842105263158,0.999000999000999,0.9987255270890496,0.8232834146904892,0.0009982917997636992,9.99999000001e-07,0.999893642682808,0.005868327273240161,0.9645159685863981,0.9891460418389028,0.9999989999937999,0.9936573520393918,0.9461482822935897,0.9844246888417401,0.8129041002952523,0.9999999836042285,0.9999949877436567,0.9999999999999
52100,9992889845704.0,46913,16,200.0,7028,71846,118590242,105874205666.0,105621,0,973,26333,26011,18,201,223,18,40,2000,200.0,52100,9.99999000001e-07,0.9998955497034492,0.4736842105263158,0.999000999000999,0.9987246692062629,0.8234274780265374,0.0009982904062276806,9.99999000001e-07,0.9998978502273905,0.001207643633512665,0.9160572351296323,0.9872364466690368,0.9999989938898933,0.993703736690894,0.946624451484146,0.980806882019314,0.9589062403620495,0.9999999498958783,0.9999961525252592,0.9999999999999
52200,9992875816471.0,9977834,25,200.0,18000,77716,118365007,105885095676.0,106120,2000,25,302,13279,0,0,167,0,28,1182,399.0,52200,9.99999000001e-07,0.9998968434004193,0.4736842105263158,0.999000999000999,0.9987257544314057,0.823973361534408,0.0009982900146688312,9.99999000001e-07,0.9999012661139873,0.005834138493805922,0.9526007084167857,0.9712286566922521,0.9999989893971593,0.9937350818441973,0.8744996369612466,0.9892036098170105,0.5007135091881945,0.9999999498956764,0.9999949877877821,0.9999999999999
52300,9992851637173.0,19946120,24,200.0,9,581,118601568,105896248445.0,211710,2000,24035,220,4680,803,2,0,403,2000,2000,200.0,52300,9.99999000001e-07,0.9998981430000125,0.4736842105263158,0.999000999000999,0.9987258457785525,0.0010060160363524065,0.0009982876015328687,9.99999000001e-07,0.9998911041451642,0.00587801058304945,0.9847850138951264,0.949347485533631,0.9999989971919369,0.9937397092312281,0.7008083498735864,0.9816748646809466,0.9867971774636035,0.9999999889023854,0.9999956020300695,0.9999999999999
52400,9992837712864.0,19930139,18,201.0,16000,19402,118611396,105907324970.0,105880,2000,836,2030,2002,261,71,4,0,832,127,199.0,52400,9.99999000001e-07,0.9998983727155677,0.4736842105263158,0.999000999000999,0.9987259036986021,0.8982502221501817,0.000998285202054286,9.99999000001e-07,0.9999005539245847,0.011392505006535311,0.8720507638139223,0.986503207474875,0.9999990000005,0.9937367061046601,0.9460198925212424,0.97292110064333,0.9389753914970619,0.9999999498961917,0.9999949877402459,0.9999999999999
52500,9992833462422.0,9994273,18,200.0,10009,76033,118493744,105918156936.0,105922,2000,3,15,16164,237,86,0,3,830,0,200.0,52500,9.99999000001e-07,0.9998975829541329,0.4736842105263158,0.999000999000999,0.9987246749226871,0.823693186483226,0.0009982847784427245,9.99999000001e-07,0.9999010672567543,0.005773487401096829,0.04579683931140791,0.9937595330740281,0.9999989999989,0.9937225244182601,0.9462414449533514,0.9883240874244366,0.9267227277338128,0.9999999498957771,0.9999949877560645,0.9999999999999
52600,9992809535729.0,19972899,20,200.0,11014,985,118474032,105929293135.0,106046,2000,24510,22,2678,363,20,386,0,2000,0,200.0,52600,9.99999000001e-07,0.9998988241307083,0.4736842105263158,0.999000999000999,0.9987270256047444,0.042506205847722425,0.0009982833998289477,9.99999000001e-07,0.9998964491373695,0.005837970914360748,0.9730191575760846,0.99062086240832,0.9999989845569388,0.9937350580020599,0.9461911536529023,0.9802189232115731,0.9732720324692722,0.9999999728252841,0.9999949877768424,0.9999999999999
52700,9992795601960.0,19927695,22,200.0,15,66,118392600,105940151539.0,8,2000,382,7170,7076,1,0,10,20,6,2000,400.0,52700,9.99999000001e-07,0.9998990519635761,0.4736842105263158,0.999000999000999,0.998725089011721,0.005041352215086076,0.0009982829888047153,9.99999000001e-07,0.9999003425128177,0.0057984799973112055,0.9711192260871364,0.988315514774494,0.9999989954593759,0.9937369921425871,0.7747898277333258,0.9898180393309168,0.8349493113932036,0.9999999498955559,0.9999958420454912,0.9999999999999
52800,9992791610715.0,10002499,25,200.0,8,22282,118425752,105951181193.0,106880,2000,78,11922,0,0,0,389,39,2000,1101,400.0,52800,9.99999000001e-07,0.9998982488992711,0.4736842105263158,0.999000999000999,0.9987272166084201,0.8234171184676611,0.0009982806013243192,9.99999000001e-07,0.9998921958413468,0.005794183839858122,0.9920597449979625,0.9770354616252307,0.9999989888684528,0.9936380789521334,0.28380324610526864,0.9845587267918422,0.9873494696259024,0.999999984917333,0.9999949877828137,0.9999999999999
52900,9992767840488.0,20016895,20,200.0,22007,1009,118488592,105962516724.0,105779,2,0,0,0,0,0,0,0,0,1673,402.0,52900,9.99999000001e-07,0.9998994699390684,0.4736842105263158,0.999000999000999,0.9987261700320488,0.05605623246600301,0.0009982782297011045,9.99999000001e-07,0.9999012055589261,0.001192362027397433,0.9343236460408787,0.9751192083740972,0.9999989829847242,0.9937347180196466,0.6737988658737778,0.9639248688424176,0.6436682118440924,0.9999999498962002,0.9999949877746411,0.9999999999999
53000,9992763864751.0,929,23,200.0,7009,478,118667457,105973950716.0,106273,0,0,0,0,0,0,132,0,48,108,0.0,53000,9.99999000001e-07,0.9998976205925121,0.4736842105263158,0.999000999000999,0.998725587521571,0.027527922680469507,0.0009982788418621575,9.99999000001e-07,0.9998997176651143,0.0011916976489732586,0.9563732378285807,0.9876588439860906,0.9999989989107148,0.9937480631804922,0.8317998007360137,0.9753614778763187,0.0,0.9999999498959766,0.9999949877314925,0.9999999999999
53100,9992749671681.0,9869469,17,200.0,9,84378,118515622,105984750017.0,20,2000,13584,31,18264,403,0,168,2,2000,1256,200.0,53100,9.99999000001e-07,0.9998988869288087,0.4736842105263158,0.999000999000999,0.9987242866396238,0.823710210993987,0.000998276440478342,9.99999000001e-07,0.9998953559274536,0.005735971548501829,0.9756290780305754,0.9933258554517117,0.9999989999912999,0.9937325941933297,0.8958349532983583,0.9887537870109712,0.9832996507648927,0.9999999752772655,0.9999949877716576,0.9999999999999
53200,9992735731065.0,5304,22,200.0,9000,44417,118638588,105995457146.0,211861,0,26220,277,0,3,0,166,144,2000,2000,0.0,53200,9.99999000001e-07,0.9998981000082143,0.4736842105263158,0.999000999000999,0.9987263101907612,0.8232856534416398,0.000998275024869715,9.99999000001e-07,0.9999020576799952,0.0011847125005456651,0.9755156253801665,0.9715193814538516,0.9999989998071628,0.9936951979299855,0.9398949306158086,0.9814076449854987,0.9290207680619873,0.999999974896118,0.9999950357489084,0.9999999999999
53300,9992721525403.0,10026499,22,202.0,19,20536,118363285,106006354106.0,30,41,0,26400,0,796,2,662,10,84,2000,202.0,53300,9.99999000001e-07,0.9998993558096495,0.4736842105263158,0.999000999000999,0.9987244980000972,0.03929131230208751,0.0009982746163776125,9.99999000001e-07,0.9999004886702868,0.0011824103113661365,0.979101364737589,0.9856550074670777,0.9999989999951,0.9937386024459187,0.938200399882148,0.9897316141980111,0.947155387251003,0.9999999498957497,0.9999961718484286,0.9999999999999
53400,9992707631658.0,9990602,19,200.0,13000,474,118433298,106017393277.0,105931,26,1,30,690,0,1,115,260,2000,456,400.0,53400,9.99999000001e-07,0.9998995759709858,0.4736842105263158,0.999000999000999,0.9987274966841454,0.04514401557668298,0.000998272220954159,9.99999000001e-07,0.9998914332354568,0.0011799109424655025,0.9919130137611931,0.9497543502193696,0.9999990000003,0.9936613671159804,0.895773747903641,0.9798918093553062,0.9737344569253708,0.999999984772504,0.9999949877828396,0.9999999999999
53500,9992694776003.0,9993806,19,201.0,11,43,118661761,106029681590.0,106394,0,0,0,0,405,0,661,9,2000,2000,201.0,53500,9.99999000001e-07,0.9998996798986205,0.4736842105263158,0.999000999000999,0.9987259942387822,0.03842837984644265,0.0009982709378444838,9.99999000001e-07,0.9998886711048302,0.0011911467429095263,0.9965036105085143,0.9861233068027302,0.9999989938028316,0.993629680636637,0.9465389860835689,0.9865274562060051,0.9686224874455373,0.9999999898276395,0.9999961651205056,0.9999999999999
