Time\ number,r2_2_100:=Cell_1,r1_1_200:=Cell_1,Time\ Probability,r2_2_100:=Cell_1,r1_1_200:=Cell_1
6400,17,201.0,6400,0.4736842105263158,0.999000999000999
6500,17,200.0,6500,0.4736842105263158,0.999000999000999
6600,21,201.0,6600,0.4736842105263158,0.999000999000999
6700,24,200.0,6700,0.4736842105263158,0.999000999000999
6800,22,200.0,6800,0.4736842105263158,0.999000999000999
6900,22,200.0,6900,0.4736842105263158,0.999000999000999
7000,19,200.0,7000,0.4736842105263158,0.999000999000999
7100,21,200.0,7100,0.4736842105263158,0.999000999000999
7200,24,200.0,7200,0.4736842105263158,0.999000999000999
7300,20,201.0,7300,0.4736842105263158,0.999000999000999
7400,18,200.0,7400,0.4736842105263158,0.999000999000999
7500,23,200.0,7500,0.4736842105263158,0.999000999000999
7600,22,200.0,7600,0.4736842105263158,0.999000999000999
7700,19,200.0,7700,0.4736842105263158,0.999000999000999
7800,24,200.0,7800,0.4736842105263158,0.999000999000999
7900,23,200.0,7900,0.4736842105263158,0.999000999000999
8000,21,200.0,8000,0.4736842105263158,0.999000999000999
8100,25,202.0,8100,0.4736842105263158,0.999000999000999
8200,20,200.0,8200,0.4736842105263158,0.999000999000999
8300,16,200.0,8300,0.4736842105263158,0.999000999000999
8400,26,200.0,8400,0.4736842105263158,0.999000999000999
8500,19,200.0,8500,0.4736842105263158,0.999000999000999
8600,19,200.0,8600,0.4736842105263158,0.999000999000999
8700,19,200.0,8700,0.4736842105263158,0.999000999000999
8800,22,200.0,8800,0.4736842105263158,0.999000999000999
8900,20,201.0,8900,0.4736842105263158,0.999000999000999
9000,19,200.0,9000,0.4736842105263158,0.999000999000999
9100,20,200.0,9100,0.4736842105263158,0.999000999000999
9200,20,200.0,9200,0.4736842105263158,0.999000999000999
9300,20,200.0,9300,0.4736842105263158,0.999000999000999
9400,19,201.0,9400,0.4736842105263158,0.999000999000999
9500,21,200.0,9500,0.4736842105263158,0.999000999000999
9600,26,200.0,9600,0.4736842105263158,0.999000999000999
9700,19,200.0,9700,0.4736842105263158,0.999000999000999
9800,16,200.0,9800,0.4736842105263158,0.999000999000999
9900,22,200.0,9900,0.4736842105263158,0.999000999000999
10000,21,200.0,10000,0.4736842105263158,0.999000999000999
10100,23,200.0,10100,0.4736842105263158,0.999000999000999
10200,20,200.0,10200,0.4736842105263158,0.999000999000999
10300,23,200.0,10300,0.4736842105263158,0.999000999000999
10400,25,200.0,10400,0.4736842105263158,0.999000999000999
10500,23,201.0,10500,0.4736842105263158,0.999000999000999
10600,22,200.0,10600,0.4736842105263158,0.999000999000999
10700,17,200.0,10700,0.4736842105263158,0.999000999000999
10800,18,200.0,10800,0.4736842105263158,0.999000999000999
10900,21,200.0,10900,0.4736842105263158,0.999000999000999
11000,19,200.0,11000,0.4736842105263158,0.999000999000999
11100,27,200.0,11100,0.4736842105263158,0.999000999000999
11200,22,200.0,11200,0.4736842105263158,0.999000999000999
11300,22,201.0,11300,0.4736842105263158,0.999000999000999
11400,19,200.0,11400,0.4736842105263158,0.999000999000999
11500,20,200.0,11500,0.4736842105263158,0.999000999000999
11600,19,200.0,11600,0.4736842105263158,0.999000999000999
11700,20,200.0,11700,0.4736842105263158,0.999000999000999
11800,22,200.0,11800,0.4736842105263158,0.999000999000999
11900,17,200.0,11900,0.4736842105263158,0.999000999000999
12000,20,200.0,12000,0.4736842105263158,0.999000999000999
12100,20,200.0,12100,0.4736842105263158,0.999000999000999
12200,22,200.0,12200,0.4736842105263158,0.999000999000999
12300,27,201.0,12300,0.4736842105263158,0.999000999000999
12400,22,200.0,12400,0.4736842105263158,0.999000999000999
12500,25,200.0,12500,0.4736842105263158,0.999000999000999
12600,23,200.0,12600,0.4736842105263158,0.999000999000999
12700,20,200.0,12700,0.4736842105263158,0.999000999000999
12800,21,201.0,12800,0.4736842105263158,0.999000999000999
12900,21,200.0,12900,0.4736842105263158,0.999000999000999
13000,18,200.0,13000,0.4736842105263158,0.999000999000999
13100,20,200.0,13100,0.4736842105263158,0.999000999000999
13200,19,200.0,13200,0.4736842105263158,0.999000999000999
13300,21,200.0,13300,0.4736842105263158,0.999000999000999
13400,22,200.0,13400,0.4736842105263158,0.999000999000999
13500,20,200.0,13500,0.4736842105263158,0.999000999000999
13600,18,200.0,13600,0.4736842105263158,0.999000999000999
13700,21,200.0,13700,0.4736842105263158,0.999000999000999
13800,24,201.0,13800,0.4736842105263158,0.999000999000999
13900,21,200.0,13900,0.4736842105263158,0.999000999000999
14000,20,200.0,14000,0.4736842105263158,0.999000999000999
14100,20,200.0,14100,0.4736842105263158,0.999000999000999
14200,25,201.0,14200,0.4736842105263158,0.999000999000999
14300,21,200.0,14300,0.4736842105263158,0.999000999000999
14400,19,200.0,14400,0.4736842105263158,0.999000999000999
14500,22,200.0,14500,0.4736842105263158,0.999000999000999
14600,13,200.0,14600,0.4736842105263158,0.999000999000999
14700,21,200.0,14700,0.4736842105263158,0.999000999000999
14800,25,200.0,14800,0.4736842105263158,0.999000999000999
14900,22,200.0,14900,0.4736842105263158,0.999000999000999
15000,21,200.0,15000,0.4736842105263158,0.999000999000999
15100,19,200.0,15100,0.4736842105263158,0.999000999000999
15200,25,200.0,15200,0.4736842105263158,0.999000999000999
15300,18,200.0,15300,0.4736842105263158,0.999000999000999
15400,20,201.0,15400,0.4736842105263158,0.999000999000999
15500,18,200.0,15500,0.4736842105263158,0.999000999000999
15600,21,200.0,15600,0.4736842105263158,0.999000999000999
15700,21,200.0,15700,0.4736842105263158,0.999000999000999
15800,18,200.0,15800,0.4736842105263158,0.999000999000999
15900,20,200.0,15900,0.4736842105263158,0.999000999000999
16000,23,201.0,16000,0.4736842105263158,0.999000999000999
16100,21,200.0,16100,0.4736842105263158,0.999000999000999
16200,21,201.0,16200,0.4736842105263158,0.999000999000999
16300,19,200.0,16300,0.4736842105263158,0.999000999000999
