Time,S,E,I,R
418,9041824,720704,150218,87274
419,9019421,737691,153520,89388
420,8997666,753584,157169,91601
421,8975088,770604,160758,93570
422,8951197,788845,164276,95702
423,8927622,806705,167736,97957
424,8903511,825032,171382,100095
425,8879623,842661,175226,102510
426,8854721,861308,179224,104767
427,8828949,880545,183592,106934
428,8803980,898681,188035,109324
429,8778002,917749,192657,111612
430,8750224,938669,196872,114255
431,8723754,957869,201772,116625
432,8694587,979994,205976,119463
433,8665573,1001902,210630,121915
434,8636173,1023948,215058,124841
435,8607206,1044853,220403,127558
436,8577416,1066514,225599,130491
437,8546313,1089600,230741,133366
438,8515389,1112186,235797,136648
439,8481955,1137282,240751,140032
440,8449338,1161569,246015,143098
441,8415600,1186760,251259,146401
442,8381800,1211641,256937,149642
443,8345884,1238569,262391,153176
444,8310553,1264683,268254,156530
445,8274475,1291474,273902,160169
446,8239015,1317276,280325,163404
447,8201997,1344389,286608,167026
448,8164191,1372325,292958,170546
449,8125837,1400564,299385,174234
450,8087541,1428187,306088,178204
451,8048521,1456140,312789,182570
452,8009027,1484146,320112,186735
453,7968419,1513568,326845,191188
454,7925358,1545313,333687,195662
455,7883798,1575025,340889,200308
456,7842307,1604862,348552,204299
457,7800684,1634280,356471,208585
458,7756720,1665918,364357,213025
459,7711124,1699475,371769,217652
460,7663770,1734206,379115,222929
461,7617785,1767058,386940,228237
462,7570129,1801598,395249,233044
463,7522357,1835336,404058,238269
464,7474666,1869192,412435,243727
465,7426199,1903626,421324,248871
466,7376698,1938558,430111,254653
467,7325704,1975873,438666,259777
468,7276393,2010435,447930,265262
469,7224448,2047349,456842,271381
470,7172270,2084004,466393,277353
471,7117713,2123441,475555,283311
472,7061568,2164278,484499,289675
473,7006159,2203807,493813,296241
474,6951735,2241486,503864,302935
475,6895039,2282323,513042,309616
476,6836140,2324592,522734,316554
477,6777387,2366585,532743,323305
478,6718760,2407814,542836,330610
479,6659334,2449885,552873,337928
480,6599418,2492199,563091,345312
481,6537534,2535909,573558,353019
482,6480343,2574522,585405,359750
483,6419215,2617048,596185,367572
484,6358203,2658636,607995,375186
485,6296972,2700450,619375,383223
486,6234371,2743974,630849,390826
487,6171096,2788153,641809,398962
488,6109118,2829541,653798,407563
489,6045899,2872141,665621,416359
490,5980961,2917448,677509,424102
491,5915704,2962203,688991,433122
492,5847947,3009335,700596,442142
493,5785804,3050264,713805,450147
494,5717509,3097112,726082,459317
495,5652257,3140339,739919,467505
496,5585661,3185454,752180,476725
497,5517000,3232221,764753,486046
498,5451053,3275436,778089,495442
499,5384946,3318585,792249,504240
500,5317267,3363946,804685,514122
501,5249790,3407194,819067,523969
502,5181189,3452128,832182,534521
503,5113907,3495255,846903,543955
504,5046947,3537988,860735,554350
505,4975373,3585280,874095,565272
506,4906173,3630529,888487,574831
507,4838723,3672710,902640,585947
508,4767764,3718843,915877,597536
509,4697402,3764673,929376,608569
510,4629603,3806508,943790,620119
511,4561439,3848601,959182,630798
512,4492286,3892388,973243,642103
513,4423372,3935732,988518,652398
514,4353123,3980605,1002246,664046
515,4285665,4020585,1017040,676730
516,4217201,4062203,1031478,689138
517,4150943,4101193,1046557,701327
518,4084312,4140115,1062578,713015
519,4014961,4182630,1076397,726032
520,3946610,4224279,1091040,738091
521,3881056,4263172,1105056,750736
522,3815243,4302234,1119960,762583
523,3747846,4342132,1133957,776085
524,3684078,4377346,1149097,789499
525,3617509,4415826,1163271,803414
526,3554325,4452019,1178604,815072
527,3491693,4487081,1193861,827385
528,3432441,4518108,1209354,840117
529,3371334,4550526,1225640,852520
530,3313688,4579635,1241472,865225
531,3253395,4610887,1256121,879617
532,3195725,4639584,1271979,892732
533,3133939,4672746,1286026,907309
534,3075802,4701899,1300176,922143
535,3017521,4731859,1315349,935291
536,2960979,4760749,1328908,949384
537,2903897,4789111,1342879,964133
538,2848474,4816984,1357520,977042
539,2791263,4845591,1371106,992060
540,2735317,4873002,1384322,1007379
541,2681976,4897892,1397284,1022868
542,2633145,4918082,1412615,1036178
543,2583682,4938871,1427228,1050239
544,2534231,4959495,1441980,1064314
545,2485047,4979672,1456850,1078451
546,2436859,5000201,1470828,1092132
547,2388372,5020785,1484307,1106556
548,2342487,5038330,1496615,1122588
549,2298755,5054077,1510678,1136510
550,2254340,5069885,1524971,1150824
551,2209395,5087193,1536934,1166498
552,2167756,5101736,1550182,1180346
553,2124346,5118117,1561521,1196036
554,2083540,5132434,1572879,1211167
555,2044076,5144142,1584938,1226864
556,2006622,5154612,1597120,1241666
557,1968651,5166353,1607962,1257054
558,1932539,5175160,1620794,1271527
559,1896490,5185170,1631552,1286808
560,1861567,5193586,1642452,1302415
561,1830241,5198757,1654677,1316345
562,1797691,5204924,1664982,1332423
563,1765684,5212564,1674445,1347327
564,1735151,5217172,1686008,1361689
565,1703411,5223789,1695501,1377319
566,1674576,5227521,1705165,1392758
567,1646180,5232503,1713624,1407713
568,1617620,5237428,1721934,1423038
569,1592642,5238651,1732657,1436070
570,1567254,5240220,1742308,1450238
571,1542041,5241533,1751972,1464474
572,1517366,5243060,1759538,1480056
573,1493454,5244106,1768834,1493626
574,1469389,5245787,1775845,1508999
575,1450843,5242380,1784932,1521865
576,1431692,5240022,1793553,1534753
577,1410512,5239550,1799977,1549981
578,1391909,5236122,1808619,1563370
579,1372861,5233895,1815022,1578242
580,1355069,5231575,1822627,1590749
581,1338184,5229455,1828521,1603860
582,1322412,5224376,1834775,1618457
583,1306631,5221188,1840205,1631996
584,1293210,5215563,1847571,1643676
585,1278748,5211481,1852669,1657122
586,1265878,5205044,1859205,1669893
587,1251625,5200240,1863943,1684212
588,1240192,5193481,1870071,1696276
589,1228021,5188167,1875915,1707917
590,1218875,5179166,1882279,1719700
591,1210252,5170171,1888377,1731220
592,1200192,5162503,1892691,1744634
593,1189508,5155849,1897180,1757483
594,1181186,5148127,1902379,1768328
595,1170990,5141926,1905435,1781669
596,1161946,5134947,1908535,1794592
597,1153457,5127325,1913552,1805686
598,1145580,5120640,1916390,1817410
599,1139718,5112116,1919058,1829128
600,1133653,5103723,1923580,1839064
601,1127563,5094824,1927915,1849718
602,1123377,5085123,1931868,1859652
603,1117941,5076726,1935023,1870330
604,1114989,5066334,1939029,1879668
605,1109809,5057621,1942361,1890229
606,1104923,5050563,1944747,1899787
607,1100083,5042499,1946049,1911389
608,1097057,5033495,1948661,1920807
609,1095804,5023223,1951373,1929620
610,1090863,5016004,1953339,1939814
611,1087850,5006715,1955859,1949596
612,1085977,4998220,1956618,1959205
613,1084678,4989426,1958534,1967382
614,1081845,4980598,1959881,1977696
615,1080647,4971604,1961598,1986171
616,1077901,4965144,1962848,1994127
617,1075802,4956705,1963902,2003611
618,1073797,4948796,1965549,2011878
619,1074017,4940328,1965524,2020151
620,1074037,4931464,1967186,2027333
621,1072460,4924829,1966739,2035992
622,1070195,4917854,1966907,2045064
623,1068468,4910690,1968050,2052812
624,1067730,4904100,1968557,2059633
625,1068571,4895801,1968199,2067449
626,1066013,4890244,1967643,2076120
627,1064959,4883597,1967116,2084348
628,1066875,4874787,1968139,2090219
629,1067380,4867875,1967476,2097289
630,1066875,4861444,1966403,2105298
631,1067034,4854987,1965683,2112316
632,1065761,4849585,1965044,2119630
633,1068792,4840461,1965629,2125138
634,1072625,4831223,1966263,2129909
635,1075005,4823424,1966718,2134873
636,1076576,4816719,1967144,2139581
637,1077847,4808996,1966457,2146720
638,1078485,4804319,1965709,2151507
639,1078936,4798404,1964012,2158668
640,1080466,4792663,1962173,2164718
641,1081465,4787043,1960847,2170665
642,1083077,4781905,1958762,2176276
643,1084680,4775876,1958470,2180994
644,1087530,4769481,1956571,2186438
645,1090302,4763289,1956060,2190369
646,1092274,4756787,1955758,2195201
647,1092200,4752827,1954330,2200663
648,1095149,4747203,1952974,2204694
649,1098587,4740589,1951589,2209255
650,1100816,4735384,1950537,2213283
651,1102845,4729249,1949469,2218457
652,1105268,4724891,1947617,2222244
653,1107162,4719359,1945552,2227947
654,1108092,4715486,1943607,2232835
655,1111914,4709065,1943413,2235628
656,1111907,4706580,1941760,2239773
657,1112674,4702876,1940415,2244055
658,1116034,4696954,1939164,2247868
659,1119948,4691655,1938621,2249796
660,1120777,4688032,1937241,2253970
661,1122351,4685050,1936551,2256068
