Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1
51600,10000000001452.0,999613,9998477834412.0,10021366,110,201.0,15327,22,68919801,100557336784.0,830,200,1870,1680,2020,0,18,0,17,460,0,2000,68,399.0,51600,9.999999999e-11,0.0009986147716922245,9.99999000001e-07,0.9999355169697327,0.09090909090909091,0.999000999000999,0.7623540505182477,0.9802675072325603,0.0009988490932542535,9.99999000001e-07,0.9999994994782962,0.964285503382208,0.9997995165663046,0.999447888843158,0.999998999996,0.9900923057756142,0.9900895666840249,0.9944245916140314,0.9999490004576083,0.9999490025448727,0.9999999499239274,0.011687676326860139,0.9999949923978798,0.9999999999999
51610,10000000000017.0,1000994,9998477671277.0,9998230,108,201.0,9677,68,69097872,100558116362.0,101803,0,0,1960,0,23,0,264,59,3,0,2000,0,201.0,51610,9.999999999e-11,0.0009999930129939512,9.99999000001e-07,0.999935511001032,0.09090909090909091,0.999000999000999,0.7627191687017647,0.003313256579805802,0.0009988490755310122,9.99999000001e-07,0.9999994994976316,0.952380744145842,0.9997999899999969,0.9994477310393963,0.999998999999,0.9900923062011775,0.9900895667215388,0.9944195180318008,0.9999490010505026,0.9999490023468415,0.9999999499241228,0.011371229960190927,0.9999949923857429,0.9999999999999
51620,9999999999674.0,1001325,9998477444242.0,9996105,103,200.0,17802,316,68960620,100558241753.0,100515,200,4000,0,0,40,0,456,235,235,1017,2000,1820,0.0,51620,9.999999999e-11,0.0010003233512203393,9.99999000001e-07,0.9999355149286838,0.09090909090909091,0.999000999000999,0.7624181668315633,0.1904515180429629,0.0009988480499764335,9.99999000001e-07,0.9999994995708157,0.9990117076652019,0.9998000297960601,0.9994473537391312,0.9999989814553577,0.99009230698182,0.9900895679706814,0.9944188984293322,0.9999490025476725,0.9999490025488725,0.9999999499242442,0.01126596641841746,0.9999949923961842,0.9999999999999
51630,10000000000547.0,1000387,9998476900200.0,10041171,114,200.0,15348,16,68744760,100557877140.0,2573,140,1330,0,0,0,0,22,247,233,2000,2000,0,200.0,51630,9.999999999e-11,0.0009993872260111324,9.99999000001e-07,0.9999355450337822,0.09090909090909091,0.999000999000999,0.7626716003656593,0.0029506192129612275,0.0009988479957698843,9.99999000001e-07,0.9999994997017679,0.9523807441884092,0.999800029196234,0.9994489195441638,0.9999989991532837,0.990092308844112,0.9900895705937072,0.9944231029513884,0.9999490025438728,0.99994900240986,0.9999999502725356,0.011628997671314001,0.9999949924062945,0.9999999999999
51640,10000000000267.0,1000689,9998476628088.0,120918,109,200.0,17211,175,68608535,100557642770.0,2751,200,2000,2000,10,336,0,1,1,264,998,2000,4,399.0,51640,9.999999999e-11,0.000999688622591947,9.99999000001e-07,0.9999351466674459,0.09090909090909091,0.999000999000999,0.7626345513616503,0.254643464350165,0.0009988489581253055,9.99999000001e-07,0.9999994997401628,0.9990189182884303,0.9998000295961189,0.9994494793839636,0.9999989999609985,0.9900923106204698,0.9900895715626374,0.9944255965602617,0.9999490025433727,0.9999490017471687,0.9999999499241369,0.011746327851111705,0.9999949924181476,0.9999999999999
51650,9999999999295.0,1001725,9998476422604.0,1239,106,201.0,9299,14106,68617458,100558062829.0,101780,200,0,3,3,71,1,20,0,0,0,2000,2000,201.0,51650,9.999999999e-11,0.0010007225512023968,9.99999000001e-07,0.9999351543397558,0.09090909090909091,0.999000999000999,0.7626156213981178,0.12391727886284717,0.0009988489523473653,9.99999000001e-07,0.9999994999334737,0.99903703983555,0.9997999584263052,0.9994489212495424,0.9999989855978222,0.9900923118648114,0.9900895747999451,0.9944094640726963,0.9999490013055883,0.9999490018352979,0.9999999499239749,0.011608240886758336,0.9999970683134278,0.9999999999999
51660,9999999999304.0,1001717,9998476211513.0,9092,109,200.0,17826,27228,68876363,100558289738.0,103370,0,0,1,1,518,10,1,4,458,1010,2000,84,400.0,51660,9.999999999e-11,0.0010007145672058823,9.99999000001e-07,0.9999351548475006,0.09090909090909091,0.999000999000999,0.7623178503401867,0.3568104368202472,0.0009988489276428916,9.99999000001e-07,0.9999994998772717,0.9523807443647,0.9998000296161131,0.9994487573982379,0.9999989999951,0.9900923128201914,0.990089576235746,0.994422166625254,0.9999490025464727,0.9999490019468391,0.9999999499241518,0.011571972741204415,0.9999949924010482,0.9999999999999
51670,10000000000065.0,1000929,9998475931838.0,10071513,105,200.0,12766,61,68698088,100558163280.0,100605,0,0,0,0,0,0,332,369,368,26,2000,1328,0.0,51670,9.999999999e-11,0.0009999281429238314,9.99999000001e-07,0.9999355952260325,0.09090909090909091,0.999000999000999,0.7621789397662058,0.003308291613175813,0.0009988489033358225,9.99999000001e-07,0.999999500141851,0.9523807444013758,0.999799659136298,0.9994492297493085,0.9999989865381868,0.9900923144237768,0.9900895784163875,0.9944257088185319,0.9999490025447727,0.999949002534873,0.9999999499239833,0.01167758592920238,0.9999949924129627,0.9999999999999
51680,9999999999255.0,1001774,9998465525325.0,19967771,112,201.0,3563,42429,68740895,100558054113.0,2252,200,1,3,0,8,1,22,0,8,2000,2000,706,400.0,51680,9.999999999e-11,0.001000771453178264,9.99999000001e-07,0.999936029270672,0.09090909090909091,0.999000999000999,0.7621556544370061,0.9802770074220254,0.0009988478648036074,9.99999000001e-07,0.9999995002718451,0.9995104300454222,0.9998000298760363,0.9994494386794541,0.9999989928830063,0.9900923164443036,0.9900895811545827,0.9944227780467523,0.9999489988374254,0.9999490025488725,0.9999999504807192,0.011872402992136044,0.9999949924106144,0.9999999999999
51690,9999999999076.0,1001893,9998475075557.0,10003919,106,200.0,28493,44,68406297,100557595085.0,24,200,0,0,54,2,1,4,0,0,1013,2000,0,200.0,51690,9.999999999e-11,0.0010008902150997231,9.99999000001e-07,0.9999356392022651,0.09090909090909091,0.999000999000999,0.7625315976808082,0.003179162017455366,0.0009988478173097281,9.99999000001e-07,0.999999500417839,0.999032794777148,0.9998000275966628,0.9994508671325163,0.9999989998353729,0.9900923180693184,0.990089583914161,0.9944308571302268,0.9999490025464727,0.9999490025468727,0.9999999499238756,0.012062415318055648,0.9999949924284006,0.9999999999999
