Time,S,I,R
543,3958842,2743095,3298083
544,3960229,2739622,3300169
545,3962961,2734584,3302475
546,3964761,2731201,3304058
547,3965035,2727534,3307451
548,3967068,2723870,3309082
549,3968803,2719090,3312127
550,3969406,2715327,3315287
551,3969826,2711763,3318431
552,3970652,2707943,3321425
553,3974745,2704123,3321152
554,3979387,2699869,3320764
555,3980889,2696506,3322625
556,3985846,2691859,3322315
557,3991291,2687625,3321104
558,3995669,2682514,3321837
559,3996784,2679545,3323691
560,4000926,2677044,3322050
561,4004061,2674253,3321706
562,4007777,2670091,3322152
563,4009349,2666875,3323796
564,4013551,2662517,3323952
565,4015638,2658182,3326200
566,4018561,2654431,3327028
567,4021209,2651940,3326871
568,4024648,2648676,3326696
569,4027673,2646560,3325787
570,4032363,2643962,3323695
571,4035296,2641633,3323091
572,4037885,2638509,3323626
573,4041924,2634736,3323360
574,4045857,2631195,3322968
575,4050624,2629426,3319970
576,4054072,2627271,3318677
577,4056803,2624962,3318255
578,4061969,2622239,3315812
579,4065659,2620522,3313839
580,4068283,2618426,3313311
581,4071146,2614969,3313905
582,4074068,2611936,3314016
583,4077264,2609884,3312872
584,4081597,2607866,3310557
585,4086200,2606193,3307627
586,4088698,2603493,3307829
587,4093841,2600662,3305517
588,4095137,2599235,3305648
589,4098731,2596608,3304681
590,4101138,2594233,3304649
591,4104363,2591347,3304310
592,4107068,2589083,3303869
593,4110582,2586193,3303245
594,4115465,2584005,3300550
595,4118096,2581403,3300521
596,4122038,2580433,3297549
597,4124538,2578565,3296917
598,4129614,2577014,3293392
599,4133645,2575374,3291001
600,4135081,2574240,3290699
601,4138581,2572174,3289265
602,4141403,2571061,3287556
603,4143827,2570210,3285983
604,4147830,2569270,3282920
605,4152630,2567581,3279809
606,4156583,2566320,3277117
607,4160040,2565754,3274226
608,4163841,2564892,3271287
609,4165364,2563257,3271399
610,4167038,2563013,3269969
611,4168633,2561388,3269999
612,4172086,2560692,3267242
613,4175894,2559237,3264889
614,4179858,2558028,3262134
615,4184295,2556889,3258836
616,4184379,2556635,3259006
617,4186756,2555798,3257466
618,4187501,2554374,3258145
619,4191076,2553799,3255145
620,4191721,2553051,3255248
621,4193688,2552109,3254223
622,4196675,2552014,3251331
623,4199228,2552685,3248107
624,4199943,2551676,3248401
625,4199510,2552264,3248246
626,4201767,2552122,3246131
627,4201673,2551969,3246378
628,4202848,2550822,3246350
629,4203679,2549802,3246539
630,4205335,2549137,3245548
631,4204889,2549391,3245740
632,4206388,2549297,3244335
633,4209819,2548613,3241588
634,4212336,2548335,3239349
