Time,A,B,S
9840,0,49776759,50233242
9850,0,49782379,50227622
9860,0,49789069,50220932
9870,0,49789977,50220024
9880,0,49788870,50221131
9890,0,49776650,50233351
9900,0,49777002,50232999
9910,0,49773575,50236426
9920,0,49764298,50245703
9930,0,49766509,50243492
9940,0,49767536,50242465
9950,0,49758416,50251585
9960,0,49757457,50252544
9970,0,49765126,50244875
9980,0,49771590,50238411
9990,0,49777619,50232382
10000,0,49771180,50238821
10010,0,49769897,50240104
10020,0,49768895,50241106
10030,0,49767767,50242234
10040,0,49772089,50237912
10050,0,49770064,50239937
10060,0,49774218,50235783
10070,0,49770676,50239325
10080,0,49781719,50228282
10090,0,49777865,50232136
10100,0,49767347,50242654
10110,0,49763437,50246564
10120,0,49780964,50229037
10130,0,49765742,50244259
10140,0,49779290,50230711
10150,0,49773519,50236482
10160,0,49766985,50243016
10170,0,49770039,50239962
10180,0,49756306,50253695
10190,0,49759788,50250213
10200,0,49764110,50245891
10210,0,49771241,50238760
10220,0,49781824,50228177
10230,0,49776823,50233178
10240,0,49775771,50234230
10250,0,49779484,50230517
10260,0,49770954,50239047
10270,0,49766934,50243067
10280,0,49762926,50247075
10290,0,49770440,50239561
10300,0,49768560,50241441
10310,0,49774623,50235378
10320,0,49771832,50238169
10330,0,49759304,50250697
10340,0,49748912,50261089
10350,0,49736943,50273058
10360,0,49734521,50275480
10370,0,49738225,50271776
10380,0,49743372,50266629
10390,0,49736746,50273255
10400,0,49728617,50281384
10410,0,49711728,50298273
10420,0,49722144,50287857
10430,0,49734784,50275217
10440,0,49736976,50273025
10450,0,49731770,50278231
10460,0,49743715,50266286
10470,0,49743631,50266370
10480,0,49741948,50268053
10490,0,49749496,50260505
10500,0,49759474,50250527
10510,0,49759483,50250518
10520,0,49763387,50246614
10530,0,49748317,50261684
10540,0,49749002,50260999
10550,0,49741454,50268547
10560,0,49752800,50257201
10570,0,49739885,50270116
10580,0,49752365,50257636
10590,0,49761366,50248635
10600,0,49757709,50252292
10610,0,49763444,50246557
10620,0,49766957,50243044
10630,0,49766340,50243661
10640,0,49764299,50245702
10650,0,49760761,50249240
10660,0,49766262,50243739
10670,0,49772094,50237907
10680,0,49776465,50233536
10690,0,49787347,50222654
10700,0,49793474,50216527
10710,0,49796960,50213041
10720,0,49784524,50225477
10730,0,49779146,50230855
10740,0,49794742,50215259
10750,0,49802352,50207649
10760,0,49810245,50199756
10770,0,49801566,50208435
10780,0,49795971,50214030
10790,0,49797630,50212371
10800,0,49790113,50219888
