Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
21000,10440,64181,20000000,120000000,1000,6000,9997726759476,83275456,120065473,1339972004,11586,16430,178693,19989560,1000,6508,1301852,39621734,155585732,1844414268,1849773894,991552419,1008447581,27045428,99973101902,8586838,400361,2967176,53852350,67525160,1339552,28,3,41,424,580,115635878,119929311,33768898,8861340,3341304,39,91138660,99938531,61469,185717565,307594,54854827,45145173,45017584,4128725,2928,11274454,99977160,22840,93337044,6662956,11248686,1000,1000,1000,1000,1000,1000,1000
22000,10500,62723,21000000,126000000,1000,6000,9997711450217,85636929,124213236,1339971707,11669,16644,191550,20989500,1000,6445,1288923,41595900,143110297,1856889703,1862687763,991180680,1008819320,28473039,99972000935,9115118,353273,2953005,56564607,71594608,1339513,30,6,45,456,624,121373258,125930832,35445964,9278121,3672069,42,90721879,99938318,61682,184862137,341725,52669104,47330896,47253441,4303541,2928,11833938,99976467,23533,93081585,6918415,11807477,1000,1000,1000,1000,1000,1000,1000
23000,10140,62876,22000000,132000000,1000,6000,9997699119996,86209415,126575571,1339971977,11613,16430,205707,21989860,1000,1196,1276132,43568306,131837221,1868162779,1874409417,990806290,1009193710,29901131,99970832052,9650476,389222,2993516,59284860,75716160,1339502,34,7,39,472,676,127110673,131935928,37115015,9691350,4013427,51,90308650,99938523,61477,184000535,377592,50501385,49498615,49478594,4473465,3186,12391043,99975722,24278,92833487,7166513,12363579,1000,1000,1000,1000,1000,1000,1000
24000,10720,62482,23000000,138000000,1000,6000,9997694000703,80642731,122798915,1339971267,11709,17044,219808,22989280,1000,6376,1263087,45538944,121645887,1878354113,1885058684,990431547,1009568453,31329979,99969743263,10189238,354902,2977885,61976868,79860520,1339499,34,4,45,472,688,132836506,137931142,38777830,10103225,4367184,54,89896775,99937936,62064,183130140,414916,48345514,51654486,51695368,4640512,3124,12945878,99974784,25216,92590340,7409660,12917538,1000,1000,1000,1000,1000,1000,1000
25000,10930,62980,24000000,144000000,1000,6000,9997683366775,81553094,125503670,1339971027,11673,17320,236009,23989070,1000,1147,1251972,47506122,112426090,1887573910,1894743335,990051261,1009948739,32755512,99968578115,10732996,408735,3035148,64666482,84038336,1339507,34,2,39,472,700,138569358,143935873,40433882,10513208,4729437,57,89486792,99938018,61982,182255385,454106,46205234,53794766,53903109,4801871,3210,13498638,99973799,26201,92353589,7646411,13469227,1000,1000,1000,1000,1000,1000,1000
26000,10440,63059,25000000,150000000,1000,6000,9997674439419,81632624,127381347,1339971614,11193,17213,252972,24989560,1000,627,1241505,49473176,104093756,1895906244,1903550348,989668629,1010331371,34181867,99967534301,11280592,350850,2980952,67341616,88247252,1339440,40,9,27,544,796,144295998,149936314,42084588,10920883,5102706,63,89079117,99938016,61984,181373029,494812,44077524,55922476,56103602,4959938,3244,14049804,99972454,27546,92120554,7879446,14019014,1000,1000,1000,1000,1000,1000,1000
27000,10510,63604,26000000,156000000,1000,6000,9997666541480,81468670,129016577,1339971515,11266,17239,270613,25989490,1000,1090,1228734,51437754,96555358,1903444642,1911569840,989285897,1010714103,35611043,99966427420,11830862,367886,3011788,69985773,92472908,1339402,42,4,26,588,852,150019854,155935306,43726050,11329153,5487474,66,88670847,99938316,61684,180483965,537239,41967692,58032308,58291784,5112608,3395,14597977,99971152,28848,91893086,8106914,14565734,1000,1000,1000,1000,1000,1000,1000
28000,10390,62314,27000000,162000000,1000,6000,9997661562908,79107119,128461416,1339971207,11224,17589,288717,26989610,1000,6917,1218859,53401786,89747468,1910252532,1918866620,988897648,1011102352,37039451,99965331888,12385884,386709,3030854,72622824,96733032,1339353,46,10,29,628,892,155737804,161930769,45359083,11735660,5882319,66,88264340,99938635,61365,179588887,580932,39875860,60124140,60468743,5259983,3713,15143476,99969897,30103,91671684,8328316,15109660,1000,1000,1000,1000,1000,1000,1000
29000,10800,63452,28000000,168000000,1000,6000,9997658120286,75853376,127014513,1339971019,10871,18130,307726,27989200,1000,600,1208723,55362948,83591517,1916408483,1925518061,988506961,1011493039,38466634,99964273599,12942766,374010,3037339,75230235,101005788,1339299,48,4,45,672,936,161464541,167935948,46988567,12141715,6287289,66,87858285,99938031,61969,178686738,626397,37793314,62206686,62640871,5403275,3632,15687591,99968345,31655,91453050,8546950,15652304,1000,1000,1000,1000,1000,1000,1000
30000,10270,62929,29000000,174000000,1000,6000,9997650346519,77514518,130489363,1339971173,10926,17921,327474,28989730,1000,6793,1199356,57324512,78028369,1921971631,1931583563,988112306,1011887694,39894790,99963188528,13503722,397005,3068388,77835325,105307468,1339317,48,3,40,660,960,167178393,173930278,48613154,12545967,6699708,75,87454033,99938118,61882,177780219,673311,35722961,64277039,64806463,5542028,3830,16230366,99966773,33227,91239009,8760991,16193309,1000,1000,1000,1000,1000,1000,1000
31000,10730,63306,30000000,180000000,1000,6000,9997643381221,78896317,133687665,1339972312,10345,17363,347249,29989270,1000,1064,1189636,59284042,73002787,1926997213,1937118197,987715405,1012284595,41324135,99962151336,14068424,385039,3051688,80431214,109638252,1339243,56,2,35,740,1052,172901390,179935630,50228869,12948278,7121355,78,87051722,99938157,61843,176868895,721618,33671635,66328365,66960159,5675312,3982,16770271,99965001,34999,91030084,8969916,16731290,1000,1000,1000,1000,1000,1000,1000
32000,10630,62555,31000000,186000000,1000,6000,9997642155266,75008583,131613588,1339971397,10718,17905,370049,30989370,1000,1119,1176930,61238642,68453531,1931546469,1942182762,987318554,1012681446,42753816,99961138290,14633698,356293,3035317,82993960,113969832,1339193,56,6,33,788,1100,178619449,185936326,51837631,13348182,7551147,78,86651818,99937540,62460,175953065,771284,31634097,68365903,69104625,5803380,4253,17307896,99963351,36649,90824658,9175342,17266994,1000,1000,1000,1000,1000,1000,1000
33000,10360,62749,32000000,192000000,1000,6000,9997636261696,76229625,134661009,1339971449,10447,18124,391217,31989640,1000,6856,1167751,63196846,64353502,1935646498,1946804123,986913948,1013086052,44185258,99960098130,15201304,363958,3059449,85536638,118314552,1339156,60,2,34,828,1152,184329713,191930395,53440120,13747056,7988811,81,86252944,99938083,61917,175033402,822670,29610848,70389152,71240496,5925536,4469,17843837,99961008,38992,90624108,9375892,17800376,1000,1000,1000,1000,1000,1000,1000
34000,10700,63355,33000000,198000000,1000,6000,9997629548279,78651705,138910849,1339970002,10718,19300,413335,32989300,1000,6906,1157780,65151930,60640007,1939359993,1951043870,986506562,1013493438,45616508,99959056116,15772268,383112,3087260,88068424,122689096,1339190,60,6,32,792,1152,190043575,197929739,55036196,14146484,8436309,90,85853516,99937760,62240,174107399,875436,27604252,72395748,73367834,6041984,4722,18377642,99958718,41282,90426620,9573380,18331638,1000,1000,1000,1000,1000,1000,1000
35000,10360,63393,34000000,204000000,1000,6000,9997630299034,73961935,136056506,1339972098,10218,17704,436052,33989640,1000,6932,1147499,67107176,57289200,1942710800,1954926938,986096750,1013903250,47051308,99958018222,16346144,412379,3103456,90597853,127084132,1339170,62,4,22,824,1184,195756572,203929675,56621658,14540445,8889123,90,85459555,99938010,61990,173181427,929787,25618597,74381403,75480805,6152618,5005,18908369,99955783,44217,90235039,9764961,18859147,1000,1000,1000,1000,1000,1000,1000
36000,10530,62592,35000000,210000000,1000,6000,9997627011903,73627920,137558771,1339971221,10264,18535,459261,34989470,1000,1008,1135562,69060418,54260052,1945739948,1958493370,985684235,1014315765,48487795,99957068080,16919548,360817,3059124,93089784,131473464,1339101,66,2,41,876,1260,201476593,209936400,58200139,14933579,9349587,96,85066421,99938442,61558,172251441,985332,23648055,76351945,77584347,6256858,5338,19437061,99952485,47515,90046146,9953854,19384208,1000,1000,1000,1000,1000,1000,1000
37000,10270,63786,36000000,216000000,1000,6000,9997621591188,75716709,141497122,1339970448,10249,19323,482309,35989730,1000,5882,1129352,71014842,51526586,1948473414,1961769202,985261784,1014738216,49921919,99956069740,17496220,369023,3062232,95574090,135886436,1339091,66,11,30,888,1272,207182189,215930332,59770949,15324100,9817533,96,84675900,99937996,62004,171318108,1042214,21695365,78304635,79677426,6354707,5576,19963571,99948482,51518,89862311,10137689,19906477,1000,1000,1000,1000,1000,1000,1000
38000,10400,62391,37000000,222000000,1000,6000,9997618135286,76097503,143734247,1339971379,9926,18715,504832,36989600,1000,6289,1121788,72969536,49056748,1950943252,1964785226,984834942,1015165058,51358687,99955095851,18074298,360219,3060300,98031874,140306292,1339084,68,5,35,896,1304,212894137,221931320,61336640,15715397,10293432,102,84284603,99937788,62212,170380417,1100690,19756180,80243820,81763379,6445791,5899,20489061,99943577,56423,89682277,10317723,20426739,1000,1000,1000,1000,1000,1000,1000
39000,10510,62333,38000000,228000000,1000,6000,9997617537228,73858204,143355801,1339970873,10232,18915,527697,37989490,1000,6434,1112499,74923586,46830470,1953169530,1967563145,984404254,1015595746,52798035,99954093837,18653538,388535,3095941,100470448,144735340,1339024,74,5,35,956,1412,218604427,227931233,62895346,16105188,10776141,114,83894812,99938469,61531,169439666,1160328,17834212,82165788,83839753,6529805,6520,21013052,99937875,62125,89505435,10494565,20944407,1000,1000,1000,1000,1000,1000,1000
40000,10450,62983,39000000,234000000,1000,6000,9997614861715,73907202,145267910,1339970572,9781,19667,551319,38989550,1000,617,1100849,76876462,44820118,1955179882,1970129185,983970779,1016029221,54240524,99953133890,19234408,383535,3088298,102900781,149173144,1339014,76,3,27,976,1456,224319158,233936400,64446978,16489687,11262702,120,83510313,99938039,61961,168499049,1221555,15928545,84071455,85906662,6606717,7479,21535089,99932074,67926,89332876,10667124,21459684,1000,1000,1000,1000,1000,1000,1000
41000,10600,62672,40000000,240000000,1000,6000,9997612774280,73565255,146806170,1339970461,10059,19500,572979,39989400,1000,620,1094472,78832842,43013036,1956986964,1972495923,983527307,1016472693,55683191,99952195696,19816064,372791,3075788,105304348,153617340,1338973,80,3,28,1016,1532,230028636,239936708,65986854,16872736,11757240,129,83127264,99938461,61539,167556766,1284032,14046793,85953207,87956751,6676958,8119,22055179,99922837,77163,89165745,10834255,21969897,1000,1000,1000,1000,1000,1000,1000
