Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1
1000,10000000000548.0,1000419,9999952722646.0,10058424,112,200.0,29598,13051,76130496,100005483557.0,97784,200,0,1980,0,0,0,0,20,619,983,2000,476,0.0,1000,9.999999999e-11,0.0009994191620812899,9.99999000001e-07,0.9974183513602113,0.09090909090909091,0.999000999000999,0.7608872479661924,0.15729937485311862,0.000998996288281127,9.99999000001e-07,0.999973217191649,0.9989872748372431,0.9997999902000196,0.999457487978465,0.9999989952101669,0.9897445571358254,0.9896011031474152,0.9944627106824385,0.9999490008557917,0.9999490025508724,0.9999999499163346,0.0006648405878511516,0.9999949919551292,0.9999999999999
1100,10000000000515.0,1000455,9999948536736.0,10026511,106,200.0,6424,67,73879125,100005595101.0,98349,200,2000,2000,0,138,0,2,60,118,0,2000,8,200.0,1100,9.999999999e-11,0.0009994550901577762,9.99999000001e-07,0.9975807469845281,0.09090909090909091,0.999000999000999,0.7612447699859404,0.9699618491811348,0.000998994871118055,9.99999000001e-07,0.9999753283482287,0.9989926444096094,0.9997999118920446,0.9994603570042041,0.999999000001,0.9897725858974554,0.9896429138255879,0.9944686251647462,0.9999490025503724,0.9999490025508724,0.9999999499174071,0.0009701655440348842,0.999994992100172,0.9999999999999
1200,10000000000705.0,1000279,9999945476069.0,10032097,110,200.0,18103,21363,73401995,100006571739.0,204,200,4000,0,0,271,0,0,0,271,979,2000,0,200.0,1200,9.999999999e-11,0.0009992794417592763,9.99999000001e-07,0.9977382131445055,0.09090909090909091,0.999000999000999,0.7612812190254281,0.242269631751357,0.0009989955611946198,9.99999000001e-07,0.9999773684197663,0.9989903128290344,0.9998000255971267,0.9994598357208904,0.999998999995,0.9898017457902937,0.9896817528258505,0.9944697799559274,0.9999489993020194,0.9999490025468727,0.9999999499175625,0.0008190432096410408,0.9999949921277407,0.9999999999999
1300,10000000001407.0,999625,9999942621939.0,9960015,109,200.0,16293,65799,73450664,100007678746.0,97953,200,2000,2000,0,20,1,18,657,597,0,2000,45,201.0,1300,9.999999999e-11,0.0009986267477372932,9.99999000001e-07,0.9978900900207862,0.09090909090909091,0.999000999000999,0.7607912945969084,0.972064764945198,0.0009989942767947883,9.99999000001e-07,0.9999795129209242,0.998991781806468,0.9998000299960005,0.9994591447502658,0.999998999996,0.9898270250125649,0.9897176488348208,0.9944709921903638,0.9999490025409727,0.9999490025508724,0.9999999499174124,0.0011222962273826633,0.9999949921248106,0.9999999999999
1400,10000000001225.0,999786,9999938964571.0,10033607,109,200.0,12943,9697,72182136,100006594490.0,0,0,570,570,100,1,1,3,192,184,1000,2000,1,0.0,1400,9.999999999e-11,0.000998787426314195,9.99999000001e-07,0.9980712619711707,0.09090909090909091,0.999000999000999,0.7607545797797657,0.1597001686998191,0.0009989939095682036,9.99999000001e-07,0.9999814318943238,0.9523730953313583,0.999799842501194,0.9994637535717914,0.9999989999929999,0.9898527849486185,0.9897533684996842,0.9944826580772901,0.9999490025416728,0.999949002518873,0.999999949916956,0.0010767592867285155,0.9999949922046054,0.9999999999999
1500,10000000000279.0,1000720,9999925922720.0,20047079,96,200.0,15237,28256,71428454,100007515420.0,0,0,0,0,0,0,0,4,239,239,0,2000,2000,200.0,1500,9.999999999e-11,0.0009997195606412752,9.99999000001e-07,0.998451508980497,0.09090909090909091,0.999000999000999,0.7609464531529136,0.9731093369565955,0.0009989936131801719,9.99999000001e-07,0.9999826434811345,0.9523737192888151,0.9998000295961189,0.999464064223296,0.9999989976293935,0.9898684442132112,0.9897754242383882,0.9944824894431711,0.9999490025488725,0.9999490025468727,0.9999999499171573,0.0011469695915962434,0.9999954889580566,0.9999999999999
1600,10000000000166.0,1000773,9999932556471.0,9997755,113,200.0,12587,47586,70367567,100006696221.0,97506,200,0,1,1999,0,10,11,61,262,0,2000,20,0.0,1600,9.999999999e-11,0.0009997724547211714,9.99999000001e-07,0.9982894379447173,0.09090909090909091,0.999000999000999,0.7606460462666124,0.9736060231437474,0.0009989942732538737,9.99999000001e-07,0.9999839751404431,0.9989889055807377,0.9997999685967399,0.9994654032084878,0.999998999995,0.9898858957313872,0.9897996846058523,0.9944917516731198,0.9999490024259633,0.9999490025471727,0.9999999499168473,0.0013190648670930265,0.9999949923110386,0.9999999999999
1700,10000000000456.0,1000598,9999929500160.0,10055182,108,200.0,13099,44,69418559,100006383246.0,1,6,0,4000,3997,369,20,21,169,369,1003,2000,660,200.0,1700,9.999999999e-11,0.0009995978044360766,9.99999000001e-07,0.9983903798281885,0.09090909090909091,0.999000999000999,0.7603159068580037,0.9739320920124125,0.0009989929671607467,9.99999000001e-07,0.9999849490597918,0.9523745320042999,0.9998000292562174,0.9994674734644106,0.999998999999,0.9898998711952148,0.9898192274468639,0.9944952069011243,0.9999490025430728,0.9999490025437727,0.9999999499165337,0.001737309251548773,0.9999949923710209,0.9999999999999
1800,10000000001966.0,999018,9999917050103.0,20034464,107,200.0,9655,13335,69941685,100007818280.0,300,200,0,0,0,0,10,13,104,39,0,2000,1712,0.0,1800,9.999999999e-11,0.0009980209590974844,9.99999000001e-07,0.9986654245149825,0.09090909090909091,0.999000999000999,0.7603688657872386,0.19942532870216934,0.0009989937205674914,9.99999000001e-07,0.9999858803848329,0.9989905666699964,0.9997999643726319,0.999467499595802,0.999998982578695,0.9899108991703095,0.9898346244297295,0.9944971197941493,0.9999490025465726,0.999949001894476,0.9999999499163245,0.0020686450898965178,0.9999949923462875,0.9999999999999
1900,10000000002632.0,998407,9999924171562.0,10074599,118,200.0,5432,8395,69913437,100008699733.0,6,42,30,30,32,283,0,242,5,282,1001,2000,989,0.0,1900,9.999999999e-11,0.0009974111776983078,9.99999000001e-07,0.9985346057039388,0.09090909090909091,0.999000999000999,0.7604688614321109,0.2981249190411584,0.0009989924338974976,9.99999000001e-07,0.9999866781032486,0.952375347314443,0.9997997468812675,0.9994669510159132,0.9999989900114149,0.9899214062423494,0.989849015973914,0.994498550722742,0.9999490019635582,0.9999490025468727,0.9999999499161073,0.0016516554226927548,0.9999949923419906,0.9999999999999
2000,10000000000993.0,1000062,9999920587009.0,10078511,107,201.0,17990,41,68450944,100007687412.0,581,60,1,560,0,345,3,183,0,345,2000,2000,856,201.0,2000,9.999999999e-11,0.0009990628751829188,9.99999000001e-07,0.9986162955633634,0.09090909090909091,0.999000999000999,0.7601273352099013,0.974876997848899,0.0009989920759574293,9.99999000001e-07,0.9999874503128079,0.9523755274587442,0.9997996775217071,0.999469610176034,0.9999989913589723,0.9899316120055907,0.9898626525907985,0.9945044884061589,0.9999489990849805,0.9999490025429728,0.9999999500607528,0.0021331615982440825,0.9999949924272665,0.9999999999999
2100,10000000000487.0,1000519,9999907722006.0,20016075,111,200.0,12013,18263,68140856,100008089889.0,98650,200,2000,4570,0,0,1,186,238,2,6,2000,756,201.0,2100,9.999999999e-11,0.0009995189622873713,9.99999000001e-07,0.9988294917741072,0.09090909090909091,0.999000999000999,0.7600849534412243,0.9847823700801085,0.000998992787194556,9.99999000001e-07,0.9999880741605939,0.9990020196521974,0.9997997869908775,0.9994701058936681,0.9999989923753039,0.9899396976240645,0.9898749311131075,0.9945076046947059,0.9999490025433727,0.9999490001763703,0.999999949915631,0.001974314301640455,0.9999949924451015,0.9999999999999
2200,10000000001116.0,999934,9999914796532.0,10031793,110,200.0,4868,60,67945098,100009002540.0,0,0,0,2000,0,20,0,0,438,378,0,2000,0,200.0,2200,9.999999999e-11,0.0009989351307989197,9.99999000001e-07,0.9987223744293054,0.09090909090909091,0.999000999000999,0.7597011655243916,0.0591409397758271,0.0009989914989430246,9.99999000001e-07,0.9999885638715778,0.9523760138598606,0.9998000091982336,0.9994702045503115,0.999998999999,0.9899464904412953,0.9898844836970713,0.9945078116378133,0.9999490025451727,0.9999490019425342,0.9999999499157463,0.002060183599256108,0.9999949924528484,0.9999999999999
2300,10000000000305.0,1000711,9999901628278.0,20014914,107,200.0,9745,14967,67325700,100009909974.0,196131,200,4000,3,2000,1,0,116,43,3,0,2000,276,400.0,2300,9.999999999e-11,0.0009997105786271514,9.99999000001e-07,0.9988990636690637,0.09090909090909091,0.999000999000999,0.760130215112212,0.9756161108243907,0.0009989911866973224,9.99999000001e-07,0.9999889871444845,0.9994905469672448,0.9998000295961189,0.9994701322280629,0.9999989974284038,0.9899522069803856,0.9898925210119237,0.9945076052294686,0.9999490025458726,0.9999490021468302,0.9999999499162413,0.002408333094788916,0.9999949924907552,0.9999999999999
2400,10000000001841.0,999155,9999908875826.0,8099,101,200.0,24223,72,67190088,100010628030.0,100360,0,2000,0,0,819,0,0,20,819,0,2000,0,0.0,2400,9.999999999e-11,0.0009981576857574872,9.99999000001e-07,0.9986473187253224,0.09090909090909091,0.999000999000999,0.7595149532253858,0.9758725554206028,0.0009989919069374352,9.99999000001e-07,0.9999894583177668,0.952376394592638,0.9998000293961768,0.9994704954828008,0.9999989999919999,0.9899583317761045,0.9899012396753366,0.9945089671001709,0.9999489944896208,0.9999490025448727,0.9999999499160487,0.002521074637127761,0.9999949924954791,0.9999999999999
2500,10000000000750.0,1000274,9999896534656.0,20013310,112,200.0,21101,65,67409308,100012234189.0,100165,200,0,0,0,871,0,766,10,331,983,2000,40,200.0,2500,9.999999999e-11,0.0009992744517470533,9.99999000001e-07,0.9989600175415921,0.09090909090909091,0.999000999000999,0.7601196423909392,0.9759863949896399,0.0009989916736324743,9.99999000001e-07,0.9999898156370607,0.9989947624872347,0.999799150793366,0.9994675145362345,0.9999989685979327,0.9899632806033328,0.9899082195267356,0.9945079375716064,0.9999490025507725,0.9999490025428728,0.9999999499161688,0.002824892539006577,0.9999949924850856,0.9999999999999
2600,10000000000477.0,1000509,9999894028327.0,20000485,104,200.0,17782,26875,67784384,100013464619.0,100025,0,580,580,2,17,1,322,11,17,0,2000,252,199.0,2600,9.999999999e-11,0.0009995089822676603,9.99999000001e-07,0.9989915486431504,0.09090909090909091,0.999000999000999,0.7600914695682903,0.9762857245840628,0.0009989904297570444,9.99999000001e-07,0.9999901853540062,0.9523768283769268,0.9998000245973288,0.9994702164245882,0.9999989999951999,0.9899680708624538,0.9899150978747135,0.9945078456860308,0.9999490024869717,0.9999490025448727,0.9999999499158828,0.002641827066588011,0.9999949924655078,0.9999999999999
2700,10000000000570.0,1000383,9999901014613.0,10058655,104,200.0,4501,28532,67369087,100012739290.0,0,4,910,2,4000,124,20,122,11,86,999,2000,40,400.0,2700,9.999999999e-11,0.0009993832340022192,9.99999000001e-07,0.9989311877397486,0.09090909090909091,0.999000999000999,0.7597490709641417,0.976309952008248,0.0009989901232588401,9.99999000001e-07,0.9999906786163077,0.9523769530567342,0.9998000279965604,0.9994711436099861,0.999999000001,0.9899746764414781,0.9899239173726194,0.9945136605311373,0.9999490017946403,0.9999490025498724,0.9999999499149994,0.002602960889066313,0.9999949924891681,0.9999999999999
2800,10000000000831.0,1000208,9999898294592.0,9997474,108,200.0,12214,20584,67019307,100013106862.0,99977,60,581,1,1998,8,10,370,4,8,0,2000,1492,200.0,2800,9.999999999e-11,0.0009992085835810337,9.99999000001e-07,0.9989671701182155,0.09090909090909091,0.999000999000999,0.759637403704879,0.976524056480957,0.0009989898507091065,9.99999000001e-07,0.9999910040303653,0.9523771062829042,0.9998000288363349,0.9994721748227033,0.9999989999929999,0.9899788236851529,0.9899299752509233,0.9945160479970104,0.9999490025064728,0.9999490025495725,0.999999949914659,0.0030423850687135642,0.999994992508935,0.9999999999999
2900,10000000001096.0,999897,9999894845196.0,9996191,107,200.0,27594,10847,65930798,100012410252.0,60,200,2001,1,1,485,6,5,65,486,981,2000,13,200.0,2900,9.999999999e-11,0.0009988982046818333,9.99999000001e-07,0.9990046242073661,0.09090909090909091,0.999000999000999,0.7593919006066036,0.9765677106367717,0.0009989905110918947,9.99999000001e-07,0.9999913554152968,0.9989986470946137,0.9997999840286613,0.9994730868688982,0.9999989999962,0.9899837015064392,0.9899366870669856,0.9945198684887107,0.9999489983142174,0.9999490025413728,0.9999999499145624,0.0029670314469026,0.9999949925698645,0.9999999999999
3000,10000000001859.0,999154,9999892451193.0,10019368,103,200.0,10827,367,66285542,100012406820.0,98855,200,2020,0,0,21,0,18,164,164,0,2000,90,200.0,3000,9.999999999e-11,0.0009981566877528048,9.99999000001e-07,0.999043067274074,0.09090909090909091,0.999000999000999,0.759122649094047,0.9766547214575504,0.0009989892715902102,9.99999000001e-07,0.9999917232421004,0.998997750058701,0.999800029196234,0.9994740596427695,0.9999989990981875,0.989988290751724,0.9899431832555416,0.9945231480936556,0.9999490025481725,0.9999490025508724,0.9999999499133914,0.0034867957393592956,0.9999949925491968,0.9999999999999
3100,10000000001361.0,999614,9999889753409.0,82689,98,200.0,12258,48,65712186,100013385494.0,198823,200,2030,2029,0,349,0,176,0,329,0,2000,52,200.0,3100,9.999999999e-11,0.0009986157696959912,9.99999000001e-07,0.9989660070580979,0.09090909090909091,0.999000999000999,0.7591574955908178,0.24726715039101257,0.0009989900010686403,9.99999000001e-07,0.999991932002465,0.9990071661741077,0.9998000295961189,0.9994739708337909,0.9999989929861485,0.9899911141567306,0.9899471118562838,0.9945230391548365,0.999948999239112,0.9999490023439404,0.9999999499138673,0.003541348996501677,0.9999949925786333,0.9999999999999
3200,10000000001310.0,999668,9999887111772.0,59216,101,200.0,13937,24,65450703,100014930400.0,9,3,2020,2020,0,395,10,826,6,218,0,2000,2000,399.0,3200,9.999999999e-11,0.0009986696618964313,9.99999000001e-07,0.9989904063158243,0.09090909090909091,0.999000999000999,0.7591851851598483,0.0007368277455952073,0.0009989897312112192,9.99999000001e-07,0.9999921005360979,0.9523775593967168,0.999799811183669,0.9994730123381476,0.9999989659968049,0.989993937475807,0.9899508964672938,0.9945227325082917,0.9999490025506724,0.9999490025468727,0.9999999499141278,0.0035780096499872945,0.9999969517718418,0.9999999999999
3300,10000000000806.0,1000182,9999884761583.0,10021738,97,201.0,11784,17963,66417762,100016233510.0,5,8,0,0,0,9,0,8,0,0,1005,2000,0,200.0,3300,9.999999999e-11,0.000999182635513247,9.99999000001e-07,0.9991080110331899,0.09090909090909091,0.999000999000999,0.759242811431642,0.9771434666643505,0.0009989884997280874,9.99999000001e-07,0.9999923708735056,0.9523776781752394,0.9998000207979139,0.9994737285381892,0.999998999998,0.9899971557158248,0.9899556375283413,0.9945218293266149,0.9999490025089729,0.9999490024588688,0.999999949913696,0.0036580689019189484,0.999994992542728,0.9999999999999
3400,10000000000145.0,1000811,9999881637943.0,15689,113,200.0,14289,1,65670977,100016063319.0,100321,0,2000,2000,0,0,0,0,0,216,0,2000,720,200.0,3400,9.999999999e-11,0.000999810378775008,9.99999000001e-07,0.9990524986704424,0.09090909090909091,0.999000999000999,0.7590378224914204,0.07250407930291546,0.0009989891892509689,9.99999000001e-07,0.9999926092005949,0.9523777537712523,0.9998000295961189,0.9994736520739297,0.9999989927427112,0.9900002665620306,0.989960107227581,0.9945214685401206,0.9999490025507725,0.9999490023468415,0.9999999499134641,0.003557946134585311,0.9999949925830628,0.9999999999999
3500,10000000000035.0,1000964,9999879044190.0,10032016,108,200.0,13129,24141,65672094,100016619869.0,403,4,40,2000,440,60,3,0,0,308,1000,2000,21,400.0,3500,9.999999999e-11,0.000999963072962635,9.99999000001e-07,0.9991569835691883,0.09090909090909091,0.999000999000999,0.7587267859927223,0.27108142303723837,0.0009989889322188843,9.99999000001e-07,0.9999928166584162,0.9523778487825233,0.9998000296361073,0.9994747397878111,0.9999989998339724,0.9900031403470432,0.9899641393740436,0.9945255109279162,0.9999489994557824,0.9999490025434727,0.9999999499131768,0.0037058925107459383,0.9999949925817904,0.9999999999999
3600,10000000000302.0,1000730,9999866134186.0,20012209,111,201.0,31976,48846,65003798,100016439394.0,900,0,2000,1999,0,20,0,79,488,488,0,2000,316,199.0,3600,9.999999999e-11,0.0009997295406567787,9.99999000001e-07,0.9992424588769748,0.09090909090909091,0.999000999000999,0.7587281154900605,0.3578751093159454,0.0009989886413456143,9.99999000001e-07,0.99999302029223,0.9523779231771374,0.999800029196234,0.9994753433930024,0.9999989968239447,0.9900058386488474,0.9899679367240908,0.9945283429120918,0.9999490025462726,0.9999490025429728,0.9999999499128053,0.0038972203715004583,0.9999949926209843,0.9999999999999
3700,9999999999584.0,1001472,9999873759561.0,10047999,100,200.0,16406,72073,64964550,100016767300.0,199003,70,2690,1,0,0,8,8,472,16,0,2000,0,400.0,3700,9.999999999e-11,0.0010004700572508248,9.99999000001e-07,0.9992005511528265,0.09090909090909091,0.999000999000999,0.7580008560116757,0.9774861659313864,0.0009989874020080963,9.99999000001e-07,0.9999932219850067,0.9523780040136653,0.9998000137982358,0.9994756725821697,0.9999989999930999,0.990008387651533,0.9899715356405158,0.9945297645670259,0.9999490025507725,0.9999490025491725,0.9999999499124348,0.0043646519892757765,0.9999949926209378,0.9999999999999
3800,10000000001049.0,999985,9999871749680.0,10047674,110,200.0,2988,4554,66142474,100019869129.0,100680,6,1530,1530,0,616,7,509,55,56,1001,2000,0,400.0,3800,9.999999999e-11,0.0009989860289558346,9.99999000001e-07,0.9992111273578556,0.09090909090909091,0.999000999000999,0.7588947416164721,0.9775885669435882,0.0009989872019337397,9.99999000001e-07,0.9999933457634472,0.9523781158086903,0.9997994251391389,0.9994747299160506,0.999998999995,0.9900101766018953,0.9899740801527024,0.9945259201222258,0.9999490025383729,0.9999490025448727,0.999999949912752,0.004256354534432298,0.9999949925544076,0.9999999999999
3900,10000000000722.0,1000226,9999868958630.0,10011586,125,200.0,30651,90,65860679,100019929966.0,201425,140,0,10,10,471,0,3,0,471,0,2000,1528,200.0,3900,9.999999999e-11,0.000999226547627173,9.99999000001e-07,0.9992323947470807,0.09090909090909091,0.999000999000999,0.7586824888025203,0.3342867502349142,0.0009989879275558893,9.99999000001e-07,0.9999935394822108,0.9523781891274795,0.9998000295961195,0.999475286393334,0.9999989844808361,0.9900126479585281,0.9899775247816515,0.9945219083756687,0.9999490024942721,0.9999490025448727,0.9999999499121813,0.004144394289778982,0.9999949925737324,0.9999999999999
4000,10000000001893.0,999109,9999866398074.0,13743,107,200.0,16767,25458,66016711,100020986287.0,100958,2,20,0,0,0,1,23,0,203,0,2000,84,400.0,4000,9.999999999e-11,0.0009981117775400537,9.99999000001e-07,0.9991876905419065,0.09090909090909091,0.999000999000999,0.7586875202571075,0.2028672295710335,0.0009989866675464336,9.99999000001e-07,0.999993687414582,0.9523782581356676,0.9997998264433707,0.9994753581313243,0.9999989991572904,0.9900146755167328,0.9899804598990946,0.9945283188947777,0.9999489999904659,0.9999490025488725,0.9999999499120429,0.004242215641560682,0.9999949925618877,0.9999999999999
