Time\ number,r2_1_100,r2_1_200,r1_1_300,r1_1_400,Time\ Probability,r2_1_100,r2_1_200,r1_1_300,r1_1_400
366300,958,959,959.0,1042.0,366300,0.00010418914349124821,0.0001040891643179945,9.99990000099999e-06,9.99990000099999e-06
366400,961,961,961.0,1039.0,366400,0.00010388920591150579,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
366500,955,955,954.0,1046.0,366500,0.0001044890808910469,0.0001044890808910469,9.99990000099999e-06,9.99990000099999e-06
366600,950,950,950.0,1050.0,366600,0.00010498897615750347,0.00010498897615750347,9.99990000099999e-06,9.99990000099999e-06
366700,961,960,961.0,1039.0,366700,0.00010388920591150579,0.00010398918512474702,9.99990000099999e-06,9.99990000099999e-06
366800,960,961,961.0,1039.0,366800,0.00010398918512474702,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
366900,964,964,964.0,1036.0,366900,0.00010358926815181946,0.00010358926815181946,9.99990000099999e-06,9.99990000099999e-06
367000,958,958,958.0,1042.0,367000,0.00010418914349124821,0.00010418914349124821,9.99990000099999e-06,9.99990000099999e-06
367100,960,960,960.0,1040.0,367100,0.00010398918512474702,0.00010398918512474702,9.99990000099999e-06,9.99990000099999e-06
367200,962,962,962.0,1038.0,367200,0.0001037892266782708,0.0001037892266782708,9.99990000099999e-06,9.99990000099999e-06
367300,960,960,960.0,1040.0,367300,0.00010398918512474702,0.00010398918512474702,9.99990000099999e-06,9.99990000099999e-06
367400,961,962,962.0,1038.0,367400,0.00010388920591150579,0.0001037892266782708,9.99990000099999e-06,9.99990000099999e-06
367500,958,958,958.0,1042.0,367500,0.00010418914349124821,0.00010418914349124821,9.99990000099999e-06,9.99990000099999e-06
367600,965,965,965.0,1035.0,367600,0.00010348928885860313,0.00010348928885860313,9.99990000099999e-06,9.99990000099999e-06
367700,969,969,969.0,1031.0,367700,0.0001030893714857998,0.0001030893714857998,9.99990000099999e-06,9.99990000099999e-06
367800,972,972,972.0,1028.0,367800,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
367900,973,973,973.0,1027.0,367900,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
368000,978,978,978.0,1022.0,368000,0.00010218955622735357,0.00010218955622735357,9.99990000099999e-06,9.99990000099999e-06
368100,982,982,982.0,1018.0,368100,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
368200,980,980,980.0,1020.0,368200,0.00010198959706109978,0.00010198959706109978,9.99990000099999e-06,9.99990000099999e-06
368300,975,975,975.0,1025.0,368300,0.00010248949482678026,0.00010248949482678026,9.99990000099999e-06,9.99990000099999e-06
368400,970,971,970.0,1030.0,368400,0.00010298939209261448,0.0001028894126794353,9.99990000099999e-06,9.99990000099999e-06
368500,970,970,970.0,1030.0,368500,0.00010298939209261448,0.00010298939209261448,9.99990000099999e-06,9.99990000099999e-06
368600,970,970,970.0,1030.0,368600,0.00010298939209261448,0.00010298939209261448,9.99990000099999e-06,9.99990000099999e-06
368700,973,973,973.0,1027.0,368700,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
368800,975,975,975.0,1025.0,368800,0.00010248949482678026,0.00010248949482678026,9.99990000099999e-06,9.99990000099999e-06
368900,974,974,974.0,1026.0,368900,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
369000,974,974,974.0,1026.0,369000,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
369100,960,960,960.0,1040.0,369100,0.00010398918512474702,0.00010398918512474702,9.99990000099999e-06,9.99990000099999e-06
369200,961,962,962.0,1038.0,369200,0.00010388920591150579,0.0001037892266782708,9.99990000099999e-06,9.99990000099999e-06
369300,967,967,967.0,1033.0,369300,0.00010328933021218909,0.00010328933021218909,9.99990000099999e-06,9.99990000099999e-06
369400,966,966,966.0,1034.0,369400,0.000103389309545393,0.000103389309545393,9.99990000099999e-06,9.99990000099999e-06
369500,973,973,973.0,1027.0,369500,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
369600,972,972,972.0,1028.0,369600,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
369700,976,976,976.0,1024.0,369700,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
369800,975,975,975.0,1025.0,369800,0.00010248949482678026,0.00010248949482678026,9.99990000099999e-06,9.99990000099999e-06
369900,974,974,974.0,1026.0,369900,0.00010258947431993479,0.00010258947431993479,9.99990000099999e-06,9.99990000099999e-06
370000,969,969,969.0,1031.0,370000,0.0001030893714857998,0.0001030893714857998,9.99990000099999e-06,9.99990000099999e-06
370100,969,969,969.0,1031.0,370100,0.0001030893714857998,0.0001030893714857998,9.99990000099999e-06,9.99990000099999e-06
370200,965,965,965.0,1035.0,370200,0.00010348928885860313,0.00010348928885860313,9.99990000099999e-06,9.99990000099999e-06
370300,963,963,963.0,1037.0,370300,0.00010368924742504205,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
370400,973,973,973.0,1027.0,370400,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
370500,968,968,968.0,1032.0,370500,0.00010318935085899135,0.00010318935085899135,9.99990000099999e-06,9.99990000099999e-06
370600,976,976,976.0,1024.0,370600,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
370700,976,976,976.0,1024.0,370700,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
370800,972,972,972.0,1028.0,370800,0.00010278943324626227,0.00010278943324626227,9.99990000099999e-06,9.99990000099999e-06
370900,978,978,978.0,1022.0,370900,0.00010218955622735357,0.00010218955622735357,9.99990000099999e-06,9.99990000099999e-06
371000,978,979,978.0,1022.0,371000,0.00010218955622735357,0.0001020895766542236,9.99990000099999e-06,9.99990000099999e-06
371100,976,976,976.0,1024.0,371100,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
371200,977,977,977.0,1023.0,371200,0.00010228953578048966,0.00010228953578048966,9.99990000099999e-06,9.99990000099999e-06
371300,982,982,982.0,1018.0,371300,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
371400,985,985,985.0,1015.0,371400,0.00010148969879557225,0.00010148969879557225,9.99990000099999e-06,9.99990000099999e-06
371500,991,991,991.0,1009.0,371500,0.00010088982021714009,0.00010088982021714009,9.99990000099999e-06,9.99990000099999e-06
371600,984,984,984.0,1016.0,371600,0.00010158967848866555,0.00010158967848866555,9.99990000099999e-06,9.99990000099999e-06
371700,982,982,983.0,1017.0,371700,0.00010178963781487044,0.00010178963781487044,9.99990000099999e-06,9.99990000099999e-06
371800,978,978,978.0,1022.0,371800,0.00010218955622735357,0.00010218955622735357,9.99990000099999e-06,9.99990000099999e-06
371900,973,973,973.0,1027.0,371900,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
372000,965,966,965.0,1035.0,372000,0.00010348928885860313,0.000103389309545393,9.99990000099999e-06,9.99990000099999e-06
372100,968,968,968.0,1032.0,372100,0.00010318935085899135,0.00010318935085899135,9.99990000099999e-06,9.99990000099999e-06
372200,971,971,971.0,1029.0,372200,0.0001028894126794353,0.0001028894126794353,9.99990000099999e-06,9.99990000099999e-06
372300,976,976,976.0,1024.0,372300,0.00010238951531363188,0.00010238951531363188,9.99990000099999e-06,9.99990000099999e-06
372400,973,973,973.0,1027.0,372400,0.00010268945379309543,0.00010268945379309543,9.99990000099999e-06,9.99990000099999e-06
372500,970,970,970.0,1030.0,372500,0.00010298939209261448,0.00010298939209261448,9.99990000099999e-06,9.99990000099999e-06
372600,968,969,968.0,1031.0,372600,0.00010318935085899135,0.0001030893714857998,9.99990000099999e-06,9.99990000099999e-06
372700,961,961,961.0,1039.0,372700,0.00010388920591150579,0.00010388920591150579,9.99990000099999e-06,9.99990000099999e-06
372800,963,963,963.0,1037.0,372800,0.00010368924742504205,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
372900,962,963,963.0,1038.0,372900,0.0001037892266782708,0.00010368924742504205,9.99990000099999e-06,9.99990000099999e-06
373000,960,960,960.0,1040.0,373000,0.00010398918512474702,0.00010398918512474702,9.99990000099999e-06,9.99990000099999e-06
373100,970,970,970.0,1030.0,373100,0.00010298939209261448,0.00010298939209261448,9.99990000099999e-06,9.99990000099999e-06
