Time\ number,r2_1_100,Time\ Probability,r2_1_100
4710,133,4710,0.0009005183358083858
4720,130,4720,0.0009004883898142605
4730,128,4730,0.0009004684258171796
4740,128,4740,0.0009004684258171796
4750,126,4750,0.0009004484618193007
4760,125,4760,0.0009004384798200621
4770,123,4770,0.0009004185158209867
4780,119,4780,0.0009003785878204421
4790,117,4790,0.0009003586238189732
4800,114,4800,0.0009003286778152735
4810,112,4810,0.00090030871381181
4820,111,4820,0.0009002987318097789
4830,107,4830,0.0009002588037996602
4840,107,4840,0.0009002588037996602
4850,107,4850,0.0009002588037996602
4860,106,4860,0.0009002488217966321
4870,105,4870,0.0009002388397934042
4880,104,4880,0.0009002288577899768
4890,102,4890,0.0009002088937825241
4900,102,4900,0.0009002088937825241
4910,102,4910,0.0009002088937825241
4920,102,4920,0.0009002088937825241
4930,102,4930,0.0009002088937825241
4940,102,4940,0.0009002088937825241
4950,101,4950,0.0009001989117784985
4960,101,4960,0.0009001989117784985
4970,101,4970,0.0009001989117784985
4980,101,4980,0.0009001989117784985
4990,100,4990,0.0009001889297742733
5000,100,5000,0.0009001889297742733
5010,99,5010,0.0009001789477698488
5020,99,5020,0.0009001789477698488
5030,99,5030,0.0009001789477698488
5040,99,5040,0.0009001789477698488
5050,98,5050,0.0009001689657652249
5060,97,5060,0.0009001589837604015
5070,95,5070,0.0009001390197501563
5080,94,5080,0.0009001290377447344
5090,93,5090,0.000900119055739113
5100,92,5100,0.0009001090737332922
5110,92,5110,0.0009001090737332922
5120,92,5120,0.0009001090737332922
5130,91,5130,0.0009000990917272721
5140,91,5140,0.0009000990917272721
5150,90,5150,0.0009000891097210523
5160,90,5160,0.0009000891097210523
5170,90,5170,0.0009000891097210523
5180,89,5180,0.0009000791277146332
5190,88,5190,0.0009000691457080144
5200,88,5200,0.0009000691457080144
5210,88,5210,0.0009000691457080144
5220,88,5220,0.0009000691457080144
5230,88,5230,0.0009000691457080144
5240,88,5240,0.0009000691457080144
5250,88,5250,0.0009000691457080144
5260,87,5260,0.0009000591637011965
5270,86,5270,0.0009000491816941789
5280,85,5280,0.000900039199686962
5290,85,5290,0.000900039199686962
5300,85,5300,0.000900039199686962
5310,84,5310,0.0009000292176795457
5320,83,5320,0.0009000192356719297
5330,83,5330,0.0009000192356719297
5340,83,5340,0.0009000192356719297
5350,83,5350,0.0009000192356719297
5360,83,5360,0.0009000192356719297
5370,83,5370,0.0009000192356719297
5380,82,5380,0.0009000092536641144
5390,81,5390,0.0008999992716560995
5400,79,5400,0.0008999793076394714
5410,79,5410,0.0008999793076394714
5420,78,5420,0.0008999693256308582
5430,78,5430,0.0008999693256308582
5440,77,5440,0.0008999593436220454
5450,76,5450,0.0008999493616130335
5460,76,5460,0.0008999493616130335
5470,74,5470,0.0008999293975944108
5480,73,5480,0.0008999194155848004
5490,73,5490,0.0008999194155848004
5500,73,5500,0.0008999194155848004
5510,72,5510,0.0008999094335749904
5520,71,5520,0.0008998994515649808
5530,71,5530,0.0008998994515649808
5540,71,5540,0.0008998994515649808
5550,70,5550,0.000899889469554772
5560,70,5560,0.000899889469554772
5570,68,5570,0.0008998695055337559
5580,66,5580,0.0008998495415119417
5590,65,5590,0.0008998395595007357
5600,65,5600,0.0008998395595007357
5610,64,5610,0.00089982957748933
5620,63,5620,0.0008998195954777249
5630,62,5630,0.0008998096134659204
5640,61,5640,0.0008997996314539163
5650,61,5650,0.0008997996314539163
5660,59,5660,0.0008997796674293098
5670,59,5670,0.0008997796674293098
5680,58,5680,0.0008997696854167075
5690,57,5690,0.0008997597034039056
5700,57,5700,0.0008997597034039056
5710,57,5710,0.0008997597034039056
5720,57,5720,0.0008997597034039056
5730,56,5730,0.0008997497213909042
5740,55,5740,0.0008997397393777034
5750,53,5750,0.0008997197753507033
5760,52,5760,0.0008997097933369043
5770,52,5770,0.0008997097933369043
5780,52,5780,0.0008997097933369043
5790,50,5790,0.0008996898293087076
5800,50,5800,0.0008996898293087076
5810,50,5810,0.0008996898293087076
5820,49,5820,0.0008996798472943099
5830,49,5830,0.0008996798472943099
5840,48,5840,0.0008996698652797129
5850,47,5850,0.0008996598832649165
5860,47,5860,0.0008996598832649165
5870,46,5870,0.0008996499012499206
5880,46,5880,0.0008996499012499206
5890,46,5890,0.0008996499012499206
5900,45,5900,0.000899639919234725
5910,44,5910,0.0008996299372193303
5920,44,5920,0.0008996299372193303
5930,43,5930,0.0008996199552037359
5940,42,5940,0.0008996099731879422
5950,41,5950,0.0008995999911719487
5960,40,5960,0.0008995900091557563
5970,39,5970,0.000899580027139364
5980,37,5980,0.0008995600631059813
5990,35,5990,0.0008995400990718008
6000,35,6000,0.0008995400990718008
6010,34,6010,0.0008995301170544113
6020,34,6020,0.0008995301170544113
6030,34,6030,0.0008995301170544113
6040,34,6040,0.0008995301170544113
6050,34,6050,0.0008995301170544113
6060,34,6060,0.0008995301170544113
6070,34,6070,0.0008995301170544113
6080,34,6080,0.0008995301170544113
6090,34,6090,0.0008995301170544113
6100,33,6100,0.0008995201350368224
6110,33,6110,0.0008995201350368224
6120,33,6120,0.0008995201350368224
6130,33,6130,0.0008995201350368224
6140,33,6140,0.0008995201350368224
6150,33,6150,0.0008995201350368224
6160,33,6160,0.0008995201350368224
6170,33,6170,0.0008995201350368224
