Time,A,B,C
3440,90377,377,9623
3450,90372,372,9628
3460,90368,368,9632
3470,90363,363,9637
3480,90363,363,9637
3490,90359,359,9641
3500,90357,357,9643
3510,90357,357,9643
3520,90348,348,9652
3530,90344,344,9656
3540,90341,341,9659
3550,90337,337,9663
3560,90335,335,9665
3570,90333,333,9667
3580,90330,330,9670
3590,90327,327,9673
3600,90327,327,9673
3610,90324,324,9676
3620,90321,321,9679
3630,90319,319,9681
3640,90317,317,9683
3650,90315,315,9685
3660,90311,311,9689
3670,90309,309,9691
3680,90308,308,9692
3690,90306,306,9694
3700,90303,303,9697
3710,90297,297,9703
3720,90296,296,9704
3730,90295,295,9705
3740,90293,293,9707
3750,90293,293,9707
3760,90289,289,9711
3770,90287,287,9713
3780,90284,284,9716
3790,90279,279,9721
3800,90277,277,9723
3810,90275,275,9725
3820,90273,273,9727
3830,90273,273,9727
3840,90270,270,9730
3850,90270,270,9730
3860,90268,268,9732
3870,90264,264,9736
3880,90262,262,9738
3890,90260,260,9740
3900,90259,259,9741
3910,90255,255,9745
3920,90252,252,9748
3930,90251,251,9749
3940,90247,247,9753
3950,90243,243,9757
3960,90237,237,9763
3970,90235,235,9765
3980,90233,233,9767
3990,90233,233,9767
4000,90231,231,9769
4010,90230,230,9770
4020,90229,229,9771
4030,90229,229,9771
4040,90224,224,9776
4050,90222,222,9778
4060,90219,219,9781
4070,90218,218,9782
4080,90215,215,9785
4090,90213,213,9787
4100,90210,210,9790
4110,90208,208,9792
4120,90207,207,9793
4130,90205,205,9795
4140,90205,205,9795
4150,90205,205,9795
4160,90203,203,9797
4170,90202,202,9798
4180,90202,202,9798
4190,90202,202,9798
4200,90202,202,9798
4210,90200,200,9800
4220,90199,199,9801
4230,90198,198,9802
4240,90198,198,9802
4250,90196,196,9804
4260,90194,194,9806
4270,90191,191,9809
4280,90191,191,9809
4290,90189,189,9811
4300,90186,186,9814
4310,90185,185,9815
4320,90180,180,9820
4330,90180,180,9820
4340,90180,180,9820
4350,90176,176,9824
4360,90175,175,9825
4370,90173,173,9827
4380,90171,171,9829
4390,90167,167,9833
4400,90165,165,9835
4410,90164,164,9836
4420,90162,162,9838
4430,90161,161,9839
4440,90161,161,9839
4450,90159,159,9841
4460,90158,158,9842
4470,90157,157,9843
4480,90155,155,9845
4490,90154,154,9846
4500,90153,153,9847
4510,90152,152,9848
4520,90151,151,9849
4530,90151,151,9849
4540,90151,151,9849
4550,90150,150,9850
4560,90149,149,9851
4570,90148,148,9852
4580,90147,147,9853
4590,90147,147,9853
4600,90146,146,9854
4610,90146,146,9854
4620,90144,144,9856
4630,90143,143,9857
4640,90142,142,9858
4650,90141,141,9859
4660,90138,138,9862
4670,90137,137,9863
4680,90137,137,9863
4690,90137,137,9863
4700,90135,135,9865
4710,90133,133,9867
4720,90130,130,9870
4730,90128,128,9872
4740,90128,128,9872
4750,90126,126,9874
4760,90125,125,9875
4770,90123,123,9877
4780,90119,119,9881
4790,90117,117,9883
4800,90114,114,9886
4810,90112,112,9888
4820,90111,111,9889
4830,90107,107,9893
4840,90107,107,9893
4850,90107,107,9893
4860,90106,106,9894
4870,90105,105,9895
4880,90104,104,9896
4890,90102,102,9898
4900,90102,102,9898
4910,90102,102,9898
4920,90102,102,9898
4930,90102,102,9898
4940,90102,102,9898
4950,90101,101,9899
4960,90101,101,9899
4970,90101,101,9899
4980,90101,101,9899
4990,90100,100,9900
5000,90100,100,9900
5010,90099,99,9901
5020,90099,99,9901
5030,90099,99,9901
5040,90099,99,9901
5050,90098,98,9902
5060,90097,97,9903
5070,90095,95,9905
5080,90094,94,9906
5090,90093,93,9907
5100,90092,92,9908
5110,90092,92,9908
5120,90092,92,9908
5130,90091,91,9909
5140,90091,91,9909
5150,90090,90,9910
5160,90090,90,9910
5170,90090,90,9910
5180,90089,89,9911
5190,90088,88,9912
5200,90088,88,9912
5210,90088,88,9912
5220,90088,88,9912
5230,90088,88,9912
5240,90088,88,9912
5250,90088,88,9912
5260,90087,87,9913
5270,90086,86,9914
5280,90085,85,9915
5290,90085,85,9915
5300,90085,85,9915
5310,90084,84,9916
5320,90083,83,9917
5330,90083,83,9917
5340,90083,83,9917
5350,90083,83,9917
5360,90083,83,9917
5370,90083,83,9917
5380,90082,82,9918
5390,90081,81,9919
5400,90079,79,9921
5410,90079,79,9921
5420,90078,78,9922
5430,90078,78,9922
5440,90077,77,9923
5450,90076,76,9924
5460,90076,76,9924
5470,90074,74,9926
5480,90073,73,9927
5490,90073,73,9927
5500,90073,73,9927
5510,90072,72,9928
5520,90071,71,9929
5530,90071,71,9929
5540,90071,71,9929
5550,90070,70,9930
5560,90070,70,9930
5570,90068,68,9932
5580,90066,66,9934
5590,90065,65,9935
5600,90065,65,9935
5610,90064,64,9936
5620,90063,63,9937
5630,90062,62,9938
5640,90061,61,9939
5650,90061,61,9939
5660,90059,59,9941
5670,90059,59,9941
5680,90058,58,9942
5690,90057,57,9943
5700,90057,57,9943
5710,90057,57,9943
5720,90057,57,9943
5730,90056,56,9944
5740,90055,55,9945
5750,90053,53,9947
5760,90052,52,9948
5770,90052,52,9948
5780,90052,52,9948
5790,90050,50,9950
5800,90050,50,9950
5810,90050,50,9950
5820,90049,49,9951
5830,90049,49,9951
5840,90048,48,9952
5850,90047,47,9953
5860,90047,47,9953
5870,90046,46,9954
5880,90046,46,9954
5890,90046,46,9954
5900,90045,45,9955
5910,90044,44,9956
5920,90044,44,9956
5930,90043,43,9957
5940,90042,42,9958
5950,90041,41,9959
5960,90040,40,9960
5970,90039,39,9961
5980,90037,37,9963
5990,90035,35,9965
6000,90035,35,9965
6010,90034,34,9966
6020,90034,34,9966
6030,90034,34,9966
6040,90034,34,9966
6050,90034,34,9966
6060,90034,34,9966
6070,90034,34,9966
6080,90034,34,9966
6090,90034,34,9966
6100,90033,33,9967
6110,90033,33,9967
6120,90033,33,9967
6130,90033,33,9967
6140,90033,33,9967
6150,90033,33,9967
6160,90033,33,9967
6170,90033,33,9967
6180,90033,33,9967
6190,90033,33,9967
6200,90033,33,9967
6210,90031,31,9969
6220,90031,31,9969
6230,90031,31,9969
6240,90031,31,9969
6250,90030,30,9970
6260,90029,29,9971
6270,90028,28,9972
6280,90027,27,9973
6290,90027,27,9973
6300,90026,26,9974
6310,90026,26,9974
6320,90026,26,9974
6330,90026,26,9974
6340,90026,26,9974
6350,90026,26,9974
6360,90026,26,9974
6370,90025,25,9975
6380,90025,25,9975
6390,90024,24,9976
6400,90024,24,9976
6410,90024,24,9976
6420,90024,24,9976
6430,90022,22,9978
6440,90022,22,9978
6450,90022,22,9978
6460,90022,22,9978
6470,90022,22,9978
6480,90022,22,9978
6490,90022,22,9978
6500,90022,22,9978
6510,90022,22,9978
6520,90022,22,9978
6530,90022,22,9978
6540,90022,22,9978
6550,90022,22,9978
6560,90022,22,9978
6570,90022,22,9978
6580,90021,21,9979
6590,90021,21,9979
6600,90021,21,9979
6610,90021,21,9979
6620,90020,20,9980
6630,90020,20,9980
6640,90020,20,9980
6650,90020,20,9980
6660,90020,20,9980
6670,90020,20,9980
6680,90020,20,9980
6690,90020,20,9980
6700,90020,20,9980
6710,90020,20,9980
6720,90019,19,9981
6730,90019,19,9981
6740,90019,19,9981
6750,90019,19,9981
6760,90019,19,9981
6770,90019,19,9981
6780,90019,19,9981
6790,90019,19,9981
6800,90018,18,9982
6810,90018,18,9982
6820,90017,17,9983
6830,90016,16,9984
6840,90016,16,9984
6850,90016,16,9984
6860,90016,16,9984
6870,90015,15,9985
6880,90015,15,9985
6890,90015,15,9985
6900,90015,15,9985
6910,90015,15,9985
6920,90015,15,9985
6930,90015,15,9985
6940,90015,15,9985
6950,90015,15,9985
6960,90015,15,9985
6970,90014,14,9986
6980,90014,14,9986
6990,90014,14,9986
7000,90014,14,9986
7010,90014,14,9986
7020,90013,13,9987
7030,90013,13,9987
7040,90012,12,9988
7050,90012,12,9988
7060,90012,12,9988
7070,90012,12,9988
7080,90012,12,9988
7090,90012,12,9988
7100,90012,12,9988
7110,90012,12,9988
7120,90012,12,9988
7130,90012,12,9988
7140,90012,12,9988
7150,90012,12,9988
7160,90012,12,9988
7170,90012,12,9988
7180,90012,12,9988
7190,90012,12,9988
7200,90012,12,9988
7210,90012,12,9988
7220,90012,12,9988
7230,90012,12,9988
7240,90012,12,9988
7250,90012,12,9988
7260,90012,12,9988
7270,90012,12,9988
7280,90012,12,9988
7290,90012,12,9988
7300,90011,11,9989
7310,90011,11,9989
7320,90011,11,9989
7330,90011,11,9989
7340,90011,11,9989
7350,90011,11,9989
7360,90011,11,9989
7370,90011,11,9989
7380,90011,11,9989
7390,90011,11,9989
7400,90011,11,9989
7410,90011,11,9989
7420,90011,11,9989
7430,90011,11,9989
7440,90011,11,9989
7450,90011,11,9989
7460,90010,10,9990
7470,90010,10,9990
7480,90010,10,9990
7490,90009,9,9991
7500,90009,9,9991
7510,90009,9,9991
7520,90009,9,9991
7530,90009,9,9991
7540,90009,9,9991
7550,90009,9,9991
7560,90009,9,9991
7570,90009,9,9991
7580,90009,9,9991
7590,90008,8,9992
7600,90008,8,9992
7610,90008,8,9992
7620,90008,8,9992
7630,90008,8,9992
7640,90008,8,9992
7650,90008,8,9992
7660,90008,8,9992
7670,90008,8,9992
7680,90008,8,9992
7690,90008,8,9992
7700,90008,8,9992
7710,90008,8,9992
7720,90008,8,9992
7730,90008,8,9992
7740,90008,8,9992
7750,90008,8,9992
7760,90007,7,9993
7770,90007,7,9993
7780,90007,7,9993
7790,90007,7,9993
7800,90007,7,9993
7810,90007,7,9993
7820,90007,7,9993
7830,90006,6,9994
7840,90006,6,9994
7850,90006,6,9994
7860,90006,6,9994
7870,90006,6,9994
7880,90006,6,9994
7890,90006,6,9994
7900,90006,6,9994
7910,90006,6,9994
7920,90006,6,9994
7930,90006,6,9994
7940,90006,6,9994
7950,90006,6,9994
7960,90006,6,9994
7970,90005,5,9995
7980,90005,5,9995
7990,90005,5,9995
8000,90005,5,9995
8010,90005,5,9995
8020,90004,4,9996
8030,90004,4,9996
8040,90004,4,9996
8050,90004,4,9996
8060,90004,4,9996
8070,90004,4,9996
8080,90004,4,9996
8090,90004,4,9996
8100,90004,4,9996
8110,90004,4,9996
8120,90004,4,9996
8130,90004,4,9996
8140,90004,4,9996
8150,90004,4,9996
8160,90004,4,9996
8170,90004,4,9996
8180,90004,4,9996
8190,90004,4,9996
8200,90004,4,9996
8210,90004,4,9996
8220,90004,4,9996
8230,90004,4,9996
8240,90004,4,9996
8250,90004,4,9996
8260,90004,4,9996
8270,90004,4,9996
8280,90004,4,9996
8290,90004,4,9996
8300,90003,3,9997
8310,90003,3,9997
8320,90003,3,9997
8330,90003,3,9997
8340,90003,3,9997
8350,90003,3,9997
8360,90003,3,9997
8370,90003,3,9997
8380,90003,3,9997
8390,90003,3,9997
8400,90003,3,9997
8410,90003,3,9997
8420,90003,3,9997
8430,90003,3,9997
8440,90003,3,9997
8450,90003,3,9997
8460,90003,3,9997
8470,90003,3,9997
8480,90003,3,9997
8490,90003,3,9997
8500,90003,3,9997
8510,90003,3,9997
8520,90003,3,9997
8530,90002,2,9998
8540,90002,2,9998
8550,90002,2,9998
8560,90002,2,9998
8570,90002,2,9998
8580,90002,2,9998
8590,90002,2,9998
8600,90002,2,9998
8610,90002,2,9998
8620,90002,2,9998
8630,90002,2,9998
8640,90002,2,9998
8650,90002,2,9998
8660,90002,2,9998
8670,90002,2,9998
8680,90002,2,9998
8690,90002,2,9998
8700,90002,2,9998
8710,90002,2,9998
8720,90002,2,9998
8730,90002,2,9998
8740,90002,2,9998
8750,90002,2,9998
8760,90002,2,9998
8770,90002,2,9998
8780,90002,2,9998
8790,90002,2,9998
8800,90002,2,9998
8810,90002,2,9998
8820,90002,2,9998
8830,90002,2,9998
8840,90002,2,9998
8850,90002,2,9998
8860,90002,2,9998
8870,90002,2,9998
8880,90002,2,9998
8890,90002,2,9998
8900,90002,2,9998
8910,90002,2,9998
8920,90002,2,9998
8930,90002,2,9998
8940,90002,2,9998
8950,90002,2,9998
8960,90002,2,9998
8970,90002,2,9998
8980,90002,2,9998
8990,90002,2,9998
9000,90002,2,9998
9010,90002,2,9998
9020,90002,2,9998
9030,90002,2,9998
9040,90002,2,9998
9050,90002,2,9998
9060,90002,2,9998
9070,90002,2,9998
9080,90002,2,9998
9090,90002,2,9998
9100,90002,2,9998
9110,90002,2,9998
9120,90002,2,9998
9130,90002,2,9998
9140,90002,2,9998
9150,90002,2,9998
9160,90002,2,9998
9170,90002,2,9998
9180,90002,2,9998
9190,90002,2,9998
9200,90002,2,9998
9210,90002,2,9998
9220,90002,2,9998
9230,90002,2,9998
9240,90002,2,9998
9250,90002,2,9998
9260,90001,1,9999
9270,90001,1,9999
9280,90001,1,9999
9290,90001,1,9999
9300,90001,1,9999
9310,90001,1,9999
9320,90001,1,9999
9330,90001,1,9999
9340,90001,1,9999
9350,90001,1,9999
9360,90001,1,9999
9370,90001,1,9999
9380,90001,1,9999
9390,90001,1,9999
9400,90001,1,9999
9410,90001,1,9999
9420,90001,1,9999
9430,90001,1,9999
9440,90001,1,9999
9450,90001,1,9999
9460,90001,1,9999
9470,90001,1,9999
9480,90001,1,9999
9490,90001,1,9999
9500,90001,1,9999
9510,90001,1,9999
9520,90001,1,9999
9530,90001,1,9999
9540,90001,1,9999
9550,90001,1,9999
9560,90001,1,9999
9570,90001,1,9999
9580,90001,1,9999
9590,90001,1,9999
9600,90001,1,9999
9610,90001,1,9999
9620,90001,1,9999
9630,90001,1,9999
9640,90001,1,9999
9650,90001,1,9999
9660,90001,1,9999
9670,90001,1,9999
9680,90001,1,9999
9690,90001,1,9999
9700,90001,1,9999
9710,90001,1,9999
9720,90001,1,9999
9730,90001,1,9999
9740,90001,1,9999
9750,90001,1,9999
9760,90001,1,9999
9770,90001,1,9999
9780,90001,1,9999
9790,90001,1,9999
9800,90001,1,9999
9810,90001,1,9999
9820,90001,1,9999
9830,90001,1,9999
9840,90001,1,9999
9850,90001,1,9999
9860,90001,1,9999
9870,90001,1,9999
9880,90001,1,9999
9890,90001,1,9999
9900,90001,1,9999
9910,90001,1,9999
9920,90001,1,9999
9930,90001,1,9999
9940,90001,1,9999
9950,90001,1,9999
9960,90001,1,9999
9970,90001,1,9999
9980,90001,1,9999
9990,90001,1,9999
10000,90001,1,9999
