Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_200::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1
4300,9999750197774.0,17001,20,201.0,17000,8956,21083235,9999991165.0,19975,17,4300,9.99999000001e-07,0.99882607661834,0.4736842105263158,0.999000999000999,0.9984037045677806,0.05056083666769175,0.0009989750700901752,9.99999000001e-07,0.9983220772683418,2.697910189384153e-05
4400,9999736282359.0,20047849,23,200.0,24000,9347,21020590,10000001000.0,27,219,4400,9.99999000001e-07,0.9990652139905122,0.4736842105263158,0.999000999000999,0.9983996856054081,0.0972802137646055,0.0009989756814081593,9.99999000001e-07,0.9983194039934322,0.0032681008977050625
4500,9999741962931.0,10018641,16,200.0,31,9207,20916619,10000000987.0,10097,18,4500,9.99999000001e-07,0.9989920037573261,0.4736842105263158,0.999000999000999,0.9983974293492784,0.046745752973959734,0.000998975247575736,9.99999000001e-07,0.9983976849752523,2.4250754119883757e-05
4600,9999727877762.0,20025441,20,200.0,20019,9064,20806562,9999991088.0,19984,109,4600,9.99999000001e-07,0.9991007872131367,0.4736842105263158,0.999000999000999,0.9983917553202984,0.04132208248804012,0.0009989748396980777,9.99999000001e-07,0.9984447513468453,0.0032715734171064044
4700,9999723919838.0,19888523,17,201.0,7012,172238,20766440,10000000982.0,9981,102,4700,9.99999000001e-07,0.999115731746791,0.4736842105263158,0.999000999000999,0.998390308111556,0.40385100801011486,0.0009989744311115377,9.99999000001e-07,0.9984325552014872,0.0032508689593869987
4800,9999719768867.0,19930714,17,201.0,20017,83944,20658416,10000000968.0,9992,51,4800,9.99999000001e-07,0.9991317020747562,0.4736842105263158,0.999000999000999,0.9983853254442704,0.3819858593675461,0.0009989720338200844,9.99999000001e-07,0.9984662388495564,0.0032530828469648416
4900,9999725593476.0,10034436,19,200.0,11006,8489,20590583,10000001000.0,27,16,4900,9.99999000001e-07,0.9990676209578595,0.4736842105263158,0.999000999000999,0.9983822679224499,0.02552052064677287,0.0009989736151968392,9.99999000001e-07,0.9984639653962124,1.2729377800416822e-05
5000,9999711624362.0,19924327,26,200.0,9,105753,20542634,10000000973.0,9934,105,5000,9.99999000001e-07,0.9991607881062392,0.4736842105263158,0.999000999000999,0.9983809423472237,0.3609232800655327,0.0009989722210788905,9.99999000001e-07,0.9985050842086065,0.0017843457883578119
5100,9999717567353.0,49982,19,200.0,17000,100795,20504348,10000000989.0,10120,0,5100,9.99999000001e-07,0.9990120952732158,0.4736842105263158,0.999000999000999,0.9983777583712674,0.3616704770772575,0.0009989728092147643,9.99999000001e-07,0.998523156899811,1.974382470208761e-05
5200,9999713586366.0,9998901,25,201.0,8000,123129,20446824,10000001000.0,35,107,5200,9.99999000001e-07,0.9991159876454323,0.4736842105263158,0.999000999000999,0.9983758637347254,0.3708232708953987,0.000998971416668269,9.99999000001e-07,0.9985273218611707,0.0017823531014454516
5300,9999699786969.0,20039075,22,200.0,36,7886,20411442,9999990890.0,20021,15,5300,9.99999000001e-07,0.9991992769983759,0.4736842105263158,0.999000999000999,0.9983746698301228,0.09680336667918506,0.0009989720381192821,9.99999000001e-07,0.9985896045392167,4.88846828131091e-05
5400,9999695591469.0,19897163,24,200.0,23000,131416,20348552,10000000991.0,10186,81,5400,9.99999000001e-07,0.9992128803317961,0.4736842105263158,0.999000999000999,0.9983711755039086,0.3785408575972875,0.0009989716050798686,9.99999000001e-07,0.9985958724265852,0.003254095384459972
5500,9999701463449.0,9997678,25,200.0,16012,4228,20319531,10000000990.0,9966,40,5500,9.99999000001e-07,0.9991604190791674,0.4736842105263158,0.999000999000999,0.9983698108083895,0.04040709488643667,0.0009989712069873283,9.99999000001e-07,0.9986129720402904,2.566909701890296e-05
5600,9999697375190.0,9991448,27,200.0,12034,81045,20296858,10000000981.0,10076,8,5600,9.99999000001e-07,0.9991749185809655,0.4736842105263158,0.999000999000999,0.9983688519577095,0.36966545845691895,0.0009989707948227446,9.99999000001e-07,0.998622733708317,1.0016449220254508e-05
5700,9999693454034.0,57418,20,200.0,42,30276,20285070,10000000983.0,10020,0,5700,9.99999000001e-07,0.9991160461195512,0.4736842105263158,0.999000999000999,0.9983690791136615,0.05121254194450504,0.0009989704019244105,9.99999000001e-07,0.99863391710609,2.4317255757572867e-05
5800,9999689358055.0,7928,20,200.0,8000,7993,20260444,9999990936.0,20020,15,5800,9.99999000001e-07,0.9991315673848737,0.4736842105263158,0.999000999000999,0.998367294608176,0.038165751361326994,0.0009989699988716939,9.99999000001e-07,0.9986667022212741,1.811090334756967e-05
5900,9999685406333.0,39655,27,200.0,16029,20,20221739,10000000981.0,9855,0,5900,9.99999000001e-07,0.9991462410457441,0.4736842105263158,0.999000999000999,0.9983652430112527,0.041673214323936635,0.0009989686046516396,9.99999000001e-07,0.9986592568260587,1.9736780084421405e-05
