Time\ number,r1_2_200,r2_1_300,Time\ Probability,r1_2_200,r2_1_300
2690,1.9999994620000047e+19,5381999954869,2690,9.999999999e-11,0.0026837779310825175
2700,1.9999994600000184e+19,5399999817421,2700,9.999999999e-11,0.0026927295392004764
2710,1.9999994580000346e+19,5419999653647,2710,9.999999999e-11,0.0027026755764792813
2720,1.9999994560000336e+19,5441999618610,2720,9.999999999e-11,0.0027136160605217936
2730,1.9999994540000416e+19,5459999586639,2730,9.999999999e-11,0.0027225671854658796
2740,1.999999452000042e+19,5479999577231,2740,9.999999999e-11,0.002732512704383101
2750,1.9999994500000317e+19,5501999701106,2750,9.999999999e-11,0.0027434526128251187
2760,1.9999994480000238e+19,5521999690328,2760,9.999999999e-11,0.0027533977145005888
2770,1.9999994460000436e+19,5539999563947,2770,9.999999999e-11,0.002762348078398601
2780,1.99999944400005e+19,5561999491049,2780,9.999999999e-11,0.00277328723443128
2790,1.9999994420000567e+19,5581999434965,2790,9.999999999e-11,0.00278323171854236
2800,1.9999994400000668e+19,5601999412932,2800,9.999999999e-11,0.00279317602125037
2810,1.999999438000027e+19,5621999784569,2810,9.999999999e-11,0.0028031203213630877
2820,1.9999994360000578e+19,5639999424066,2820,9.999999999e-11,0.0028120696763554607
2830,1.9999994340000522e+19,5659999477336,2830,9.999999999e-11,0.0028220134413664156
2840,1.9999994320000754e+19,5679999245070,2840,9.999999999e-11,0.0028319568661042283
2850,1.99999943000008e+19,5699999198484,2850,9.999999999e-11,0.0028419001848540805
2860,1.9999994280001098e+19,5721998941949,2860,9.999999999e-11,0.0028528375043836824
2870,1.9999994260001206e+19,5739998795194,2870,9.999999999e-11,0.0028617860732906048
2880,1.9999994240001204e+19,5759998796514,2880,9.999999999e-11,0.002871728820980619
2890,1.9999994220001403e+19,5781998597261,2890,9.999999999e-11,0.002882665514649462
2900,1.999999420000135e+19,5799998650143,2900,9.999999999e-11,0.0028916136474455402
2910,1.99999941800015e+19,5821998529986,2910,9.999999999e-11,0.002902549944238716
2920,1.999999416000126e+19,5839998737040,2920,9.999999999e-11,0.00291149779679192
2930,1.99999941400015e+19,5861998467694,2930,9.999999999e-11,0.002922433583253515
2940,1.9999994120001593e+19,5879998405940,2940,9.999999999e-11,0.0029313809453271372
2950,1.9999994100001255e+19,5901998707010,2950,9.999999999e-11,0.002942316579182027
2960,1.9999994080001286e+19,5919998712854,2960,9.999999999e-11,0.002951263618017023
2970,1.9999994060001124e+19,5941998852555,2970,9.999999999e-11,0.0029621987355337095
2980,1.999999404000138e+19,5961998556412,2980,9.999999999e-11,0.002972139332999601
2990,1.9999994020001317e+19,5981998663665,2990,9.999999999e-11,0.0029820799327461853
3000,1.999999400000144e+19,6001998544108,3000,9.999999999e-11,0.0029920202215471658
3010,1.9999993980001448e+19,6021998572403,3010,9.999999999e-11,0.0030019603856231833
3020,1.9999993960001524e+19,6039998478786,3020,9.999999999e-11,0.0030109063046430944
3030,1.9999993940001407e+19,6061998554004,3030,9.999999999e-11,0.00302184008189855
3040,1.9999993920001647e+19,6079998353452,3040,9.999999999e-11,0.0030307855910244527
3050,1.9999993900001653e+19,6101998330143,3050,9.999999999e-11,0.0030417188832981747
3060,1.9999993880001384e+19,6119998618007,3060,9.999999999e-11,0.0030506642784195346
3070,1.9999993860001604e+19,6139998397638,3070,9.999999999e-11,0.0030606031496018195
3080,1.999999384000158e+19,6161998376263,3080,9.999999999e-11,0.003071535788859706
3090,1.9999993820001632e+19,6181998388371,3090,9.999999999e-11,0.0030814743594236183
3100,1.9999993800001585e+19,6201998457953,3100,9.999999999e-11,0.0030914127603900825
3110,1.999999378000149e+19,6219998510309,3110,9.999999999e-11,0.003100357146737434
3120,1.999999376000156e+19,6239998440694,3120,9.999999999e-11,0.0031102951020535435
3130,1.9999993740001858e+19,6261998113590,3130,9.999999999e-11,0.003121226499568807
3140,1.999999372000179e+19,6281998211451,3140,9.999999999e-11,0.003131164122018361
3150,1.9999993700001763e+19,6299998235731,3150,9.999999999e-11,0.0031401077811249543
3160,1.999999368000203e+19,6319997970790,3160,9.999999999e-11,0.003150044846874927
3170,1.9999993660002173e+19,6341997795590,3170,9.999999999e-11,0.0031609754481330132
3180,1.9999993640002347e+19,6359997654578,3180,9.999999999e-11,0.003169918490207539
3190,1.999999362000251e+19,6379997492007,3190,9.999999999e-11,0.003179855012501148
3200,1.9999993600002576e+19,6399997423019,3200,9.999999999e-11,0.003189791383193298
3210,1.99999935800026e+19,6419997400641,3210,9.999999999e-11,0.0031997275789506885
3220,1.999999356000259e+19,6439997413881,3220,9.999999999e-11,0.003209663594317085
