Time,A,B,S
5440,5412,0,100004589
5450,5421,0,100004580
5460,5445,0,100004556
5470,5478,0,100004523
5480,5504,0,100004497
5490,5519,0,100004482
5500,5487,0,100004514
5510,5444,0,100004557
5520,5393,0,100004608
5530,5369,0,100004632
5540,5342,0,100004659
5550,5294,0,100004707
5560,5269,0,100004732
5570,5274,0,100004727
5580,5247,0,100004754
5590,5276,0,100004725
5600,5224,0,100004777
5610,5158,0,100004843
5620,5158,0,100004843
5630,5184,0,100004817
5640,5174,0,100004827
5650,5131,0,100004870
5660,5189,0,100004812
5670,5158,0,100004843
5680,5173,0,100004828
5690,5196,0,100004805
5700,5210,0,100004791
5710,5194,0,100004807
5720,5132,0,100004869
5730,5071,0,100004930
5740,5002,0,100004999
5750,4962,0,100005039
5760,4929,0,100005072
5770,4967,0,100005034
5780,4973,0,100005028
5790,4942,0,100005059
5800,4876,0,100005125
5810,4833,0,100005168
5820,4833,0,100005168
5830,4805,0,100005196
5840,4845,0,100005156
5850,4840,0,100005161
5860,4825,0,100005176
5870,4865,0,100005136
5880,4811,0,100005190
5890,4826,0,100005175
5900,4816,0,100005185
5910,4806,0,100005195
5920,4809,0,100005192
5930,4776,0,100005225
5940,4747,0,100005254
5950,4762,0,100005239
5960,4885,0,100005116
5970,4861,0,100005140
5980,4854,0,100005147
5990,4836,0,100005165
6000,4825,0,100005176
6010,4817,0,100005184
6020,4836,0,100005165
6030,4879,0,100005122
6040,4909,0,100005092
6050,4931,0,100005070
6060,4933,0,100005068
6070,4918,0,100005083
6080,4914,0,100005087
6090,4925,0,100005076
6100,4914,0,100005087
6110,4968,0,100005033
6120,4932,0,100005069
6130,4986,0,100005015
6140,4969,0,100005032
6150,4969,0,100005032
6160,4916,0,100005085
6170,4913,0,100005088
6180,4970,0,100005031
6190,4973,0,100005028
6200,4953,0,100005048
6210,4927,0,100005074
6220,4881,0,100005120
6230,4835,0,100005166
6240,4869,0,100005132
6250,4857,0,100005144
6260,4830,0,100005171
6270,4802,0,100005199
6280,4828,0,100005173
6290,4798,0,100005203
6300,4785,0,100005216
6310,4743,0,100005258
6320,4740,0,100005261
6330,4779,0,100005222
6340,4749,0,100005252
6350,4723,0,100005278
6360,4698,0,100005303
6370,4643,0,100005358
6380,4601,0,100005400
6390,4588,0,100005413
6400,4581,0,100005420
6410,4568,0,100005433
6420,4549,0,100005452
6430,4549,0,100005452
6440,4550,0,100005451
6450,4521,0,100005480
6460,4518,0,100005483
6470,4517,0,100005484
6480,4560,0,100005441
6490,4567,0,100005434
6500,4578,0,100005423
6510,4573,0,100005428
6520,4581,0,100005420
6530,4523,0,100005478
6540,4525,0,100005476
6550,4456,0,100005545
6560,4501,0,100005500
6570,4494,0,100005507
6580,4465,0,100005536
6590,4472,0,100005529
6600,4470,0,100005531
6610,4444,0,100005557
6620,4454,0,100005547
6630,4442,0,100005559
6640,4429,0,100005572
6650,4423,0,100005578
6660,4384,0,100005617
6670,4356,0,100005645
6680,4404,0,100005597
6690,4386,0,100005615
6700,4440,0,100005561
6710,4446,0,100005555
6720,4415,0,100005586
6730,4423,0,100005578
6740,4475,0,100005526
6750,4488,0,100005513
6760,4502,0,100005499
6770,4439,0,100005562
6780,4435,0,100005566
6790,4432,0,100005569
6800,4414,0,100005587
6810,4405,0,100005596
6820,4370,0,100005631
6830,4337,0,100005664
6840,4379,0,100005622
6850,4380,0,100005621
6860,4390,0,100005611
6870,4413,0,100005588
6880,4397,0,100005604
6890,4382,0,100005619
6900,4436,0,100005565
6910,4465,0,100005536
6920,4502,0,100005499
6930,4499,0,100005502
6940,4470,0,100005531
6950,4456,0,100005545
6960,4447,0,100005554
6970,4417,0,100005584
6980,4370,0,100005631
6990,4399,0,100005602
7000,4383,0,100005618
7010,4449,0,100005552
