Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2
10000,5897780,1237979,180000000,1080000000,20000,120000,9993650208548,63164471,165069023,3135,174102220,2000,11460,37052582,348198170,5462783119,14537216881,15487284481,9951481018,48518982,16332988,100373433645,962733900,160440,7994953,202167000,8451687800,127865299,535754049,442184428,999899051,1741988100,100949,985268346,14731654,10447095,937410767,62589233,589579233,141831100,17462,147412280,999999987,13,999561595,438405,147394805,1000,1000,1000,1000,1000,1000,1000,100373476801,962713800,139153,8050439,201722500,8451534000,135114862,542996512,442148384,999898364,1742124000,101636,985149482,14850518,10105718,937766534,62233466,589531166,141515100,17500,147400320,999999962,38,999567718,432282,147382782,1000,1000,1000,1000,1000,1000,1000
11000,6218920,1286816,200000000,1200000000,20000,120000,9993162033506,59601270,165145651,19900,193781080,2000,1008,38106721,387522360,5170834276,14829165724,15779887924,9951861679,48138321,19299339,100379871969,1039763500,186940,7895231,267084500,9080914200,156174846,593761546,495115634,999981383,1831720800,18617,977868386,22131614,2646603,890263969,109736031,660154131,160165200,18120,165056760,999999857,143,999551603,448397,165038497,1000,1000,1000,1000,1000,1000,1000,100379914197,1039764400,204681,7822776,266876600,9081052000,167355430,604950630,495107881,999983178,1831890000,16822,977722204,22277796,2257226,890564845,109435155,660132055,159919500,7,165059540,999964641,35359,999549826,450174,165024174,1000,1000,1000,1000,1000,1000,1000
12000,6527420,1244301,220000000,1320000000,20000,120000,9992695278803,62470427,171656241,21334,213472580,2000,124941,39013422,426902492,4906736730,15093263270,16044459870,9952202698,47797302,22375090,100384419200,1115020700,144721,6844700,334918900,9692201400,185531516,651916516,548208146,999877959,1916177100,122041,975501466,24498534,157107,841135661,158864339,730943839,178439800,17780,182754540,999998933,1067,999515007,484993,182735693,1000,1000,1000,1000,1000,1000,1000,100384234442,1114906000,200200,7041835,334783600,9691062400,200386092,666714242,548241209,999974519,1915989900,25481,975794933,24205067,90214,841134205,158865795,730982095,178290300,3,182759440,999981449,18551,999508814,491186,182740886,1000,1000,1000,1000,1000,1000,1000
13000,6822420,1276349,240000000,1440000000,20000,120000,9992260984303,57992508,170883762,21290,233177580,2000,1186,39745174,466312580,4667753611,15332246389,16283793089,9952405886,47594114,25551966,100387850533,1189438900,187057,6555758,403262300,10294471400,216236133,710960733,601447931,999900165,1998120000,99835,975739095,24260905,200030,790875199,209124801,801918801,196665500,9,200506200,999964679,35321,999518830,481170,200470870,1000,1000,1000,1000,1000,1000,1000,100387659262,1189334000,213090,6652878,403180400,10293418400,233089832,727761732,601472732,999870051,1997939400,129949,975886835,24113165,108984,790889052,209110948,801963548,196501000,18140,200509240,999999716,284,999499384,500616,200490816,1000,1000,1000,1000,1000,1000,1000
14000,7106430,1263941,260000000,1560000000,20000,120000,9991843243881,59780712,176455047,19871,252893570,2000,10436,40354837,505747398,4451584293,15548415707,16500221507,9952501883,47498117,28821381,100391151848,1263915200,183118,7121352,470807800,10896888000,247313951,770380051,654801276,999971520,2080208100,28480,975817142,24182858,75622,740540746,259459254,873067354,214741100,17660,218286780,999996958,3042,999516922,483078,218266078,1000,1000,1000,1000,1000,1000,1000,100391017051,1263800600,207921,6684646,471335100,10895764400,265335372,788345572,654815349,999874880,2079861000,125120,976088304,23911696,177624,740472575,259527425,873080825,214686800,3,218284400,999981079,18921,999514724,485276,218265476,1000,1000,1000,1000,1000,1000,1000
15000,7377890,1265877,280000000,1680000000,20000,120000,9991447121171,60527757,180934933,20052,272622110,2000,1065,40840060,545204116,4255998128,15744001872,16696008472,9952609500,47390500,32176616,100394453019,1338435700,197651,6912516,539180300,11499701000,280689240,832116090,708205455,999975505,2162170800,24495,975955195,24044805,106690,690192335,309807665,944273465,232805900,18065,236087500,999998575,1425,999513990,486010,236068010,1000,1000,1000,1000,1000,1000,1000,100394292420,1338332300,216706,6905356,539396900,11498677400,295241168,846616968,708244252,999900921,2161924800,99079,976125663,23874337,91142,690014390,309985610,944325410,232831100,18004,236099940,999999222,778,999499542,500458,236081158,1000,1000,1000,1000,1000,1000,1000
16000,7638800,1266227,300000000,1800000000,20000,120000,9991076779917,54117009,178346919,19936,292361200,2000,11424,41233082,584682528,4079024526,15920975474,16873121874,9952620398,47379602,35617226,100397747614,1412964100,199923,6688098,607536900,12102520200,312717859,892504859,761662994,999899761,2244119100,100239,976012540,23987460,171379,639886285,360113715,1015538815,250758800,8,253911360,999964469,35531,999514279,485721,253875821,1000,1000,1000,1000,1000,1000,1000,100397617891,1412888500,163811,6886209,607651900,12101650600,326475390,906217490,761705272,999883502,2243914500,116498,976187736,23812264,99234,639546562,360453438,1015606438,250926900,17920,253920860,999998226,1774,999503134,496866,253901166,1000,1000,1000,1000,1000,1000,1000
17000,7891260,1248704,320000000,1920000000,20000,120000,9990716407853,54661304,182911652,1948,312108740,2000,124772,41536964,624213584,3918976657,16081023343,17033274243,9952442936,47557064,39156320,100400942943,1487578000,216681,6774833,675706700,12705815200,345599271,953765471,815191620,999883026,2326157400,116974,976001834,23998166,123308,589495588,410504412,1086916212,268675000,18004,271760440,999982156,17844,999521008,478992,271724592,1000,1000,1000,1000,1000,1000,1000,100400812517,1487463700,188252,7117083,675643500,12704677800,356751653,964861053,815221494,999961002,2325953400,38998,976274625,23725375,58223,589187529,410812471,1086961171,268825200,17720,271759860,999997537,2463,999505223,494777,271739677,1000,1000,1000,1000,1000,1000,1000
18000,8137230,1256991,340000000,2040000000,20000,120000,9990372631517,53794404,185868606,20113,331862770,2000,11318,41661788,663685314,3774122421,16225877579,17178213579,9952362072,47637928,42774486,100404158656,1562189300,180162,6879497,743872500,13309089800,378364643,1014909093,868769201,999962122,2408189700,37878,976087528,23912472,82706,539047905,460952095,1158352895,286587700,17927,289619740,999981881,18119,999516706,483294,289583694,1000,1000,1000,1000,1000,1000,1000,100403980765,1562104700,187374,7063369,743995800,13308143000,387326748,1023822598,868827808,999963714,2407966200,36286,976287027,23712973,30013,538757505,461242495,1158435995,286685200,17866,289629300,999996753,3247,999504813,495187,289608187,1000,1000,1000,1000,1000,1000,1000
19000,8375840,1261679,360000000,2160000000,20000,120000,9990042434004,53198448,189447166,2169,351624160,2000,113995,41759636,703243982,3643115852,16356884148,17309266748,9951996364,48003636,46485446,100407199599,1636808700,219549,6894336,812193300,13912367000,409662639,1074584489,922427483,999976501,2490164100,23499,976132317,23867683,88016,488626733,511373267,1229902667,304349300,17705,307494820,999998069,1931,999489816,510184,307475184,1000,1000,1000,1000,1000,1000,1000,100407061641,1636739900,233315,6756019,812569700,13911475000,419165137,1084039837,922456476,999870156,2489872200,129844,976301108,23698892,116152,488411676,511588324,1229941624,304405600,17900,307504080,999998968,1032,999505352,494648,307485148,1000,1000,1000,1000,1000,1000,1000
20000,8609740,1221836,380000000,2280000000,20000,120000,9989722211480,55018230,195493818,2239,371390260,2000,11131,41735846,742776042,3524502910,16475497090,17427915390,9951546014,48453986,50285756,100410308246,1711453600,219823,6922994,880283700,14515633600,443366105,1136661505,976065614,999867353,2572141200,132647,976062576,23937424,112523,438387609,561612391,1301420191,321920200,18020,325374480,999998117,1883,999508223,491777,325354577,1000,1000,1000,1000,1000,1000,1000,100410204210,1711346100,252822,6800403,880730000,14514600200,448861278,1142105528,976068265,999974479,2571844500,25521,976468023,23531977,157944,438102379,561897621,1301412421,322116100,7,325379960,999964203,35797,999513444,486556,325344156,1000,1000,1000,1000,1000,1000,1000
21000,8836750,1267074,400000000,2400000000,20000,120000,9989419786687,50375829,195258371,2072,391163250,2000,11572,41593786,782322356,3417225616,16582774384,17535212484,9950899614,49100386,54188370,100413394159,1786110300,218781,6888021,948450900,15119143000,474723764,1196406414,1029754940,999969628,2654182500,30372,976124208,23875792,58480,388150140,611849860,1373006060,339464100,17580,343270280,999998420,1580,999493880,506120,343251120,1000,1000,1000,1000,1000,1000,1000,100413270586,1785985200,230035,7143508,948418700,15117928800,480692540,1202314940,1029748760,999965683,2653958700,34317,976333490,23666510,25807,387937747,612062253,1372997153,339569500,17946,343269920,999996419,3581,999492007,507993,343248393,1000,1000,1000,1000,1000,1000,1000
22000,9057760,1251941,420000000,2520000000,20000,120000,9989121786737,51498164,201068841,3955,410942240,2000,125421,41358207,821876570,3320140601,16679859399,17632299199,9949994093,50005907,58206563,100416500950,1860728500,183653,6691885,1016547500,15722206600,507165122,1257211972,1083412133,999894935,2736115800,105065,976126636,23873364,134601,338101168,661898832,1444548832,356808900,18165,361156900,999997964,2036,999498101,501899,361136699,1000,1000,1000,1000,1000,1000,1000,100416454648,1860624000,177606,6651137,1016697200,15721144000,511417166,1261410666,1083392049,999892905,2735874000,107095,976371823,23628177,136218,337984169,662015831,1444510631,356855200,15,361154900,999963697,36303,999518418,481582,361118582,1000,1000,1000,1000,1000,1000,1000
23000,9274090,1256660,440000000,2640000000,20000,120000,9988832481933,53169076,207684821,21920,430725910,2000,10455,40980165,861407980,3232288709,16767711291,17720132391,9948824215,51175785,62359795,100419628787,1935331400,181450,6801201,1084087300,16325163600,539617233,1318023533,1137040330,999894598,2818169100,105402,976098977,23901023,116879,288331049,711668951,1516041451,373921300,12,379038100,999963033,36967,999517679,482321,379001121,1000,1000,1000,1000,1000,1000,1000,100419505948,1935226100,226226,6565875,1084453500,16324153800,542353002,1320709352,1137017587,999881683,2817897600,118317,976353341,23646659,138058,288236771,711763229,1516011429,373951100,17,379029920,999963939,36061,999519558,480442,378993842,1000,1000,1000,1000,1000,1000,1000
24000,9484900,1249563,460000000,2760000000,20000,120000,9988556546835,49922970,210028247,3884,450515100,2000,10129,40517945,901022432,3152886905,16847113095,17799502595,9947097695,52902305,66685027,100422590570,2009872800,213799,7028450,1151259600,16927635200,571828151,1378571251,1190682974,999962945,2900217300,37055,976113368,23886632,75223,238837849,761162151,1587577251,390684500,17680,396912100,999999857,143,999492323,507677,396894277,1000,1000,1000,1000,1000,1000,1000,100422584801,2009775300,183985,6731696,1151643000,16926607400,573478007,1380169057,1190650213,999889870,2899916100,110130,976357432,23642568,153262,238716649,761283351,1587521651,390750600,23,396907360,999964101,35899,999521762,478238,396871438,1000,1000,1000,1000,1000,1000,1000
25000,9691980,1245921,480000000,2880000000,20000,120000,9988280168903,54644085,221112810,2446,470308020,2000,1931,39870177,940611148,3081016888,16918983112,17871332212,9944611983,55388017,71210531,100425798674,2084379700,151934,6451857,1218477400,17529865800,601976982,1437046132,1244206699,999912449,2982210000,87551,976126385,23873615,160436,189988337,810011663,1658936263,406972300,18089,414765660,999981993,18007,999511836,488164,414729564,1000,1000,1000,1000,1000,1000,1000,100425505532,2084275800,238818,6826606,1218492200,17528730000,606694866,1441706016,1244284058,999876525,2981965500,123475,976301775,23698225,129650,189684792,810315208,1659043708,407040300,22,414764780,999994892,5108,999493850,506150,414759650,1000,1000,1000,1000,1000,1000,1000
26000,9892170,1285003,500000000,3000000000,20000,120000,9988023195090,46843038,220927336,4305,490107830,2000,946,38999748,980207050,3016020328,16983979672,17936275972,9940930152,59069848,76014702,100428738229,2158756700,207276,6642331,1284390900,18130967000,633894838,1497235688,1297737270,999897386,3064277700,102614,976084921,23915079,158535,141770565,858229435,1730316335,422519800,17380,432596520,999999925,75,999495935,504065,432579065,1000,1000,1000,1000,1000,1000,1000,100428711756,2158657600,143773,6978929,1284160800,18129986400,638186413,1501478363,1297730919,999970186,3064153200,29814,976278429,23721571,40943,141600124,858399876,1730307376,422602700,18075,432596080,999998452,1548,999497243,502757,432576457,1000,1000,1000,1000,1000,1000,1000
27000,10091700,1261593,520000000,3120000000,20000,120000,9987764007960,47366214,231228109,20070,509908300,2000,11324,37754135,1019776460,2957147174,17042852826,17995109026,9935134625,64865375,81242385,100431770639,2232972400,172334,6619354,1349053900,18730800000,665228961,1556782411,1351170791,999900798,3146406000,99202,976047889,23952111,134791,94893300,905106700,1801559100,436789000,47,450394220,999994136,5864,999477191,522809,450388309,1000,1000,1000,1000,1000,1000,1000,100431715796,2232864700,237145,6417964,1349363500,18729743800,670443772,1561944672,1351067846,999883309,3146128800,116691,976336156,23663844,208947,94841401,905158599,1801417799,436879700,17780,450385720,999982013,17987,999512947,487053,450349953,1000,1000,1000,1000,1000,1000,1000
28000,10286410,1268632,540000000,3240000000,20000,120000,9987514719006,43700041,241535352,4319,529713590,2000,10508,36024469,1059418542,2903978747,17096021253,18048224853,9925311631,74688369,87122473,100434765564,2306925100,222034,6681799,1411206500,19328254200,695824271,1615474521,1404331151,999959837,3228613200,40163,976077503,23922497,129466,50473515,949526485,1872435785,448766600,17897,468139780,999982751,17249,999519966,480034,468104634,1000,1000,1000,1000,1000,1000,1000,100434625678,2306800800,180645,6692685,1411395000,19327146400,703649789,1623246339,1404390261,999882847,3228374100,117153,976203688,23796312,105441,50224780,949775220,1872519520,448841100,77,468131820,999997516,2484,999478441,521559,468129259,1000,1000,1000,1000,1000,1000,1000
29000,10475480,1284585,560000000,3360000000,20000,120000,9987272588220,37852804,258177889,20115,549524520,2000,2047,33302775,1099008810,2855791624,17144208376,18096347476,9907115885,92884115,94138195,100437487382,2380292900,232572,6613063,1468712800,19920797800,729671423,1677184673,1457328349,999909889,3310927500,90111,975945707,24054293,79918,10696869,989303131,1943097531,455965700,175,485790160,999979197,20803,999497218,502782,485769182,1000,1000,1000,1000,1000,1000,1000,100437470597,2380153800,159290,6416140,1468921500,19919549200,734076095,1681528695,1457277699,999899052,3310650300,100948,976208081,23791919,125829,10599330,989400670,1943036470,456020800,17523,485777680,999998614,1386,999489829,510171,485758771,1000,1000,1000,1000,1000,1000,1000
30000,10663400,1247432,580000000,3480000000,20000,120000,9987027853994,39232965,293753329,21971,569336600,2000,1079,28971206,1138629258,2812223259,17187776741,18139848541,9877562474,122437526,103111632,100456099807,2443187300,132240,7707985,1495681400,20458860200,764325874,1737606224,1496631834,999898989,3396679200,101011,979068738,20931262,3246649,13715,999986285,1993408385,456512000,192128,503270860,993697819,6302181,999850049,149951,496776551,1000,1000,1000,1000,1000,1000,1000,100455911410,2443146300,127391,8211738,1495190900,20458424600,767887015,1741145265,1496492054,999984501,3396748200,15499,979020868,20979132,2887667,313,999999687,1993318287,456568100,435972,503275560,993986645,6013355,999803567,196433,496826233,1000,1000,1000,1000,1000,1000,1000
31000,10847750,1260096,600000000,3600000000,20000,120000,9986794907318,33027462,321947073,2735,589152250,2000,968,23718081,1178299030,2772855780,17227144220,18179147720,9848552459,151447541,113753989,100481255172,2502093500,222664,8011930,1512580700,20980825400,798424127,1796964027,1530299298,999980296,3485382600,19704,981913008,18086992,6048512,44614,999955386,2035500286,456521200,517258,520414580,985303666,14696334,999812712,187288,505200988,1000,1000,1000,1000,1000,1000,1000,100481563824,2501950600,190813,7641440,1512948400,20979937200,803272659,1801774909,1530385126,999892388,3485231700,107612,982081767,17918233,6070079,13353,999986647,2035468747,456576300,194496,520412380,984865737,15134263,999862479,137521,505083621,1000,1000,1000,1000,1000,1000,1000
