Time,N,P
45500,1473671466,28377099
45600,1474724344,28511008
45700,1475778210,28646209
45800,1476830529,28782043
45900,1477883820,28917446
46000,1478931942,29057209
46100,1479981856,29196502
46200,1481030344,29337063
46300,1482076667,29478055
46400,1483121730,29621268
46500,1484165770,29764366
46600,1485207542,29908207
46700,1486248118,30052792
46800,1487287523,30197492
46900,1488326375,30345651
47000,1489364061,30494187
47100,1490398881,30642865
47200,1491432967,30793484
47300,1492461951,30947333
47400,1493490392,31100830
47500,1494518254,31254234
47600,1495546028,31408802
47700,1496571954,31564377
47800,1497597238,31719960
47900,1498618898,31878195
48000,1499638790,32038929
48100,1500658129,32199157
48200,1501673052,32361117
48300,1502687613,32526054
48400,1503701489,32691744
48500,1504712338,32856908
48600,1505722944,33022545
48700,1506730454,33188133
48800,1507736079,33356524
48900,1508741325,33526119
49000,1509743633,33697853
49100,1510743698,33869117
49200,1511742227,34042144
49300,1512737648,34218091
49400,1513730210,34395340
49500,1514722108,34572033
49600,1515714071,34751842
49700,1516700934,34932544
49800,1517686525,35114805
49900,1518670011,35296166
50000,1519655318,35479083
50100,1520635476,35665645
50200,1521612001,35853636
50300,1522588174,36040840
50400,1523559419,36230130
50500,1524529227,36421390
50600,1525498751,36612755
50700,1526466959,36803942
50800,1527429243,36997782
50900,1528389474,37193580
51000,1529347634,37388427
51100,1530303532,37586258
51200,1531256514,37787896
51300,1532206823,37989755
51400,1533154323,38193435
51500,1534103927,38397704
51600,1535047275,38604542
51700,1535987659,38810790
51800,1536925758,39020150
51900,1537859950,39231163
52000,1538794179,39442875
52100,1539722993,39657057
52200,1540647700,39872756
52300,1541570829,40088711
52400,1542490753,40308498
52500,1543411236,40528305
52600,1544328523,40749844
52700,1545242705,40971296
52800,1546153324,41194161
52900,1547060767,41418870
53000,1547966087,41645917
53100,1548869377,41873412
53200,1549767441,42104172
53300,1550662635,42337166
53400,1551553170,42571133
53500,1552442429,42806670
53600,1553329137,43043433
53700,1554212859,43282721
53800,1555093834,43520223
53900,1555967629,43763290
54000,1556842771,44006708
54100,1557712672,44253201
54200,1558580886,44501124
54300,1559442874,44751800
54400,1560301685,45004191
54500,1561157134,45258254
54600,1562008379,45514674
54700,1562858684,45771818
54800,1563703945,46031155
54900,1564544456,46294085
55000,1565384544,46557811
55100,1566219060,46823078
55200,1567051329,47089108
55300,1567877572,47357327
55400,1568701549,47625581
55500,1569522708,47896050
55600,1570340722,48169678
55700,1571153867,48443787
55800,1571963430,48721796
55900,1572766988,49002593
56000,1573567527,49285200
56100,1574364254,49568702
56200,1575157172,49854991
56300,1575944317,50141550
56400,1576725239,50431792
56500,1577504836,50723949
56600,1578281345,51018838
56700,1579053304,51316088
56800,1579819300,51614923
56900,1580581198,51915087
57000,1581337986,52216491
57100,1582088708,52522820
57200,1582837100,52828267
57300,1583583666,53136316
57400,1584323783,53448840
57500,1585058616,53761660
57600,1585788489,54076811
57700,1586512364,54395664
57800,1587235593,54714939
57900,1587954214,55034536
58000,1588664586,55358620
58100,1589369663,55687037
58200,1590072845,56016526
58300,1590769225,56348325
58400,1591459638,56683244
58500,1592146799,57019720
58600,1592829156,57359638
58700,1593506985,57700948
58800,1594177836,58045646
58900,1594844435,58390201
59000,1595505261,58738664
59100,1596160576,59091508
59200,1596809029,59446264
59300,1597454744,59803136
59400,1598096290,60159276
59500,1598730789,60520559
59600,1599359395,60884658
59700,1599981116,61250645
59800,1600598110,61617911
59900,1601209103,61989226
60000,1601814862,62363484
60100,1602415111,62740716
60200,1603008427,63122344
60300,1603596498,63504502
60400,1604178269,63888636
60500,1604753752,64277233
60600,1605325918,64667647
60700,1605891354,65058022
60800,1606452060,65450691
60900,1607006096,65846613
61000,1607553580,66250184
61100,1608090857,66656325
61200,1608626563,67064107
61300,1609154380,67472636
61400,1609673280,67885700
61500,1610186734,68300743
61600,1610694992,68718625
61700,1611197948,69141689
61800,1611692789,69564984
61900,1612180587,69993024
62000,1612662879,70422065
62100,1613137759,70853756
62200,1613607764,71286183
62300,1614067203,71725460
62400,1614518189,72169047
62500,1614964314,72615326
62600,1615402236,73062849
62700,1615834522,73513742
62800,1616258806,73966692
62900,1616675957,74423258
63000,1617086200,74882371
63100,1617490812,75344309
63200,1617885128,75812591
63300,1618270616,76283052
63400,1618653575,76755478
63500,1619028471,77229157
63600,1619392841,77710043
63700,1619751296,78190702
63800,1620100654,78677553
63900,1620444973,79165744
64000,1620780907,79656713
64100,1621108748,80148113
64200,1621425984,80648186
64300,1621734636,81151615
64400,1622036995,81658329
64500,1622329988,82168097
64600,1622615161,82683153
64700,1622893194,83201379
64800,1623162761,83719120
64900,1623424298,84241149
65000,1623674446,84766951
65100,1623915479,85298255
65200,1624148461,85834188
65300,1624373961,86370425
