Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
20000,10140,63608,19000000,114000000,1000,6000,9997736065008,88230850,123234424,1339971850,11488,16682,167053,18989860,1000,6478,1311745,37645614,169383980,1830616020,1835544822,991929710,1008070290,25626733,99962234154,8052890,380323,2951422,51052172,63419376,13392624,506,39,377,6980,8744,109903216,113929914,32069376,8439213,3022803,441,91560787,99938341,61659,186570326,275992,57076547,42923453,42751798,3948591,2604,10707136,99977890,22110,93594038,6405962,10682422,1000,1000,1000,1000,1000,1000,1000
21000,11010,63280,20000000,120000000,1000,6000,9997729949705,80094437,116885140,1339971498,11731,16791,177939,19988990,1000,632,1300205,39622102,155593034,1844406966,1849764256,991558088,1008441912,27053646,99961080381,8578556,380166,2954736,53802341,67476252,13392081,542,64,343,7532,9440,115646539,119936088,33750231,8856889,3341382,477,91143111,99938231,61769,185724052,308383,54883529,45116471,44992703,4126544,2964,11268251,99977185,22815,93333850,6666150,11242472,1000,1000,1000,1000,1000,1000,1000
22000,10250,63055,21000000,126000000,1000,6000,9997711320671,85780698,124356945,1339971449,11877,16694,191725,20989750,1000,5868,1286466,41596050,143123317,1856876683,1862672797,991186903,1008813097,28481501,99959918339,9108286,395266,2983698,56533854,71557880,13391751,580,47,346,7876,10036,121376644,125931077,35428115,9272295,3670377,540,90727705,99938519,61481,184870110,342518,52697622,47302378,47229606,4301452,2950,11828083,99976358,23642,93078695,6921305,11801491,1000,1000,1000,1000,1000,1000,1000
23000,10790,62330,22000000,132000000,1000,6000,9997699971315,85370422,125737751,1339971288,11688,17044,205086,21989210,1000,6410,1276493,43568248,131848157,1868151843,1874396793,990810430,1009189570,29906622,99958811378,9642596,368158,2971648,59245320,75669444,13391445,612,53,338,8184,10548,127109656,131931260,37097548,9684543,4011405,591,90315457,99938273,61727,184008780,378504,50527854,49472146,49455276,4472056,3041,12385133,99975636,24364,92830294,7169706,12357728,1000,1000,1000,1000,1000,1000,1000
24000,10620,62855,23000000,138000000,1000,6000,9997692807831,81845600,124009514,1339972077,11209,16734,219668,22989380,1000,6149,1268195,45539424,121655432,1878344568,1885047255,990430281,1009569719,31331525,99957675193,10181682,384407,3000668,61939154,79813932,13390881,652,43,368,8728,11248,132839829,137930996,38758438,10095749,4364685,630,89904251,99938219,61781,183139783,416038,48375236,51624764,51669378,4638180,3146,12939704,99974382,25618,92588600,7411400,12910940,1000,1000,1000,1000,1000,1000,1000
25000,10430,62510,24000000,144000000,1000,6000,9997683503786,81425612,125378931,1339971409,11571,17040,236301,23989570,1000,6326,1252685,47506538,112435515,1887564485,1894732911,990054848,1009945152,32760951,99956591496,10724916,354417,2978575,64627567,83990004,13390697,678,61,334,8928,11784,138568367,143931164,40416334,10506253,4726929,714,89493747,99938446,61554,182263767,454721,46231976,53768024,53879645,4800435,3190,13492902,99973599,26401,92350227,7649773,13463311,1000,1000,1000,1000,1000,1000,1000
26000,10840,61505,25000000,150000000,1000,6000,9997677478481,78602220,124351071,1339971677,11341,17002,253022,24989160,1000,6381,1240741,49472276,104101525,1895898475,1903541275,989674365,1010325635,34188136,99955493765,11271670,351110,2978220,67300576,88193780,13390427,706,44,341,9208,12340,144295926,149932114,42065573,10913422,5099547,783,89086578,99938228,61772,181382006,495016,44106208,55893792,56078253,4958505,3186,14043399,99972467,27533,92116730,7883270,14012680,1000,1000,1000,1000,1000,1000,1000
27000,10390,62171,26000000,156000000,1000,6000,9997666683471,81337626,128890811,1339972190,11045,16785,270512,25989610,1000,1161,1233030,51438196,96566407,1903433593,1911558492,989286091,1010713909,35611986,99954390265,11821874,359395,3003101,69950814,92421936,13390070,738,70,352,9528,12888,150025362,155936668,43712363,11321225,5483484,840,88678775,99937712,62288,180491588,537186,41988850,58011150,58273637,5112301,3365,14593180,99971459,28541,91886550,8113450,14561274,1000,1000,1000,1000,1000,1000,1000
28000,10720,61537,27000000,162000000,1000,6000,9997658683405,81990918,131346379,1339971375,11302,17343,287854,26989280,1000,6624,1219501,53402852,89751911,1910248089,1918862270,988901047,1011098953,37043048,99953287096,12376700,382241,3032311,72589872,96680244,13389733,762,49,398,9840,13464,155743108,161931839,45349760,11728025,5877408,906,88271975,99938181,61819,179595975,580740,39890172,60109828,60456211,5260851,3445,15140303,99969593,30407,91663777,8336223,15106451,1000,1000,1000,1000,1000,1000,1000
29000,10490,62786,28000000,168000000,1000,6000,9997654376508,79597956,130759844,1339972119,10702,17199,307118,27989510,1000,1058,1207979,55364784,83593815,1916406185,1925516902,988511449,1011488551,38471855,99952209127,12934304,387278,3049782,75207441,100958408,13389495,792,47,362,10116,13968,161468608,167936156,46981445,12133654,6281286,963,87866346,99937892,62108,178693521,625823,37804574,62195426,62631498,5404378,3611,15684950,99968714,31286,91444593,8555407,15650053,1000,1000,1000,1000,1000,1000,1000
30000,10540,62996,29000000,174000000,1000,6000,9997650337437,77524302,130496901,1339971524,10756,17740,327109,28989460,1000,617,1197799,57324702,78029629,1921970371,1931582785,988117914,1011882086,39899698,99951157247,13495426,379199,3050636,77808778,105259432,13389250,826,54,356,10360,14512,167188261,173936387,48604358,12538215,6694362,1038,87461785,99937931,62069,177787302,673206,35736328,64263672,64794862,5542918,3855,16227205,99967154,32846,91231640,8768360,16190504,1000,1000,1000,1000,1000,1000,1000
31000,10560,62880,30000000,180000000,1000,6000,9997645216601,77060881,131850669,1339971811,10727,17482,347261,29989440,1000,5745,1188480,59284358,73002709,1926997291,1937118254,987720528,1012279472,41328591,99950103379,14058906,383846,3058429,80396932,109579032,13389052,856,42,338,10588,15100,172901494,179931375,50219556,12939758,7115091,1128,87060242,99938087,61913,176877366,721736,33684888,66315112,66947707,5676295,4033,16767287,99964897,35103,91022721,8977279,16728151,1000,1000,1000,1000,1000,1000,1000
32000,10510,62547,31000000,186000000,1000,6000,9997638661307,78503926,135108412,1339971507,10557,17956,369136,30989490,1000,6772,1175282,61240708,68454467,1931545533,1942180773,987324256,1012675744,42760859,99949049451,14625724,399218,3072849,82969528,113923280,13388676,896,58,346,10940,15824,178617371,185930681,51827152,13341018,7545453,1221,86658982,99938115,61885,175961857,771940,31650180,68349820,69090561,5804105,4233,17304567,99963075,36925,90818365,9181635,17263409,1000,1000,1000,1000,1000,1000,1000
33000,11170,62500,32000000,192000000,1000,6000,9997638873746,73615340,132045013,1339971430,10434,18156,390755,31988830,1000,6408,1167545,63196150,64350479,1935649521,1946805670,986918920,1013081080,44188770,99948031838,15193604,386018,3075806,85509166,118272176,13388323,932,47,386,11264,16520,184333824,191931092,53428352,13740835,7984905,1314,86259165,99937715,62285,175040731,823390,29629278,70370722,71224792,5926300,4363,17839835,99960968,39032,90617726,9382274,17796440,1000,1000,1000,1000,1000,1000,1000
34000,10470,62138,33000000,198000000,1000,6000,9997632243240,75956946,136219150,1339971447,10195,18378,413000,32989530,1000,6160,1159565,65153060,60641276,1939358724,1951042076,986510380,1013489620,45621202,99947047333,15764550,352733,3033743,88050546,122644804,13388113,954,56,379,11472,17076,190048950,197931702,55019941,14135719,8429538,1401,85864281,99938145,61855,174119074,876106,27628942,72371058,73346034,6042238,4538,18372293,99958338,41662,90422197,9577803,18326093,1000,1000,1000,1000,1000,1000,1000
35000,10740,62809,34000000,204000000,1000,6000,9997626698753,77562926,139656798,1339971275,10381,18364,435667,33989260,1000,6277,1147769,67107186,57288373,1942711627,1954926370,986100315,1013899685,47054401,99946008703,16337200,375730,3078200,90555927,127029740,13387997,984,54,377,11592,17652,195761822,203930914,56611198,14535471,8885877,1515,85464529,99937557,62443,173187343,930305,25634704,74365296,75466768,6153100,4958,18905016,99955512,44488,90228042,9771958,18855570,1000,1000,1000,1000,1000,1000,1000
36000,11100,63614,35000000,210000000,1000,6000,9997624822227,75819540,139753431,1339970903,10155,18962,458428,34988900,1000,6936,1138853,69060944,54260661,1945739339,1958490958,985683334,1014316666,48487179,99945027951,16912496,353309,3060379,93055521,131432584,13387789,1008,53,382,11796,18216,201472698,209929450,58193345,14930945,9347709,1605,85069055,99937673,62327,172255109,986227,23660196,76339804,77575149,6257099,5175,19434912,99952067,47933,90039256,9960744,19381804,1000,1000,1000,1000,1000,1000,1000
37000,10350,64155,36000000,216000000,1000,6000,9997619112935,78192404,143971252,1339970880,10144,18996,482927,35989650,1000,1050,1129144,71013446,51523697,1948476303,1961770434,985264235,1014735765,49922791,99944028692,17489650,362236,3069864,95534391,135850004,13387512,1048,41,355,12112,18904,207189446,215934795,59764815,15324907,9818100,1698,84675093,99938044,61956,171319006,1043213,21707066,78292934,79669224,6354890,5514,19961511,99948412,51588,89855109,10144891,19904409,1000,1000,1000,1000,1000,1000,1000
38000,10850,62824,37000000,222000000,1000,6000,9997621875350,72362908,139997945,1339971211,10166,18643,504604,36989150,1000,5687,1120317,72969092,49062707,1950937293,1964778649,984838293,1015161707,51361490,99943030470,18067908,377718,3092219,97992914,140269676,13387181,1080,58,349,12432,19500,212896995,221931489,61330913,15715693,10293759,1767,84284307,99938392,61608,170381343,1101726,19767147,80232853,81755770,6445895,6086,20487285,99943658,56342,89675319,10324681,20424857,1000,1000,1000,1000,1000,1000,1000
39000,10710,63797,38000000,228000000,1000,6000,9997616934959,74464269,143961388,1339970703,10112,19205,527751,37989290,1000,6492,1113633,74923078,46834524,1953165476,1967558401,984406851,1015593149,52799430,99942088869,18648180,349375,3048335,100449530,144705436,13387039,1114,38,375,12568,20104,218605064,227929711,62886664,16100843,10773585,1884,83899157,99938204,61796,169444436,1161566,17848620,82151380,83828325,6530499,6673,21010015,99938319,61681,89500189,10499811,20941661,1000,1000,1000,1000,1000,1000,1000
40000,10440,64107,39000000,234000000,1000,6000,9997616535607,72233779,143596351,1339971293,9605,19122,551297,38989560,1000,564,1103141,76876526,44821123,1955178877,1970127369,983973253,1016026747,54242201,99941099955,19228332,377898,3072598,102874391,149140416,13386729,1142,56,375,12860,20732,224320592,233935329,64434302,16485561,11260917,1968,83514439,99938243,61757,168504190,1222357,15948914,84051086,85889584,6607578,7446,21531184,99931544,68456,89328116,10671884,21455282,1000,1000,1000,1000,1000,1000,1000
41000,10440,63173,40000000,240000000,1000,6000,9997614856379,71476626,144714807,1339970476,10027,19517,574042,39989560,1000,623,1094169,78831036,43006551,1956993449,1972501231,983531969,1016468031,55685471,99940152766,19807686,371589,3080193,105265293,153567500,13386359,1186,49,360,13252,21436,230031768,239936204,65976083,16867952,11754234,2046,83132048,99938352,61648,167562618,1285271,14063936,85936064,87942456,6677534,8059,22051396,99923036,76964,89158573,10841427,21966373,1000,1000,1000,1000,1000,1000,1000
42000,11040,62725,41000000,246000000,1000,6000,9997615101903,68969609,144094523,1339971281,9501,19238,595417,40988960,1000,6302,1087781,80787086,41372802,1958627198,1974698661,983084335,1016915665,57131205,99939236674,20389630,353989,3052546,107647233,158013480,13386167,1220,56,373,13424,22052,235735548,245930973,67502165,17246413,12254298,2157,82753587,99938818,61182,166620942,1349055,12208569,87791431,89973823,6740216,9251,22568100,99912809,87191,88996584,11003416,22471658,1000,1000,1000,1000,1000,1000,1000
43000,10380,63147,42000000,252000000,1000,6000,9997610913046,71053650,148072376,1339969762,10132,20126,617344,41989620,1000,6459,1079433,82744552,39898858,1960101142,1976739198,982630476,1017369524,58579763,99938327610,20972392,342725,3030592,110010882,162462952,13385907,1248,50,347,13716,22656,241443574,251930394,69020297,17621390,12759462,2235,82378610,99939185,60815,165679739,1414222,10372594,89627406,91993083,6795265,10631,23085356,99898061,101939,88839912,11160088,22972786,1000,1000,1000,1000,1000,1000,1000
44000,9980,63874,43000000,258000000,1000,6000,9997611138754,68862867,147786517,1339969810,10026,20184,638123,42990020,1000,1144,1072500,84703794,38570756,1961429244,1978637563,982170535,1017829465,60031843,99937369334,21553698,401573,3075962,112341570,166898068,13385849,1272,45,362,13764,23160,247157497,257934982,70519562,17988395,13268877,2349,82011605,99940085,59915,164743371,1480990,8569411,91430589,93985955,6842486,12675,23599451,99879617,120383,88690725,11309275,23466393,1000,1000,1000,1000,1000,1000,1000
