Time,Hb,O2,Hb-O2,Hb-(O2)2,Hb-(O2)3,Hb-(O2)4
1870,1598558387,967642895837,400459957,21138090,5006238,7974837328
1880,1583174760,967569231109,396616543,20904962,4872516,7994431219
1890,1567939625,967497162166,392774897,20838288,5402399,8013044791
1900,1552850419,967423699353,389020191,20559165,4118774,8033451451
1910,1537901126,967353544392,385297716,20340378,5365984,8051094796
1920,1523102843,967281464953,381596612,19862554,4538637,8070899354
1930,1508448029,967213002093,377910900,19928763,5619751,8088092557
1940,1493936800,967142730244,374278489,19767573,4612431,8107404707
1950,1479569579,967074405816,370686496,19758240,4551532,8125434153
1960,1465338617,967006499683,367107797,19745815,4330194,8143477577
1970,1451241645,966938936561,363565196,19482167,4310059,8161400933
1980,1437284237,966872828945,360070815,19237224,5005104,8178402620
1990,1423465977,966806376031,356601504,19224960,4257691,8196449868
2000,1409776429,966740638907,353165494,18783060,4470589,8213804428
2010,1396220258,966675844061,349778310,18805281,4017537,8231178614
2020,1382790952,966611733526,346429305,18503083,4275637,8248001023
2030,1369498998,966548308513,343076478,18343682,4395723,8264685119
2040,1356324658,966484999554,339793569,17935218,4449779,8281496776
2050,1343282948,966422596390,336546297,17636227,4553253,8297981275
2060,1330369044,966359949029,333324628,17517110,3464749,8315324469
2070,1317579534,966299354155,330121496,17561660,3548211,8331189099
2080,1304918773,966239712413,326948785,17277568,4635830,8346219044
2090,1292380104,966178926874,323803735,16922702,4149849,8362743610
2100,1279953651,966119571202,320689605,16748675,4190433,8378417636
2110,1267653255,966060545717,317622345,16666960,3731742,8394325698
2120,1255471591,966002092935,314568377,16491441,3518558,8409950033
2130,1243406961,965944921544,311540792,16565653,3540018,8424946576
2140,1231453790,965888137575,308558814,16374146,3897681,8439715569
2150,1219624075,965831148459,305601518,15998822,3849961,8454925624
2160,1207908306,965775809263,302661396,15965654,4260543,8469204101
2170,1196306254,965719475004,299744620,15896414,3223300,8484829412
2180,1184814370,965664953696,296870292,15767790,3549760,8498997788
2190,1173432419,965610661007,294028969,15729078,3386268,8513423266
2200,1162159359,965556530143,291203099,15495746,3291918,8527849878
2210,1150996232,965503692804,288393892,15576265,3373670,8541659941
2220,1139939011,965450949048,285636212,15296504,3691360,8555436913
2230,1128997880,965397921693,282885529,14949647,3374292,8569792652
2240,1118148811,965346295423,280184239,14792285,3562892,8583311773
2250,1107411074,965295122468,277496877,14558207,3871127,8596662715
2260,1096780010,965243850468,274836891,14355861,3508033,8610519205
2270,1086253220,965193101278,272202961,14172762,3133991,8624237066
2280,1075827526,965143164193,269595397,14028803,3010292,8637537982
2290,1065495838,965094370366,267008218,14000308,3361744,8650133892
2300,1055269466,965045283010,264438776,13792413,3303992,8663195353
2310,1045140497,964996794720,261894835,13802746,2942735,8676219187
2320,1035105416,964948588116,259383624,13643365,2728850,8689138745
2330,1025166520,964902202749,256900805,13644386,3545482,8700742807
2340,1015327026,964854736592,254444241,13293857,3508051,8713426825
2350,1005581030,964807724103,252019260,12997737,3346729,8726055244
2360,995929998,964761795624,249603604,13219269,2826282,8738420847
2370,986373597,964716543791,247198245,13141899,3170870,8750115389
