Time\ number,r2_1_100,r2_1_200,r2_1_300,r2_1_400,Time\ Probability,r2_1_100,r2_1_200,r2_1_300,r2_1_400
4170,174652777,43782332,2291379,815164,4170,0.0009599121619762709,0.004781205021821467,0.08766076134624107,0.324514816631841
4180,172982390,43363950,2523465,482226,4180,0.0009599042508351061,0.0047811655355788525,0.08766006367952908,0.3245130810274907
4190,171329020,42949003,2471475,486862,4190,0.0009598965337497316,0.004781126141024996,0.08765938808591435,0.3245112666037679
4200,169689798,42703796,2255652,755063,4200,0.0009598891794168297,0.004781086853115873,0.08765877489074089,0.32450937391561674
4210,168069728,42131608,2423985,783919,4210,0.0009598810217512511,0.004781050205118333,0.08765812576784039,0.3245076012277616
4220,166463779,41730549,2436671,575350,4220,0.0009598736537563855,0.00478101258934872,0.08765746477560113,0.3245059172265279
4230,164873307,41490018,2193846,733835,4230,0.0009598661895443886,0.004780972828188409,0.08765685796644866,0.32450412232498854
4240,163299531,41091916,2147418,806776,4240,0.0009598587035301941,0.004780935714700474,0.08765623376700747,0.32450241314847533
4250,161736989,40702544,2134469,745994,4250,0.0009598510320494415,0.00478089858616962,0.08765562257494285,0.3245007028328313
4260,160192432,40310078,2158120,443158,4260,0.000959843669233177,0.004780861124098209,0.0876549802001862,0.32449913252647195
4270,158661440,39773295,2306703,477187,4270,0.0009598361625713384,0.004780826513764835,0.08765435429522044,0.32449746233913074
4280,157145612,39392175,2273068,458294,4280,0.000959828692705649,0.004780790431088561,0.08765376054340289,0.3244957987277968
4290,155643987,39167370,2207142,562287,4290,0.0009598220869925914,0.00478075499438856,0.0876531498038341,0.3244940892896774
4300,154157949,38644353,2223687,625359,4300,0.000959814565503931,0.004780720293177922,0.0876525820399484,0.3244924132598946
4310,152685396,38274582,2220612,388100,4310,0.0009598076063052209,0.004780685410031946,0.08765197326762764,0.324490884729883
4320,151224709,38051708,2016136,656795,4320,0.0009598008516392267,0.0047806496505330455,0.0876514368239852,0.3244892374899832
4330,149780723,37547566,2169234,419275,4330,0.0009597938965015185,0.00478061674609168,0.08765081883476261,0.32448768941295586
4340,148351077,37189478,2127652,653465,4340,0.0009597866862151958,0.004780582939317734,0.08765027392410457,0.3244861221752999
4350,146933930,36972756,1936544,660636,4350,0.000959780532359963,0.00478054801015518,0.08764971582360326,0.32448455609764104
4360,145530591,36617209,1925342,623706,4360,0.0009597738091940486,0.00478051366040539,0.08764915517690545,0.32448305968551344
4370,144139071,36129488,1895616,458854,4370,0.0009597666714739414,0.004780481628091395,0.08764859972018875,0.3244816093868522
4380,142762156,35919004,1893086,593278,4380,0.0009597604169839105,0.004780448105754086,0.08764806371932073,0.3244800373081007
4390,141395705,35577203,1863863,619035,4390,0.0009597537143063409,0.004780415809284602,0.08764752125516995,0.324478582231016
4400,140044563,35102077,2023544,451321,4400,0.0009597471559462651,0.004780386373277419,0.08764695873739671,0.3244771108666796
4410,138704544,34769117,1997790,665205,4410,0.0009597411286981739,0.0047803548510531365,0.08764643025756624,0.3244755890822955
4420,137380696,34567647,1828259,393081,4420,0.0009597349051473498,0.004780321070147127,0.08764590068303012,0.3244742065358065
4430,136067831,34106442,1954501,455592,4430,0.0009597283549173988,0.004780292189932243,0.08764536509135724,0.32447277266582464
4440,134768580,33908725,1956428,455870,4440,0.0009597223570795473,0.004780260252713135,0.08764485150450176,0.324471401695849
4450,133482151,33457348,1923141,514254,4450,0.0009597160718919675,0.004780230499743833,0.08764434092933128,0.3244698633043654
4460,132205577,33265041,1741495,391753,4460,0.0009597099025915514,0.004780198465212782,0.08764384981179243,0.32446858462086925
4470,130941583,32822797,1899188,416259,4470,0.0009597040646421446,0.004780170901057936,0.08764332847538445,0.3244671573431055
4480,129689590,32636899,1726276,526116,4480,0.0009596978946169731,0.004780138896162641,0.08764286247545723,0.3244658145959011
4490,128449551,32324373,1706672,372370,4490,0.0009596921711932901,0.004780109765776037,0.0876423480030277,0.32446449479105804
4500,127221065,32014683,1853644,415998,4500,0.000959686497909166,0.0047800823615314295,0.08764185103533542,0.32446310752636004
4510,126006143,31583418,1690248,466690,4510,0.0009596803045346574,0.0047800529818568995,0.08764139347816287,0.3244617267026204
4520,124802827,31400243,1818577,592159,4520,0.000959674964553751,0.004780025149788664,0.0876409008915127,0.32446043570259514
4530,123610068,30983641,1610863,419834,4530,0.0009596687582309871,0.0047799956760465,0.0876404297513665,0.3244592117341904
4540,122427940,30691405,1593342,499410,4540,0.000959663046230014,0.004779967329449385,0.08763996659670407,0.3244578791743769
4550,121258884,30513105,1620449,449740,4550,0.0009596578047076772,0.004779940018255883,0.08763950395341523,0.3244565506396403
4560,120099921,30108573,1591598,517931,4560,0.0009596521881231813,0.004779913439443904,0.08763904724560273,0.32445530009925083
4570,118952584,29819019,1725713,330124,4570,0.0009596465588250587,0.004779886245335036,0.08763856679444217,0.3244541306833506
4580,117817225,29534761,1689575,508636,4580,0.0009596413923263495,0.004779859859407928,0.08763811393073298,0.324452798682161
4590,116693460,29361045,1548874,323338,4590,0.0009596361558580708,0.004779831431411764,0.0876376685835246,0.3244516355136883
